Raman Shift,"	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen","	
Ibuprofen",Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,Acetylsalicylic-acid,"	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol","	
Paracetamol"
148.32,65535.00,65535.00,65535.00,43015.90,65535.00,65535.00,65535.00,61357.80,65535.00,23068.10,65535.00,65535.00,63789.90,65535.00,65535.00,65535.00,19629.84,34447.66,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,35511.76,54033.98,6231.72,9517.68,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,65535.00,28258.50,22501.10,16815.40,23680.70,21258.90,39065.80,33204.90,22944.50,29864.10,24852.20,29649.80,35242.40,21315.50,24680.80,21201.30,22692.80,19829.30,25497.40,26531.70,16973.20,29819.90,33440.50,24543.80,18304.70,22514.30,24340.80,21251.40,25443.70,65535.00,65535.00,65535.00,65535.00,30052.80,22482.30,28698.20,24214.10,24980.80,26005.60,26120.70,26660.40,29120.40,28722.40,24120.50,22642.30,22479.10,19139.80,19572.80,22000.60,23230.30,19016.80,40930.88,46470.14,40012.58,41509.40,52114.60,36056.80,42572.80,35247.00,39472.50,42895.32,57784.40,50481.90,56766.60,62679.80,60829.30,50496.00,50507.20,44335.50,49843.50,40954.10,48843.90,49777.70,51265.60,48153.50,51466.50,54437.50,42767.20,33783.80,31971.90,46598.60,32074.50,38885.40,52485.70,43171.00,43255.40,43915.90,34889.50,38566.50,40981.60,40068.80,46944.40,32195.80,48782.80,48974.70,50308.70,57732.30,63679.90,56842.50,45679.20,39069.64
150.70,65535.00,54614.60,65535.00,33665.10,65535.00,58117.30,57304.10,48857.10,56626.20,19246.38,59078.80,65535.00,49437.30,64404.60,65487.70,54274.90,15596.74,28500.32,65535.00,65535.00,65535.00,65535.00,65535.00,51312.70,65535.00,65535.00,65535.00,22456.68,34390.16,5544.82,9301.08,65535.00,59325.20,64055.70,65535.00,65535.00,55894.30,65535.00,56111.20,58213.50,64763.82,65535.00,65535.00,65535.00,65535.00,50426.80,65535.00,65535.00,65535.00,62163.56,25508.00,20631.90,15336.10,21594.40,20306.20,36008.90,30606.70,21958.10,29058.60,23681.30,29124.40,33511.00,19385.60,22303.30,19281.60,20694.20,18251.20,23174.50,23987.80,15477.50,27579.20,30230.30,22593.50,17400.60,20568.50,22215.30,19218.80,23200.40,65535.00,65535.00,65535.00,65535.00,27094.80,20282.70,26157.90,21889.90,22979.80,23536.40,23647.20,24843.50,26883.30,26997.90,22702.60,20342.90,20360.60,17397.50,17973.40,20328.10,21186.80,17292.90,39338.24,44262.82,38009.24,39263.08,49107.40,33946.60,39968.30,32863.60,37013.30,40688.06,55219.00,48179.20,54268.20,60082.80,58202.60,48056.80,47864.70,41873.50,47166.50,38837.56,46251.60,47216.70,48514.30,45441.30,48802.20,51628.80,40484.00,31954.30,30092.10,44368.36,29980.70,36781.20,49754.30,40601.70,40775.70,41208.40,32622.30,36234.20,38221.80,38029.20,44731.80,30382.30,46050.50,46312.10,47674.90,54806.80,60784.40,53807.80,42980.50,36849.10
153.07,55757.70,45402.10,65535.00,28558.90,65535.00,49135.90,47529.20,41316.20,48286.40,17109.92,48895.70,62058.40,40673.10,55625.20,59535.90,44044.20,13339.10,25228.02,65530.80,65533.50,64555.30,50747.80,50771.90,35347.30,65535.00,58194.30,60026.20,15744.42,23525.60,5057.78,9051.64,61978.00,41569.70,45223.50,60961.80,65535.00,38507.10,65392.20,39011.30,40271.10,45690.20,65535.00,65535.00,65535.00,55466.10,34265.80,61614.60,53825.10,55929.80,43183.62,24081.40,19554.90,14494.40,20473.20,19649.30,34181.60,29066.20,21395.80,28545.60,22907.70,28613.90,32365.30,18321.90,21159.00,18206.20,19444.70,17271.40,21969.10,22716.50,14692.50,26098.80,28541.30,21372.30,16923.90,19462.00,21081.70,18418.00,22015.50,62455.10,53772.70,65176.50,61738.90,25410.50,19197.30,24658.90,20695.30,21753.90,22288.70,22324.40,23619.30,25559.30,26038.30,21877.70,19136.50,19203.40,16511.90,17220.40,19348.80,20164.50,16536.30,35648.64,38762.52,33382.14,34215.44,42700.60,29370.60,34617.80,28563.00,32196.60,35544.00,48905.80,42690.50,48202.10,53654.40,51504.30,42080.60,42118.60,36920.00,41262.10,33966.66,40747.10,41457.80,42629.60,39953.80,42673.90,45365.70,35278.60,28320.10,26239.80,39123.12,26423.40,32197.10,43646.40,35535.20,35585.90,35935.40,28356.00,31532.50,33174.70,33305.00,39078.90,26651.70,40515.60,40305.10,41459.60,48197.50,53751.20,47202.70,37615.90,32093.32
155.45,49374.40,40244.80,65535.00,25767.40,65380.30,44340.60,41978.70,37322.10,43471.40,15996.04,43335.40,56217.60,35977.00,49821.20,53594.70,38580.90,12099.12,23591.40,51504.00,51814.40,48827.70,37570.80,37308.70,26193.30,55103.30,43381.00,44910.10,12004.22,17679.32,4740.60,8956.98,46527.00,30960.80,33588.40,46418.20,61194.50,28665.20,53677.10,28981.40,29755.00,33673.66,62174.00,62016.80,52744.30,41093.70,25090.80,45736.40,39847.10,41432.50,31567.64,24416.20,19809.80,14574.90,20581.00,19595.20,34289.40,29208.50,21580.70,28762.00,23003.70,28697.00,32586.20,18351.90,21216.20,18348.80,19602.20,17437.80,22178.90,22905.80,14746.60,26384.30,28881.60,21647.30,17084.80,19739.10,21238.80,18457.60,22269.60,52091.00,45198.80,56710.80,52854.60,25711.10,19366.00,24880.10,20764.10,21892.90,22457.00,22561.00,23596.10,25896.00,26086.40,22014.10,19077.40,19334.90,16593.50,17174.10,19483.20,20433.60,16635.80,31703.52,32776.60,28167.52,28789.40,36080.80,25084.80,29113.10,24395.80,27111.80,29944.02,41533.10,36187.50,41167.70,45874.50,43928.60,35668.00,35656.90,31661.80,35043.50,28598.80,34726.50,35446.90,36196.10,34266.60,36169.80,38482.00,29929.30,24295.00,22434.30,33375.62,22481.50,27264.80,36844.80,30118.00,29856.00,30345.40,24080.10,26689.20,28161.10,28148.52,32700.00,22745.60,34466.10,34268.90,34983.30,40834.60,45595.10,40157.10,32108.00,26990.30
157.82,44661.40,37004.70,64471.20,24087.10,62756.60,40736.10,38061.30,34397.60,40178.50,15241.52,39558.50,52003.40,32691.20,45889.50,49428.60,34820.20,11305.58,22547.78,39375.40,39741.30,37281.10,28625.90,28141.10,20391.70,42076.30,33356.90,34312.80,9581.30,13948.82,4537.50,8825.36,35627.10,24166.20,25876.30,36210.90,48352.20,22342.90,41701.90,22686.80,23179.90,25733.06,47926.90,48051.80,40538.40,31253.50,19351.20,34568.10,30303.70,31604.20,24056.76,26440.70,21470.50,15827.50,22358.40,20044.00,35918.00,30781.10,22116.50,29332.40,23662.90,28992.40,33880.70,19819.80,22952.10,19527.20,21246.90,18587.30,24023.70,24750.90,15893.60,28071.70,31257.10,23199.90,17744.40,21223.90,23135.10,19853.70,24143.20,44582.70,39463.60,49096.30,46316.50,27789.40,20839.60,26760.10,22445.60,23554.40,24176.30,24436.30,24610.00,26914.80,27166.40,22886.30,20542.80,20795.20,17682.90,18120.60,20701.30,22305.80,17995.50,27910.40,27264.18,23700.94,24247.80,30229.90,21544.50,24740.40,20644.10,23054.00,25041.42,34924.10,30313.00,34646.40,38279.30,36945.30,29873.00,29864.10,26762.40,29353.60,23925.90,29331.90,29904.60,30433.30,28968.80,30519.70,32439.90,25073.60,20902.40,18993.20,28080.44,19084.40,23200.90,31058.60,25492.10,25010.20,25593.10,20394.80,22796.60,23914.30,23753.28,27439.30,19357.10,29010.30,28656.30,29361.60,34118.20,38492.00,33889.80,27093.60,22732.82
160.20,40975.20,33929.10,61088.10,22443.00,58618.00,37796.10,34863.10,32006.10,37193.10,14453.88,36091.00,48106.90,29890.00,42466.30,45739.20,31484.60,10546.44,21401.82,30113.70,31042.60,28999.10,22408.00,21982.50,16262.40,32397.20,25900.90,26609.90,7838.12,11203.50,4307.82,8597.48,27578.50,19396.20,20639.50,28571.00,38264.80,18002.80,32849.10,18367.90,18439.00,20307.10,36956.80,37482.00,31431.00,24149.10,15344.10,26433.00,23559.10,24515.70,18898.66,31224.00,25088.80,18265.90,26106.70,20965.80,39340.40,34186.60,23385.40,29957.60,25000.80,29019.10,36032.30,22876.50,26600.30,22334.20,24670.20,21191.20,27986.00,28881.30,18129.30,31910.80,36374.50,26570.10,18855.50,24579.90,27334.10,22794.90,28216.60,39303.20,36132.10,43510.70,41646.10,32538.60,24184.30,31092.90,26236.50,27118.60,28228.50,28394.90,26896.80,29659.50,29243.10,24708.00,23611.10,23934.70,20315.30,19969.00,23417.10,26233.40,20751.10,24900.96,23144.34,20166.26,20689.56,25871.50,18694.90,21363.70,17788.90,19882.50,21278.72,29594.90,25738.70,29434.80,32469.20,31132.50,25421.50,25361.80,23173.20,25047.40,20332.36,25287.80,25792.40,25852.80,25047.70,25880.20,27559.40,21468.90,18172.00,16399.30,24085.56,16488.30,20008.10,26428.20,22097.90,21332.60,22029.70,17561.70,19711.40,20602.50,20374.14,23343.70,16694.90,24810.90,24415.90,25017.30,28891.50,32727.30,28729.20,23418.40,19480.82
162.57,38792.40,32265.60,58593.80,21497.40,56204.40,36236.70,33111.10,30583.10,35657.60,14073.54,34149.90,46083.00,28338.90,40499.50,43641.30,29593.90,10134.70,20874.90,24450.60,25113.50,23663.60,18462.00,18002.90,13542.60,26180.50,21372.60,21881.50,6697.46,9499.78,4114.00,8465.82,22535.70,16355.90,17184.50,23837.10,31552.30,15046.60,27098.60,15337.10,15400.60,16801.38,29551.90,30431.40,25609.70,19833.10,12658.60,21431.80,19422.80,20086.10,15599.30,41893.10,33248.40,23803.60,34956.30,23859.90,48152.70,42479.50,26677.30,32097.10,28400.70,29964.20,41870.60,29730.20,35141.70,29041.80,32880.10,27003.50,37436.70,38660.80,23561.60,40633.80,47867.30,34467.30,21983.10,32579.20,37024.40,29697.80,37997.50,36656.90,35963.50,40123.60,40188.10,43495.20,32232.70,41249.30,35061.90,35324.80,37421.90,37789.20,32879.90,36311.10,34672.40,29109.20,31109.10,31250.80,26300.50,24467.40,29632.70,35304.50,27075.30,23273.04,20825.30,18203.02,18714.30,23413.70,17074.10,19386.00,16049.20,18162.10,19210.44,26669.40,23127.50,26384.30,29107.20,28008.10,22944.90,22898.80,21090.70,22704.30,18282.74,23046.60,23447.80,23261.50,22795.00,23494.40,24986.50,19505.70,16524.20,14867.30,21829.20,15010.00,18213.40,23942.50,20091.60,19384.00,19945.00,15934.30,17938.30,18753.40,18454.98,21119.20,15215.10,22581.60,22148.20,22545.90,26155.90,29513.50,26074.20,21473.00,17600.50
164.94,37390.20,31224.40,57266.80,21159.80,54718.60,35360.80,31991.00,30005.60,34776.00,13999.84,33096.80,44935.80,27541.60,39336.90,42380.70,28648.50,9964.60,20655.18,20726.30,21497.40,20216.20,15787.50,15335.50,11747.90,22065.00,18116.30,18642.10,6003.56,8353.96,4079.42,8481.96,19275.70,14240.60,14923.80,20760.40,27103.60,13178.60,23297.40,13512.50,13449.50,14513.92,24642.80,25630.40,21706.70,17014.20,10976.40,18220.90,16600.30,17092.80,13355.76,59639.10,47991.00,34254.70,50163.50,29846.70,62317.90,56988.40,33168.90,36461.10,35157.90,32155.60,52009.80,42867.40,50497.10,41719.30,47595.50,38380.80,53646.80,55216.60,33823.30,55357.00,65143.70,48323.20,27585.50,46771.60,53189.80,42374.90,54260.60,36662.30,39320.90,38568.30,41262.70,61628.10,46683.90,57815.30,50827.90,49368.70,53635.30,54252.60,44021.20,48704.60,44440.10,38069.80,45093.80,44936.60,37741.50,33468.80,41295.90,50932.40,39023.80,22475.46,19575.10,17246.00,17658.76,22128.80,16311.90,18501.80,15202.60,17176.40,18154.30,25056.70,21704.10,24897.10,27377.40,26292.30,21554.20,21611.50,20128.90,21409.70,17260.04,21707.50,22329.20,22127.30,21645.10,22231.30,23647.80,18429.10,15653.10,14133.60,20619.30,14190.60,17149.30,22509.90,18804.50,18361.60,18930.80,15177.60,17023.80,17772.00,17424.80,19744.70,14519.10,21216.70,20883.20,21258.70,24495.80,27766.70,24653.50,20336.30,16603.00
167.31,35956.70,29978.10,55452.20,20403.10,52800.70,34250.40,30812.70,29098.70,33667.00,13661.14,31859.80,43448.50,26386.70,38053.30,40981.40,27500.40,9640.28,20210.98,17550.70,18397.40,17306.30,13600.00,13114.20,10271.80,18713.80,15687.30,15943.90,5362.76,7378.74,3926.78,8338.94,16523.60,12503.60,13143.30,18153.00,23596.00,11522.80,20237.90,11769.40,11667.90,12540.48,20868.60,21850.80,18632.50,14523.00,9444.10,15437.10,14280.50,14664.40,11461.44,65535.00,60549.50,44576.80,63498.20,36391.30,65535.00,65535.00,39663.00,40507.90,41846.50,33896.40,61042.80,55781.90,64137.30,53863.30,61639.00,49338.20,65535.00,65535.00,43920.80,65535.00,65535.00,61322.30,33108.40,59386.70,65519.60,54306.90,65535.00,36811.40,42491.20,37148.40,42091.20,65535.00,60266.60,65535.00,64487.80,62872.20,65535.00,65535.00,56001.30,60741.00,54366.10,46962.70,59169.90,58228.80,49382.60,43080.70,52204.30,64402.00,50381.40,21655.94,18377.36,16163.22,16632.08,20730.00,15419.60,17338.80,14316.30,16072.70,17072.34,23586.80,20500.50,23443.70,25588.50,24633.20,20328.60,20181.40,19031.30,20156.20,16219.08,20615.90,20908.70,20854.40,20430.40,20962.50,22158.90,17351.00,14656.40,13321.50,19470.48,13391.00,16258.60,21138.90,17851.00,17178.00,17941.30,14283.80,16116.40,16777.90,16471.92,18581.70,13688.90,19982.40,19629.70,19951.90,23027.80,26041.90,23099.00,19164.00,15647.72
169.68,34699.80,29196.60,53865.40,19976.80,51288.70,33363.30,29565.70,28290.30,32745.60,13407.50,30790.10,42102.70,25536.10,36797.20,39685.20,26322.70,9468.86,19853.32,15274.50,16018.50,15060.30,12009.80,11471.10,9115.00,16279.20,13785.70,14013.60,4898.52,6660.80,3857.68,8228.92,14357.40,11212.50,11695.50,16214.00,20777.60,10408.30,17804.70,10594.30,10508.60,11118.60,18001.80,19056.90,16210.60,12824.90,8414.90,13469.40,12510.00,12938.90,10121.06,65535.00,62334.10,46820.30,65147.90,39916.80,65535.00,65535.00,42381.60,41857.80,43785.50,34432.30,62868.00,58925.60,65535.00,57361.30,64199.40,51706.10,65535.00,65535.00,46512.70,65535.00,65535.00,63557.40,34086.70,61500.90,65535.00,56972.40,65535.00,35862.60,42204.20,35406.90,41211.00,65535.00,63171.90,65535.00,65535.00,65040.30,65535.00,65535.00,60724.60,63668.60,58010.60,49968.20,63666.80,61817.30,53013.50,46264.50,54559.10,65516.30,52687.00,20787.02,17241.04,15219.44,15608.92,19441.20,14662.20,16264.70,13439.10,15200.00,16012.84,22197.20,19257.80,22022.50,23978.50,23164.70,19086.50,18982.20,17911.40,18880.80,15166.84,19386.20,19755.80,19642.00,19163.70,19688.60,20811.00,16377.90,13755.60,12514.00,18354.44,12615.40,15402.20,19720.30,16775.70,16109.90,16755.60,13435.00,15164.80,15812.60,15434.64,17427.30,12825.80,18840.50,18400.40,18677.90,21555.80,24333.90,21566.80,18096.00,14648.28
