Raman Shift,"	
Ibuprofen","	
Ibuprofen.1","	
Ibuprofen.2","	
Ibuprofen.3","	
Ibuprofen.4","	
Ibuprofen.5","	
Ibuprofen.6","	
Ibuprofen.7","	
Ibuprofen.8","	
Ibuprofen.9","	
Ibuprofen.10","	
Ibuprofen.11","	
Ibuprofen.12","	
Ibuprofen.13","	
Ibuprofen.14","	
Ibuprofen.15","	
Ibuprofen.16","	
Ibuprofen.17","	
Ibuprofen.18","	
Ibuprofen.19","	
Ibuprofen.20","	
Ibuprofen.21","	
Ibuprofen.22","	
Ibuprofen.23","	
Ibuprofen.24","	
Ibuprofen.25","	
Ibuprofen.26","	
Ibuprofen.27","	
Ibuprofen.28","	
Ibuprofen.29","	
Ibuprofen.30","	
Ibuprofen.31","	
Ibuprofen.32","	
Ibuprofen.33","	
Ibuprofen.34","	
Ibuprofen.35","	
Ibuprofen.36","	
Ibuprofen.37","	
Ibuprofen.38","	
Ibuprofen.39","	
Ibuprofen.40","	
Ibuprofen.41","	
Ibuprofen.42","	
Ibuprofen.43","	
Ibuprofen.44","	
Ibuprofen.45","	
Ibuprofen.46","	
Ibuprofen.47","	
Ibuprofen.48","	
Ibuprofen.49",Acetylsalicylic-acid,Acetylsalicylic-acid.1,Acetylsalicylic-acid.2,Acetylsalicylic-acid.3,Acetylsalicylic-acid.4,Acetylsalicylic-acid.5,Acetylsalicylic-acid.6,Acetylsalicylic-acid.7,Acetylsalicylic-acid.8,Acetylsalicylic-acid.9,Acetylsalicylic-acid.10,Acetylsalicylic-acid.11,Acetylsalicylic-acid.12,Acetylsalicylic-acid.13,Acetylsalicylic-acid.14,Acetylsalicylic-acid.15,Acetylsalicylic-acid.16,Acetylsalicylic-acid.17,Acetylsalicylic-acid.18,Acetylsalicylic-acid.19,Acetylsalicylic-acid.20,Acetylsalicylic-acid.21,Acetylsalicylic-acid.22,Acetylsalicylic-acid.23,Acetylsalicylic-acid.24,Acetylsalicylic-acid.25,Acetylsalicylic-acid.26,Acetylsalicylic-acid.27,Acetylsalicylic-acid.28,Acetylsalicylic-acid.29,Acetylsalicylic-acid.30,Acetylsalicylic-acid.31,Acetylsalicylic-acid.32,Acetylsalicylic-acid.33,Acetylsalicylic-acid.34,Acetylsalicylic-acid.35,Acetylsalicylic-acid.36,Acetylsalicylic-acid.37,Acetylsalicylic-acid.38,Acetylsalicylic-acid.39,Acetylsalicylic-acid.40,Acetylsalicylic-acid.41,Acetylsalicylic-acid.42,Acetylsalicylic-acid.43,Acetylsalicylic-acid.44,Acetylsalicylic-acid.45,Acetylsalicylic-acid.46,Acetylsalicylic-acid.47,Acetylsalicylic-acid.48,Acetylsalicylic-acid.49,"	
Paracetamol","	
Paracetamol.1","	
Paracetamol.2","	
Paracetamol.3","	
Paracetamol.4","	
Paracetamol.5","	
Paracetamol.6","	
Paracetamol.7","	
Paracetamol.8","	
Paracetamol.9","	
Paracetamol.10","	
Paracetamol.11","	
Paracetamol.12","	
Paracetamol.13","	
Paracetamol.14","	
Paracetamol.15","	
Paracetamol.16","	
Paracetamol.17","	
Paracetamol.18","	
Paracetamol.19","	
Paracetamol.20","	
Paracetamol.21","	
Paracetamol.22","	
Paracetamol.23","	
Paracetamol.24","	
Paracetamol.25","	
Paracetamol.26","	
Paracetamol.27","	
Paracetamol.28","	
Paracetamol.29","	
Paracetamol.30","	
Paracetamol.31","	
Paracetamol.32","	
Paracetamol.33","	
Paracetamol.34","	
Paracetamol.35","	
Paracetamol.36","	
Paracetamol.37","	
Paracetamol.38","	
Paracetamol.39","	
Paracetamol.40","	
Paracetamol.41","	
Paracetamol.42","	
Paracetamol.43","	
Paracetamol.44","	
Paracetamol.45","	
Paracetamol.46","	
Paracetamol.47","	
Paracetamol.48","	
Paracetamol.49"
148.32,65535.0,65535.0,65535.0,43015.9,65535.0,65535.0,65535.0,61357.8,65535.0,23068.1,65535.0,65535.0,63789.9,65535.0,65535.0,65535.0,19629.84,34447.66,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,35511.76,54033.98,6231.72,9517.68,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,28258.5,22501.1,16815.4,23680.7,21258.9,39065.8,33204.9,22944.5,29864.1,24852.2,29649.8,35242.4,21315.5,24680.8,21201.3,22692.8,19829.3,25497.4,26531.7,16973.2,29819.9,33440.5,24543.8,18304.7,22514.3,24340.8,21251.4,25443.7,65535.0,65535.0,65535.0,65535.0,30052.8,22482.3,28698.2,24214.1,24980.8,26005.6,26120.7,26660.4,29120.4,28722.4,24120.5,22642.3,22479.1,19139.8,19572.8,22000.6,23230.3,19016.8,40930.88,46470.14,40012.58,41509.4,52114.6,36056.8,42572.8,35247.0,39472.5,42895.32,57784.4,50481.9,56766.6,62679.8,60829.3,50496.0,50507.2,44335.5,49843.5,40954.1,48843.9,49777.7,51265.6,48153.5,51466.5,54437.5,42767.2,33783.8,31971.9,46598.6,32074.5,38885.4,52485.7,43171.0,43255.4,43915.9,34889.5,38566.5,40981.6,40068.8,46944.4,32195.8,48782.8,48974.7,50308.7,57732.3,63679.9,56842.5,45679.2,39069.64
150.7,65535.0,54614.6,65535.0,33665.1,65535.0,58117.3,57304.1,48857.1,56626.2,19246.38,59078.8,65535.0,49437.3,64404.6,65487.7,54274.9,15596.74,28500.32,65535.0,65535.0,65535.0,65535.0,65535.0,51312.7,65535.0,65535.0,65535.0,22456.68,34390.16,5544.82,9301.08,65535.0,59325.2,64055.7,65535.0,65535.0,55894.3,65535.0,56111.2,58213.5,64763.82,65535.0,65535.0,65535.0,65535.0,50426.8,65535.0,65535.0,65535.0,62163.56,25508.0,20631.9,15336.1,21594.4,20306.2,36008.9,30606.7,21958.1,29058.6,23681.3,29124.4,33511.0,19385.6,22303.3,19281.6,20694.2,18251.2,23174.5,23987.8,15477.5,27579.2,30230.3,22593.5,17400.6,20568.5,22215.3,19218.8,23200.4,65535.0,65535.0,65535.0,65535.0,27094.8,20282.7,26157.9,21889.9,22979.8,23536.4,23647.2,24843.5,26883.3,26997.9,22702.6,20342.9,20360.6,17397.5,17973.4,20328.1,21186.8,17292.9,39338.24,44262.82,38009.24,39263.08,49107.4,33946.6,39968.3,32863.6,37013.3,40688.06,55219.0,48179.2,54268.2,60082.8,58202.6,48056.8,47864.7,41873.5,47166.5,38837.56,46251.6,47216.7,48514.3,45441.3,48802.2,51628.8,40484.0,31954.3,30092.1,44368.36,29980.7,36781.2,49754.3,40601.7,40775.7,41208.4,32622.3,36234.2,38221.8,38029.2,44731.8,30382.3,46050.5,46312.1,47674.9,54806.8,60784.4,53807.8,42980.5,36849.1
153.07,55757.7,45402.1,65535.0,28558.9,65535.0,49135.9,47529.2,41316.2,48286.4,17109.92,48895.7,62058.4,40673.1,55625.2,59535.9,44044.2,13339.1,25228.02,65530.8,65533.5,64555.3,50747.8,50771.9,35347.3,65535.0,58194.3,60026.2,15744.42,23525.6,5057.78,9051.64,61978.0,41569.7,45223.5,60961.8,65535.0,38507.1,65392.2,39011.3,40271.1,45690.2,65535.0,65535.0,65535.0,55466.1,34265.8,61614.6,53825.1,55929.8,43183.62,24081.4,19554.9,14494.4,20473.2,19649.3,34181.6,29066.2,21395.8,28545.6,22907.7,28613.9,32365.3,18321.9,21159.0,18206.2,19444.7,17271.4,21969.1,22716.5,14692.5,26098.8,28541.3,21372.3,16923.9,19462.0,21081.7,18418.0,22015.5,62455.1,53772.7,65176.5,61738.9,25410.5,19197.3,24658.9,20695.3,21753.9,22288.7,22324.4,23619.3,25559.3,26038.3,21877.7,19136.5,19203.4,16511.9,17220.4,19348.8,20164.5,16536.3,35648.64,38762.52,33382.14,34215.44,42700.6,29370.6,34617.8,28563.0,32196.6,35544.0,48905.8,42690.5,48202.1,53654.4,51504.3,42080.6,42118.6,36920.0,41262.1,33966.66,40747.1,41457.8,42629.6,39953.8,42673.9,45365.7,35278.6,28320.1,26239.8,39123.12,26423.4,32197.1,43646.4,35535.2,35585.9,35935.4,28356.0,31532.5,33174.7,33305.0,39078.9,26651.7,40515.6,40305.1,41459.6,48197.5,53751.2,47202.7,37615.9,32093.32
155.45,49374.4,40244.8,65535.0,25767.4,65380.3,44340.6,41978.7,37322.1,43471.4,15996.04,43335.4,56217.6,35977.0,49821.2,53594.7,38580.9,12099.12,23591.4,51504.0,51814.4,48827.7,37570.8,37308.7,26193.3,55103.3,43381.0,44910.1,12004.22,17679.32,4740.6,8956.98,46527.0,30960.8,33588.4,46418.2,61194.5,28665.2,53677.1,28981.4,29755.0,33673.66,62174.0,62016.8,52744.3,41093.7,25090.8,45736.4,39847.1,41432.5,31567.64,24416.2,19809.8,14574.9,20581.0,19595.2,34289.4,29208.5,21580.7,28762.0,23003.7,28697.0,32586.2,18351.9,21216.2,18348.8,19602.2,17437.8,22178.9,22905.8,14746.6,26384.3,28881.6,21647.3,17084.8,19739.1,21238.8,18457.6,22269.6,52091.0,45198.8,56710.8,52854.6,25711.1,19366.0,24880.1,20764.1,21892.9,22457.0,22561.0,23596.1,25896.0,26086.4,22014.1,19077.4,19334.9,16593.5,17174.1,19483.2,20433.6,16635.8,31703.52,32776.6,28167.52,28789.4,36080.8,25084.8,29113.1,24395.8,27111.8,29944.02,41533.1,36187.5,41167.7,45874.5,43928.6,35668.0,35656.9,31661.8,35043.5,28598.8,34726.5,35446.9,36196.1,34266.6,36169.8,38482.0,29929.3,24295.0,22434.3,33375.62,22481.5,27264.8,36844.8,30118.0,29856.0,30345.4,24080.1,26689.2,28161.1,28148.52,32700.0,22745.6,34466.1,34268.9,34983.3,40834.6,45595.1,40157.1,32108.0,26990.3
157.82,44661.4,37004.7,64471.2,24087.1,62756.6,40736.1,38061.3,34397.6,40178.5,15241.52,39558.5,52003.4,32691.2,45889.5,49428.6,34820.2,11305.58,22547.78,39375.4,39741.3,37281.1,28625.9,28141.1,20391.7,42076.3,33356.9,34312.8,9581.3,13948.82,4537.5,8825.36,35627.1,24166.2,25876.3,36210.9,48352.2,22342.9,41701.9,22686.8,23179.9,25733.06,47926.9,48051.8,40538.4,31253.5,19351.2,34568.1,30303.7,31604.2,24056.76,26440.7,21470.5,15827.5,22358.4,20044.0,35918.0,30781.1,22116.5,29332.4,23662.9,28992.4,33880.7,19819.8,22952.1,19527.2,21246.9,18587.3,24023.7,24750.9,15893.6,28071.7,31257.1,23199.9,17744.4,21223.9,23135.1,19853.7,24143.2,44582.7,39463.6,49096.3,46316.5,27789.4,20839.6,26760.1,22445.6,23554.4,24176.3,24436.3,24610.0,26914.8,27166.4,22886.3,20542.8,20795.2,17682.9,18120.6,20701.3,22305.8,17995.5,27910.4,27264.18,23700.94,24247.8,30229.9,21544.5,24740.4,20644.1,23054.0,25041.42,34924.1,30313.0,34646.4,38279.3,36945.3,29873.0,29864.1,26762.4,29353.6,23925.9,29331.9,29904.6,30433.3,28968.8,30519.7,32439.9,25073.6,20902.4,18993.2,28080.44,19084.4,23200.9,31058.6,25492.1,25010.2,25593.1,20394.8,22796.6,23914.3,23753.28,27439.3,19357.1,29010.3,28656.3,29361.6,34118.2,38492.0,33889.8,27093.6,22732.82
160.2,40975.2,33929.1,61088.1,22443.0,58618.0,37796.1,34863.1,32006.1,37193.1,14453.88,36091.0,48106.9,29890.0,42466.3,45739.2,31484.6,10546.44,21401.82,30113.7,31042.6,28999.1,22408.0,21982.5,16262.4,32397.2,25900.9,26609.9,7838.12,11203.5,4307.82,8597.48,27578.5,19396.2,20639.5,28571.0,38264.8,18002.8,32849.1,18367.9,18439.0,20307.1,36956.8,37482.0,31431.0,24149.1,15344.1,26433.0,23559.1,24515.7,18898.66,31224.0,25088.8,18265.9,26106.7,20965.8,39340.4,34186.6,23385.4,29957.6,25000.8,29019.1,36032.3,22876.5,26600.3,22334.2,24670.2,21191.2,27986.0,28881.3,18129.3,31910.8,36374.5,26570.1,18855.5,24579.9,27334.1,22794.9,28216.6,39303.2,36132.1,43510.7,41646.1,32538.6,24184.3,31092.9,26236.5,27118.6,28228.5,28394.9,26896.8,29659.5,29243.1,24708.0,23611.1,23934.7,20315.3,19969.0,23417.1,26233.4,20751.1,24900.96,23144.34,20166.26,20689.56,25871.5,18694.9,21363.7,17788.9,19882.5,21278.72,29594.9,25738.7,29434.8,32469.2,31132.5,25421.5,25361.8,23173.2,25047.4,20332.36,25287.8,25792.4,25852.8,25047.7,25880.2,27559.4,21468.9,18172.0,16399.3,24085.56,16488.3,20008.1,26428.2,22097.9,21332.6,22029.7,17561.7,19711.4,20602.5,20374.14,23343.7,16694.9,24810.9,24415.9,25017.3,28891.5,32727.3,28729.2,23418.4,19480.82
162.57,38792.4,32265.6,58593.8,21497.4,56204.4,36236.7,33111.1,30583.1,35657.6,14073.54,34149.9,46083.0,28338.9,40499.5,43641.3,29593.9,10134.7,20874.9,24450.6,25113.5,23663.6,18462.0,18002.9,13542.6,26180.5,21372.6,21881.5,6697.46,9499.78,4114.0,8465.82,22535.7,16355.9,17184.5,23837.1,31552.3,15046.6,27098.6,15337.1,15400.6,16801.38,29551.9,30431.4,25609.7,19833.1,12658.6,21431.8,19422.8,20086.1,15599.3,41893.1,33248.4,23803.6,34956.3,23859.9,48152.7,42479.5,26677.3,32097.1,28400.7,29964.2,41870.6,29730.2,35141.7,29041.8,32880.1,27003.5,37436.7,38660.8,23561.6,40633.8,47867.3,34467.3,21983.1,32579.2,37024.4,29697.8,37997.5,36656.9,35963.5,40123.6,40188.1,43495.2,32232.7,41249.3,35061.9,35324.8,37421.9,37789.2,32879.9,36311.1,34672.4,29109.2,31109.1,31250.8,26300.5,24467.4,29632.7,35304.5,27075.3,23273.04,20825.3,18203.02,18714.3,23413.7,17074.1,19386.0,16049.2,18162.1,19210.44,26669.4,23127.5,26384.3,29107.2,28008.1,22944.9,22898.8,21090.7,22704.3,18282.74,23046.6,23447.8,23261.5,22795.0,23494.4,24986.5,19505.7,16524.2,14867.3,21829.2,15010.0,18213.4,23942.5,20091.6,19384.0,19945.0,15934.3,17938.3,18753.4,18454.98,21119.2,15215.1,22581.6,22148.2,22545.9,26155.9,29513.5,26074.2,21473.0,17600.5
164.94,37390.2,31224.4,57266.8,21159.8,54718.6,35360.8,31991.0,30005.6,34776.0,13999.84,33096.8,44935.8,27541.6,39336.9,42380.7,28648.5,9964.6,20655.18,20726.3,21497.4,20216.2,15787.5,15335.5,11747.9,22065.0,18116.3,18642.1,6003.56,8353.96,4079.42,8481.96,19275.7,14240.6,14923.8,20760.4,27103.6,13178.6,23297.4,13512.5,13449.5,14513.92,24642.8,25630.4,21706.7,17014.2,10976.4,18220.9,16600.3,17092.8,13355.76,59639.1,47991.0,34254.7,50163.5,29846.7,62317.9,56988.4,33168.9,36461.1,35157.9,32155.6,52009.8,42867.4,50497.1,41719.3,47595.5,38380.8,53646.8,55216.6,33823.3,55357.0,65143.7,48323.2,27585.5,46771.6,53189.8,42374.9,54260.6,36662.3,39320.9,38568.3,41262.7,61628.1,46683.9,57815.3,50827.9,49368.7,53635.3,54252.6,44021.2,48704.6,44440.1,38069.8,45093.8,44936.6,37741.5,33468.8,41295.9,50932.4,39023.8,22475.46,19575.1,17246.0,17658.76,22128.8,16311.9,18501.8,15202.6,17176.4,18154.3,25056.7,21704.1,24897.1,27377.4,26292.3,21554.2,21611.5,20128.9,21409.7,17260.04,21707.5,22329.2,22127.3,21645.1,22231.3,23647.8,18429.1,15653.1,14133.6,20619.3,14190.6,17149.3,22509.9,18804.5,18361.6,18930.8,15177.6,17023.8,17772.0,17424.8,19744.7,14519.1,21216.7,20883.2,21258.7,24495.8,27766.7,24653.5,20336.3,16603.0
167.31,35956.7,29978.1,55452.2,20403.1,52800.7,34250.4,30812.7,29098.7,33667.0,13661.14,31859.8,43448.5,26386.7,38053.3,40981.4,27500.4,9640.28,20210.98,17550.7,18397.4,17306.3,13600.0,13114.2,10271.8,18713.8,15687.3,15943.9,5362.76,7378.74,3926.78,8338.94,16523.6,12503.6,13143.3,18153.0,23596.0,11522.8,20237.9,11769.4,11667.9,12540.48,20868.6,21850.8,18632.5,14523.0,9444.1,15437.1,14280.5,14664.4,11461.44,65535.0,60549.5,44576.8,63498.2,36391.3,65535.0,65535.0,39663.0,40507.9,41846.5,33896.4,61042.8,55781.9,64137.3,53863.3,61639.0,49338.2,65535.0,65535.0,43920.8,65535.0,65535.0,61322.3,33108.4,59386.7,65519.6,54306.9,65535.0,36811.4,42491.2,37148.4,42091.2,65535.0,60266.6,65535.0,64487.8,62872.2,65535.0,65535.0,56001.3,60741.0,54366.1,46962.7,59169.9,58228.8,49382.6,43080.7,52204.3,64402.0,50381.4,21655.94,18377.36,16163.22,16632.08,20730.0,15419.6,17338.8,14316.3,16072.7,17072.34,23586.8,20500.5,23443.7,25588.5,24633.2,20328.6,20181.4,19031.3,20156.2,16219.08,20615.9,20908.7,20854.4,20430.4,20962.5,22158.9,17351.0,14656.4,13321.5,19470.48,13391.0,16258.6,21138.9,17851.0,17178.0,17941.3,14283.8,16116.4,16777.9,16471.92,18581.7,13688.9,19982.4,19629.7,19951.9,23027.8,26041.9,23099.0,19164.0,15647.72
169.68,34699.8,29196.6,53865.4,19976.8,51288.7,33363.3,29565.7,28290.3,32745.6,13407.5,30790.1,42102.7,25536.1,36797.2,39685.2,26322.7,9468.86,19853.32,15274.5,16018.5,15060.3,12009.8,11471.1,9115.0,16279.2,13785.7,14013.6,4898.52,6660.8,3857.68,8228.92,14357.4,11212.5,11695.5,16214.0,20777.6,10408.3,17804.7,10594.3,10508.6,11118.6,18001.8,19056.9,16210.6,12824.9,8414.9,13469.4,12510.0,12938.9,10121.06,65535.0,62334.1,46820.3,65147.9,39916.8,65535.0,65535.0,42381.6,41857.8,43785.5,34432.3,62868.0,58925.6,65535.0,57361.3,64199.4,51706.1,65535.0,65535.0,46512.7,65535.0,65535.0,63557.4,34086.7,61500.9,65535.0,56972.4,65535.0,35862.6,42204.2,35406.9,41211.0,65535.0,63171.9,65535.0,65535.0,65040.3,65535.0,65535.0,60724.6,63668.6,58010.6,49968.2,63666.8,61817.3,53013.5,46264.5,54559.1,65516.3,52687.0,20787.02,17241.04,15219.44,15608.92,19441.2,14662.2,16264.7,13439.1,15200.0,16012.84,22197.2,19257.8,22022.5,23978.5,23164.7,19086.5,18982.2,17911.4,18880.8,15166.84,19386.2,19755.8,19642.0,19163.7,19688.6,20811.0,16377.9,13755.6,12514.0,18354.44,12615.4,15402.2,19720.3,16775.7,16109.9,16755.6,13435.0,15164.8,15812.6,15434.64,17427.3,12825.8,18840.5,18400.4,18677.9,21555.8,24333.9,21566.8,18096.0,14648.28
