wavenumber,E1,E2,E3,E4,E5,E6,E7,E8,M2E2,
4000.123,0.01175844,0.01895,0.01368,0.0083385,0.0094354,0.0094006,0.0089055,0.012474,0.01324,
3999.641,0.01175565,0.018951,0.013672,0.0083316,0.0094329,0.0093989,0.0089047,0.012476,0.013252,
3999.159,0.01175456,0.018956,0.013667,0.0083263,0.0094316,0.0093966,0.0089027,0.012479,0.013259,
3998.677,0.01175439,0.018966,0.013667,0.0083228,0.0094301,0.0093948,0.0089001,0.01248,0.013262,
3998.195,0.01175466,0.018976,0.01367,0.0083211,0.0094279,0.0093946,0.0088979,0.01248,0.013258,
3997.712,0.011755,0.018985,0.013675,0.008321,0.0094245,0.009396,0.0088975,0.012477,0.01325,
3997.23,0.01175589,0.018992,0.01368,0.0083223,0.0094205,0.0093982,0.0088998,0.012472,0.013239,
3996.748,0.01175766,0.018995,0.013683,0.0083244,0.0094165,0.0094001,0.0089048,0.012467,0.013226,
3996.266,0.01176049,0.018997,0.013683,0.0083273,0.0094135,0.0094004,0.0089119,0.012463,0.013215,
3995.784,0.0117643,0.018997,0.01368,0.0083304,0.0094119,0.0093984,0.0089198,0.012462,0.013207,
3995.302,0.01176838,0.018998,0.013675,0.0083332,0.0094113,0.0093942,0.0089268,0.012462,0.013201,
3994.82,0.01177192,0.018998,0.013667,0.0083356,0.0094114,0.0093886,0.0089314,0.012463,0.013198,
3994.338,0.01177407,0.018999,0.013661,0.0083373,0.009412,0.0093827,0.0089325,0.012464,0.013196,
3993.856,0.01177475,0.018999,0.013656,0.0083386,0.0094133,0.0093781,0.00893,0.012466,0.013194,
3993.373,0.01177407,0.018999,0.013653,0.0083402,0.0094163,0.009376,0.0089247,0.012467,0.013192,
3992.891,0.01177281,0.018999,0.013651,0.0083429,0.0094226,0.0093765,0.0089177,0.012469,0.01319,
3992.409,0.01177179,0.018999,0.013651,0.0083472,0.0094331,0.0093793,0.0089105,0.012473,0.01319,
3991.927,0.01177169,0.019001,0.013651,0.0083532,0.0094485,0.009383,0.008904,0.01248,0.013193,
3991.445,0.01177284,0.019004,0.013651,0.0083606,0.0094675,0.0093857,0.0088987,0.01249,0.013201,
3990.963,0.01177516,0.019007,0.013652,0.0083678,0.009488,0.0093858,0.0088941,0.012502,0.013214,
3990.481,0.01177832,0.019009,0.013655,0.0083738,0.0095077,0.0093824,0.0088896,0.012514,0.013229,
3989.999,0.01178204,0.019009,0.013659,0.0083771,0.0095237,0.0093756,0.0088845,0.012522,0.013246,
3989.516,0.01178537,0.019006,0.013666,0.0083771,0.0095346,0.009367,0.0088785,0.012525,0.013262,
3989.034,0.01178782,0.019001,0.013675,0.008374,0.0095401,0.009359,0.0088718,0.012521,0.013274,
3988.552,0.01178888,0.018994,0.013683,0.0083689,0.0095407,0.0093538,0.0088654,0.01251,0.013282,
3988.07,0.01178823,0.018988,0.013691,0.0083632,0.0095378,0.0093533,0.0088605,0.012496,0.013285,
3987.588,0.01178581,0.018985,0.013697,0.0083583,0.0095326,0.0093576,0.0088579,0.012479,0.013282,
3987.106,0.01178204,0.018984,0.0137,0.008355,0.0095258,0.0093653,0.0088581,0.012464,0.013275,
3986.624,0.01177785,0.018986,0.0137,0.0083532,0.0095183,0.0093741,0.0088608,0.012453,0.013265,
3986.142,0.0117741,0.01899,0.013699,0.0083519,0.0095105,0.0093816,0.0088647,0.012447,0.013253,
3985.66,0.01177145,0.018993,0.013696,0.0083496,0.0095032,0.0093855,0.0088686,0.012446,0.013242,
3985.177,0.01177039,0.018996,0.013694,0.0083448,0.0094976,0.0093849,0.0088714,0.012449,0.013231,
3984.695,0.01177056,0.018998,0.013693,0.0083368,0.0094945,0.0093803,0.0088724,0.012453,0.013223,
3984.213,0.01177094,0.018999,0.013693,0.0083263,0.0094947,0.0093729,0.0088716,0.012458,0.013218,
3983.731,0.01177046,0.019,0.013694,0.0083147,0.009498,0.0093646,0.0088696,0.012461,0.013215,
3983.249,0.01176835,0.019001,0.013697,0.0083046,0.0095033,0.0093567,0.0088668,0.012463,0.013215,
3982.767,0.01176433,0.019001,0.013701,0.0082984,0.009509,0.0093498,0.0088637,0.012462,0.013217,
3982.285,0.01175885,0.019,0.013705,0.008298,0.009513,0.0093441,0.0088605,0.012458,0.01322,
3981.803,0.01175269,0.018998,0.013711,0.0083034,0.0095149,0.0093393,0.0088572,0.012454,0.013223,
3981.32,0.01174724,0.018994,0.013715,0.0083133,0.0095139,0.0093352,0.0088534,0.012449,0.013226,
3980.838,0.01174353,0.01899,0.013719,0.0083249,0.0095111,0.0093322,0.0088495,0.012447,0.013227,
3980.356,0.01174214,0.018986,0.013719,0.0083351,0.0095075,0.0093308,0.0088457,0.012448,0.013225,
3979.874,0.01174336,0.018982,0.013715,0.0083415,0.0095042,0.0093314,0.0088426,0.012453,0.013222,
3979.392,0.01174721,0.018979,0.013707,0.0083428,0.0095016,0.0093345,0.0088408,0.012461,0.013216,
3978.91,0.01175344,0.018977,0.013696,0.0083397,0.0094995,0.0093389,0.0088406,0.012473,0.01321,
3978.428,0.01176178,0.018974,0.013684,0.0083343,0.0094979,0.0093437,0.0088419,0.012484,0.013205,
3977.946,0.01177186,0.01897,0.013672,0.0083286,0.0094963,0.009347,0.0088438,0.012494,0.013203,
3977.464,0.01178282,0.018966,0.013662,0.0083252,0.0094954,0.0093477,0.0088456,0.012501,0.013205,
3976.981,0.01179368,0.018961,0.013655,0.0083249,0.009496,0.0093448,0.0088465,0.012505,0.013212,
3976.499,0.01180291,0.018957,0.013651,0.0083274,0.0094993,0.0093389,0.0088463,0.012505,0.013223,
3976.017,0.01180903,0.018956,0.01365,0.0083318,0.0095054,0.0093309,0.0088456,0.012502,0.013236,
3975.535,0.01181111,0.018958,0.01365,0.0083364,0.0095141,0.0093227,0.0088453,0.012498,0.01325,
3975.053,0.01180883,0.018962,0.013651,0.0083404,0.009524,0.0093159,0.0088468,0.012494,0.013261,
3974.571,0.01180277,0.018968,0.013653,0.008343,0.0095329,0.0093117,0.0088509,0.012491,0.01327,
3974.089,0.01179419,0.018974,0.013655,0.0083443,0.0095389,0.0093107,0.0088579,0.012489,0.013275,
3973.607,0.01178456,0.018978,0.013659,0.0083445,0.0095412,0.0093129,0.0088673,0.012488,0.013277,
3973.125,0.01177553,0.018979,0.013664,0.0083438,0.0095399,0.0093178,0.0088776,0.012487,0.013277,
3972.642,0.01176825,0.018978,0.01367,0.0083421,0.009536,0.0093244,0.008887,0.012488,0.013275,
3972.16,0.01176355,0.018975,0.013677,0.0083391,0.0095314,0.0093319,0.0088938,0.012488,0.013271,
3971.678,0.01176178,0.018972,0.013683,0.0083345,0.0095275,0.0093392,0.0088965,0.012489,0.013266,
3971.196,0.01176331,0.018969,0.013688,0.0083293,0.0095249,0.0093451,0.0088948,0.012489,0.01326,
3970.714,0.01176811,0.018967,0.013691,0.0083246,0.0095236,0.0093486,0.0088893,0.01249,0.013252,
3970.232,0.01177591,0.018967,0.013692,0.008322,0.0095228,0.009349,0.0088816,0.012489,0.013243,
3969.75,0.01178575,0.018969,0.013689,0.0083228,0.0095219,0.0093458,0.0088735,0.012488,0.013234,
3969.268,0.01179637,0.018973,0.013683,0.0083274,0.0095207,0.0093395,0.0088669,0.012486,0.013225,
3968.785,0.01180587,0.018979,0.013676,0.0083351,0.0095191,0.0093313,0.0088636,0.012484,0.013219,
3968.303,0.01181271,0.018987,0.013668,0.0083437,0.009518,0.0093228,0.0088639,0.012482,0.013217,
3967.821,0.0118155,0.018996,0.01366,0.0083506,0.009518,0.0093162,0.0088675,0.012481,0.013217,
3967.339,0.01181404,0.019003,0.013653,0.0083535,0.0095189,0.0093129,0.008873,0.01248,0.01322,
3966.857,0.0118089,0.019008,0.013648,0.0083511,0.0095203,0.0093139,0.0088792,0.012478,0.013225,
3966.375,0.01180151,0.019009,0.013644,0.0083437,0.0095212,0.0093193,0.0088846,0.012474,0.013229,
3965.893,0.01179331,0.019007,0.013643,0.0083326,0.0095207,0.0093281,0.0088886,0.012469,0.013234,
3965.411,0.01178554,0.019002,0.013643,0.0083206,0.0095181,0.0093389,0.0088907,0.012463,0.013237,
3964.929,0.01177884,0.018997,0.013645,0.0083101,0.0095141,0.0093494,0.0088917,0.012457,0.013238,
3964.446,0.01177322,0.018995,0.013648,0.0083034,0.0095092,0.0093581,0.0088919,0.012454,0.013238,
3963.964,0.01176859,0.018998,0.013653,0.0083014,0.0095051,0.0093637,0.0088918,0.012455,0.013236,
3963.482,0.01176498,0.019007,0.013659,0.0083042,0.0095026,0.0093658,0.0088918,0.012462,0.013232,
3963,0.0117629,0.01902,0.013666,0.0083105,0.0095019,0.0093647,0.0088917,0.012474,0.013227,
3962.518,0.0117629,0.019035,0.013675,0.0083186,0.0095028,0.0093616,0.0088918,0.01249,0.013222,
3962.036,0.01176556,0.019048,0.013684,0.0083261,0.0095041,0.0093581,0.008892,0.012507,0.013218,
3961.554,0.01177128,0.019056,0.013693,0.0083311,0.0095045,0.0093551,0.008893,0.012522,0.013215,
3961.072,0.01177924,0.019056,0.013702,0.0083324,0.0095035,0.0093539,0.0088951,0.012533,0.013214,
3960.589,0.0117881,0.019049,0.013709,0.0083296,0.0095011,0.0093547,0.0088985,0.012538,0.013216,
3960.107,0.0117963,0.019036,0.013714,0.0083237,0.0094982,0.0093567,0.0089028,0.012539,0.013218,
3959.625,0.01180239,0.019021,0.013716,0.0083165,0.0094958,0.0093594,0.0089075,0.012535,0.013221,
3959.143,0.01180566,0.019008,0.013717,0.0083106,0.0094952,0.0093616,0.0089114,0.01253,0.013224,
