eje_x,aspirin_ftir,aspirin_raman
1,2.9090309995293873e-13,
2,3.600137924448935e-13,
3,4.453511404067371e-13,
4,5.506497119890168e-13,
5,6.804812007474714e-13,
6,8.404361980655577e-13,
7,1.0373440059564557e-12,
8,1.279538121846882e-12,
9,1.5771764855242108e-12,
10,1.942627300486685e-12,
11,2.3909332719747594e-12,
12,2.940369493389077e-12,
13,3.613113020908187e-12,
14,4.436045471140881e-12,
15,5.441713836974393e-12,
16,6.669479232273779e-12,
17,8.166888549578973e-12,
18,9.991310163836884e-12,
19,1.2211881973292629e-11,
20,1.4911828388067373e-11,
21,1.8191212530298727e-11,
22,2.2170201092444376e-11,
23,2.6992932233245848e-11,
24,3.283209182277767e-11,
25,3.989432055881024e-11,
26,4.8426594280370496e-11,
27,5.872374255224314e-11,
28,7.113729667850348e-11,
29,8.608588816079538e-11,
30,1.0406745273309016e-10,
31,1.25673534016409e-10,
32,1.5160602513793258e-10,
33,1.8269673700271108e-10,
34,2.199302390104656e-10,
35,2.644704826604796e-10,
36,3.1769179154128877e-10,
37,3.8121488359109425e-10,
38,4.5694868424919865e-10,
39,5.471387932887475e-10,
40,6.544235848984498e-10,
41,7.818990512211797e-10,
42,9.331936453976888e-10,
43,1.1125545426236403e-09,
44,1.3249469183045415e-09,
45,1.57616804265861e-09,
46,1.872978212709064e-09,
47,2.2232507872239332e-09,
48,2.636143859546645e-09,
49,3.122296399191774e-09,
50,3.694052017351671e-09,
51,4.365713865856665e-09,
52,5.153834565414358e-09,
53,6.077545478817482e-09,
54,7.158930099861716e-09,
55,8.423446820428961e-09,
56,9.900406867865788e-09,
57,1.1623513773496856e-08,
58,1.3631471341656956e-08,
59,1.5968667737461713e-08,
60,1.8685944000715777e-08,
61,2.1841456022464793e-08,
62,2.55016397887438e-08,
63,2.9742290501459693e-08,
64,3.4649767026718884e-08,
65,4.032233399311623e-08,
66,4.6871654762471524e-08,
67,5.442444941813801e-08,
68,6.312433285509448e-08,
69,7.313384900418378e-08,
70,8.463671817125443e-08,
71,9.784031541048409e-08,
72,1.1297839876809249e-07,
73,1.303141071146572e-07,
