raman_shift,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
1801.26,-0.0,-0.0,-0.0,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0005194805194805322,-0.0005194805194805322,-0.0,-0.0002597402597402661,-0.0002597402597402661,-0.0005194805194805322,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.000519480519480525,-0.0005194805194805322,-0.0005194805194805322,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0005194805194805322,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0005194805194805322,-0.0002597402597402661,-0.0002597402597402661,-0.0005194805194805322,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402625,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0,-0.0,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402625,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.000519480519480525,-0.0005194805194805322,-0.0002597402597402661,-0.0002597402597402661,-0.0005194805194805322,-0.0005194805194805322,-0.0002597402597402661,-0.0002597402597402661,-0.00025974025974025887,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0,-0.0002597402597402661,-0.0002597402597402625,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0002597402597402661,-0.0,-0.0002597402597402661,-0.0002597402597402661,-0.0,-0.0,-0.0005194805194805322,-0.0005194805194805322,-0.0,-0.0,-0.0005194805194805322,-0.0002597402597402661,-0.0,-0.0002597402597402661,-0.0005194805194805322,-0.0002597402597402661,-0.0,-0.0002597402597402661,-0.0002597402597402661
1797.41,-0.00012936567139102198,-0.00012936567139102198,-0.00012936567139102545,-0.00013003857361834278,-0.00013003857361834278,-0.00025940424500936823,-0.00025940424500936823,-0.00025940424500936823,-0.00025940424500936823,-0.0003894428186277145,-0.0003894428186277145,3.469446951953614e-18,-0.00025940424500936823,-0.00025940424500936823,-0.00038944281862771796,-0.00025940424500936823,-0.0003887699164003937,-0.00025940424500936823,-0.00025940424500936823,-0.0002594042450093717,-0.0003894428186277145,-0.0005188084900187399,-0.0003894428186277145,-0.00025940424500936997,-0.00025940424500936823,-0.00025940424500936823,-0.0003894428186277145,-0.00013003857361834278,-0.00013003857361834278,-0.00025940424500936823,-0.00038944281862771796,-0.0002594042450093717,-0.0003887699164003937,-0.00038944281862771796,-0.00025940424500936823,-0.00025940424500936823,-0.00013003857361834452,-0.00025940424500936823,-0.00013003857361834278,-0.00025940424500936823,-0.00025940424500936823,-0.00012936567139102198,-0.00012936567139102198,-0.00025940424500936823,-0.00025940424500936823,-0.00013003857361834278,-0.0002594042450093717,-0.00012936567139102545,-0.0002594042450093717,-0.00025940424500936823,-0.00013003857361834278,-0.00025940424500936823,-0.00013003857361834452,-0.00013003857361834278,-0.0003887699164003902,-0.00038876991640039715,-0.00025940424500936823,-0.00025940424500936823,-0.0003894428186277145,-0.00038944281862771796,-0.0002594042450093717,-0.0002594042450093717,-0.00038944281862771796,-0.00038944281862771796,-0.00025940424500936997,-0.00025940424500936823,-0.00025940424500936476,-0.0002594042450093717,-0.00025940424500936823,-0.0002594042450093717,-0.0003887699164003937,-0.0002594042450093717,-0.00025940424500936823,-0.00025940424500936823,-0.0002594042450093717,-0.00025940424500936823,-0.00025940424500936997,-0.00012936567139102371,-0.00013003857361834278,-0.00025940424500936823,-0.0002594042450093717,-0.00025940424500936823,-0.00013003857361833931,-0.0002594042450093717,-0.00013003857361834278,-0.00025940424500936823,-0.00025940424500936823,-0.0003887699164003937,-0.00025940424500936823,-0.00025940424500936823,-0.00025940424500936823,-0.00025940424500936823,-0.0001293656713910185,-0.0002594042450093717,-0.00038876991640039715,3.469446951953614e-18,-0.00012936567139102198,-0.0003894428186277145,-0.0003894428186277145,3.469446951953614e-18,-0.00012936567139102198,-0.0003894428186277145,-0.00025940424500936823,-0.00012936567139102198,-0.0003887699164003937,-0.00038944281862771796,-0.00025940424500936823,-0.00012936567139102198,-0.00025940424500936476,-0.0002594042450093717
1793.55,-0.000259067357512955,-0.000259067357512955,-0.000259067357512955,-0.00025906735751296886,-0.00012953367875648616,-0.000259067357512955,-0.0002590673575129515,-0.0001295336787564723,-0.000259067357512955,-0.00012953367875646882,-0.000259067357512955,0.0,-0.000259067357512955,-0.000259067357512955,-0.000259067357512955,-0.0003886010362694377,-0.0005181347150259065,-0.00012953367875646882,-0.000259067357512955,-0.000259067357512955,-0.000259067357512955,-0.00025906735751293763,0.00012953367875650004,-0.00025906735751295325,-0.00012953367875646882,-0.000259067357512955,-0.000259067357512955,-0.00012953367875648616,-0.00025906735751296886,-0.0002590673575129515,-0.0003886010362694377,-0.000259067357512955,-0.00025906735751293763,-0.000259067357512955,-0.000259067357512955,-0.000259067357512955,-0.00012953367875648616,-0.00025906735751295325,-0.00012953367875647923,-0.000259067357512955,-0.00012953367875646882,-0.00012953367875646882,-0.0001295336787564723,-0.0002590673575129515,-0.00012953367875646882,-0.00012953367875648616,-0.0001295336787564723,-0.000259067357512955,-0.000259067357512955,-0.000259067357512955,-0.00012953367875647923,-0.00025906735751295325,-0.00012953367875648616,-0.00012953367875648616,-0.00038860103626941686,-0.0003886010362694238,-0.000259067357512955,-0.0002590673575129515,-0.000259067357512955,-0.000259067357512955,-0.0003886010362694342,-0.0003886010362694377,-0.0002590673575129515,-0.0002590673575129515,-0.00012953367875646882,-0.0002590673575129515,-0.000259067357512955,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0003886010362694238,-0.0002590673575129515,-0.000259067357512955,-0.0002590673575129515,-0.0002590673575129515,-0.000259067357512955,-0.00025906735751295325,-0.00038860103626943594,-0.0001295336787564827,-0.00025906735751295325,-0.00012953367875646882,-0.00012953367875646882,-0.00012953367875648616,-0.0002590673575129515,-0.0001295336787564827,-0.00012953367875646882,-0.00012953367875646882,-0.0003886010362694238,-0.0002590673575129515,-0.000259067357512955,-0.0002590673575129515,-0.00012953367875646882,-0.000259067357512955,-0.000259067357512955,-0.0003886010362694238,-0.0001295336787564827,-0.000259067357512955,-0.0002590673575129515,-0.00012953367875646882,0.0,-0.00012953367875646882,-0.000259067357512955,-0.000259067357512955,-0.00012953367875646882,-0.00025906735751293763,-0.0003886010362694377,-0.000259067357512955,-0.000259067357512955,-0.00025906735751294804,-0.000259067357512955
1789.69,-0.00025940424500937864,-0.00012936567139104627,-0.0001293656713910428,-0.0002587313427820856,-0.00025940424500937517,-0.0001293656713910428,-0.00012936567139103933,-0.00013003857361833585,-0.0001293656713910428,-0.00013003857361833585,-0.00012936567139104627,0.0001300385736183289,-0.0001293656713910428,-0.0001293656713910428,-0.00025940424500937517,-0.0002587313427820856,-0.0003887699164004145,-0.00013003857361833238,-0.0001293656713910428,-0.00025940424500937517,-0.0001293656713910428,-3.469446951953614e-18,0.0005188084900187434,-0.00012936567139104106,0.0001300385736183289,-0.0002594042450093717,-0.00012936567139104627,-0.0002594042450093717,-0.0002587313427820856,-0.00012936567139104627,-0.0002587313427820856,6.72902227289579e-07,0.0,-0.0001293656713910428,-0.0001293656713910428,-0.00012936567139104627,-0.00025940424500937517,-0.0001293656713910428,-0.00012936567139103933,-0.0001293656713910428,0.00013003857361833238,0.0,0.00013003857361833238,6.72902227289579e-07,0.0,-0.00025940424500937517,-0.00013003857361833585,-0.0001293656713910428,-0.0001293656713910428,-0.0001293656713910428,-0.00012936567139103933,-0.0001293656713910428,-0.00025940424500937517,-0.0001293656713910428,-0.00025940424500937517,-0.00025940424500937517,-0.00025940424500937517,-0.0002594042450093717,-0.00025940424500937517,-0.00025940424500937517,-0.0002587313427820821,-0.0002587313427820856,-0.00025940424500937517,-0.0001293656713910428,-1.734723475976807e-18,-0.00012936567139103933,-0.0001293656713910428,-0.0001293656713910428,-0.00025940424500937517,-0.0002594042450093717,-0.00012936567139104627,-0.0001293656713910428,-0.00025940424500937517,-0.00025940424500937864,-0.00025940424500937517,-0.00012936567139104627,-0.00025940424500937517,-0.0002587313427820821,-0.00025940424500937517,-0.00025940424500937517,-0.00013003857361833238,-0.00013003857361833585,-0.0001293656713910428,-0.00025940424500937517,-0.0001293656713910428,-0.00013003857361833585,-0.00013003857361833238,-0.0001293656713910428,-0.00025940424500937864,-0.00025940424500937517,-0.0001293656713910428,-0.00013003857361833238,-0.0001293656713910428,-0.00025940424500937517,-0.00012936567139103933,-0.0001293656713910428,-0.0001293656713910428,-0.00012936567139104627,-3.469446951953614e-18,0.0,-3.469446951953614e-18,-0.00025940424500937517,-0.0001293656713910428,-0.00013003857361833238,-3.469446951953614e-18,-0.0002587313427820821,-0.0001293656713910428,-0.00012936567139103933,-0.0002594042450093717,-0.0001293656713910428
1785.84,-0.0002594042450093717,-0.00025873134278207865,-0.00012936567139103933,-0.00012936567139103933,-0.0002594042450093717,-0.00012936567139103933,-0.0001293656713910428,-0.0002594042450093717,-0.00012936567139103933,-0.0002594042450093717,-0.00012936567139103933,0.00013003857361833238,3.469446951953614e-18,3.469446951953614e-18,-0.00038876991640041103,-0.00025873134278207865,-0.0002594042450093717,-0.0002594042450093717,-0.00012936567139103933,-0.00025940424500936823,-0.00012936567139103933,-0.00012936567139103933,0.00013071147584562195,0.0,6.729022272930485e-07,-0.0002594042450093717,-0.00012936567139103933,-0.0002594042450093717,-0.00012936567139103933,-0.00025873134278207865,-0.00025873134278207865,-0.00012869276916374975,-0.0001293656713910428,-0.00025873134278207865,-0.0002587313427820752,-0.00025873134278207865,-0.0002594042450093717,-0.0002587313427820804,-0.0002587313427820821,-0.00025873134278207865,-0.00012869276916374975,-0.00012936567139103933,6.72902227289579e-07,-0.00012869276916374975,-0.00012936567139103933,-0.0002594042450093717,-0.00025940424500937517,-0.00012936567139103933,-0.00025873134278207865,-0.00025873134278207865,-0.0002587313427820821,-0.0002587313427820804,-0.0002594042450093717,-0.00025873134278207865,-0.0002594042450093717,-0.0003887699164004145,-0.0003887699164004145,-0.0002594042450093717,-0.0003887699164004145,-0.0002594042450093717,-0.00025873134278207865,-0.0002587313427820821,-0.0002594042450093717,-0.00012936567139103933,-0.00025873134278207865,-0.0002587313427820821,-0.0002587313427820821,-0.0002587313427820821,-0.00025940424500937517,-0.0002594042450093717,-0.00025873134278207865,-0.0002587313427820821,-0.00038876991640041103,-0.0002594042450093717,-0.00025940424500936823,-0.00025873134278207865,-0.00038876991640041103,-0.0002587313427820821,-0.00038876991640041103,-0.00038876991640041277,-0.0002594042450093717,-0.0002594042450093717,-0.00012936567139103933,-0.00025940424500936823,-0.0002587313427820821,-0.00025940424500936823,-0.00025940424500937517,-0.00012936567139103933,-0.0002594042450093717,-0.0002594042450093717,-0.00012936567139103933,-0.0002594042450093717,-0.00012936567139103933,-0.00025940424500936823,-0.0001293656713910428,-0.00012936567139103933,3.469446951953614e-18,-0.00012936567139103586,-0.00012936567139103933,0.0,-0.00012936567139103933,-0.0002594042450093717,-0.00012936567139103933,-0.0002594042450093717,-0.00012936567139103933,-0.00012936567139103933,-0.00012936567139103933,-0.0001293656713910428,-0.00025940424500936823,-0.00012936567139103933
1781.98,-0.000259067357512955,-0.00025906735751296886,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,0.0,-0.00012953367875646882,-0.00012953367875646882,-0.0003886010362694377,-0.0005181347150259065,-0.00038860103626942033,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.000259067357512955,-0.00012953367875646882,-0.0002590673575129515,-0.0002590673575129515,-0.00038860103626942033,-0.0002590673575129515,-0.000259067357512955,-0.0003886010362694377,-0.0003886010362694342,-0.0005181347150259065,-0.0002590673575129515,-0.0003886010362694342,-0.0005181347150258996,-0.000518134715025903,-0.0002590673575129515,-0.00038860103626943594,-0.0003886010362694342,-0.0003886010362694377,-0.0003886010362694377,-0.000259067357512955,-0.0001295336787564827,-0.0003886010362694377,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.0003886010362694342,-0.0003886010362694377,-0.0003886010362694342,-0.00038860103626943594,-0.0002590673575129515,-0.0003886010362694342,-0.00038860103626942033,-0.0003886010362694377,-0.0005181347150259065,-0.0003886010362694238,-0.0003886010362694377,-0.00038860103626942033,-0.00038860103626943074,-0.0003886010362694377,-0.00038860103626942033,-0.0002590673575129515,-0.000518134715025903,-0.0003886010362694377,-0.0003886010362694342,-0.0005181347150259065,-0.0003886010362694238,-0.0003886010362694134,-0.000518134715025903,-0.0003886010362694377,-0.0005181347150259065,-0.0003886010362694238,-0.0003886010362694134,-0.0003886010362694342,-0.0003886010362694342,-0.0003886010362694342,-0.0003886010362694342,-0.0003886010362694342,-0.0002590673575129515,-0.0002590673575129515,-0.00025906735751294804,-0.0002590673575129446,-0.00025906735751296886,-0.000259067357512955,-0.0002590673575129515,-0.00038860103626942033,-0.0002590673575129515,-0.00038860103626942033,-0.0002590673575129515,-0.0001295336787564827,-0.0002590673575129515,-0.0002590673575129515,-0.00038860103626942033,-0.0001295336787564827,-0.00012953367875646882,-0.0003886010362694238,-0.0002590673575129515,0.00012953367875646882,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.00012953367875648616,-0.00038860103626942033,-0.0002590673575129515,-0.0002590673575129515,-0.0002590673575129515,-0.00025906735751294804,-0.00038860103626942033
1778.12,-0.0002590673575129515,-0.0002590673575129654,-0.000259067357512955,-0.0002590673575129515,-0.0002590673575129515,-0.0003886010362694377,-0.0003886010362694377,-0.0003886010362694342,-0.0003886010362694377,-0.0003886010362694377,-0.0003886010362694342,-0.00025906735751296886,-0.0003886010362694377,-0.0005181347150259204,-0.0003886010362694377,-0.0005181347150259065,-0.000518134715025903,-0.0003886010362694377,-0.0003886010362694377,-0.0003886010362694377,-0.0005181347150259238,-0.0006476683937824065,-0.0007772020725388892,-0.0005181347150259204,-0.0003886010362694377,-0.0005181347150259204,-0.0005181347150259065,-0.0002590673575129515,-0.0002590673575129515,-0.00038860103626943074,-0.0005181347150259204,-0.0006476683937823927,-0.0005181347150259204,-0.0006476683937824065,-0.0007772020725388754,-0.0007772020725388754,-0.0003886010362694377,-0.0003886010362694377,-0.00038860103626944115,-0.0003886010362694377,-0.0006476683937824031,-0.0005181347150259204,-0.000388601036269455,-0.0005181347150259204,-0.0003886010362694377,-0.000259067357512955,-0.0003886010362694342,-0.0003886010362694377,-0.0003886010362694377,-0.0003886010362694377,-0.00038860103626944115,-0.0003886010362694377,-0.0003886010362694377,-0.0002590673575129515,-0.0007772020725388754,-0.0005181347150259238,-0.0006476683937823927,-0.0006476683937823892,-0.0005181347150259238,-0.0006476683937823927,-0.0005181347150259204,-0.0005181347150259238,-0.0006476683937823892,-0.0005181347150259204,-0.0006476683937823927,-0.0005181347150259204,-0.0005181347150259238,-0.0006476683937823857,-0.0006476683937823892,-0.0006476683937823857,-0.0006476683937823892,-0.0005181347150259204,-0.0006476683937823892,-0.0007772020725388684,-0.0005181347150259065,-0.0005181347150259204,-0.0005181347150259221,-0.0005181347150259204,-0.0003886010362694377,-0.0003886010362694377,-0.0003886010362694342,-0.000259067357512955,-0.0003886010362694377,-0.0003886010362694377,-0.00025906735751296886,-0.0003886010362694377,-0.000259067357512955,-0.0006476683937823892,-0.0003886010362694377,-0.0005181347150259065,-0.0003886010362694342,-0.00025906735751296886,-0.0003886010362694377,-0.0005181347150259238,-0.0006476683937823892,-0.00012953367875648616,-0.0002590673575129515,-0.0006476683937823927,-0.0005181347150259204,-1.3877787807814457e-17,-0.0005181347150259204,-0.0005181347150259204,-0.0003886010362694377,-0.0002590673575129654,-0.0006476683937823892,-0.0005181347150259204,-0.0003886010362694377,-0.0003886010362694377,-0.0005181347150259204,-0.0005181347150259065
1774.26,-0.0003894428186277249,-0.00038876991640041797,-0.0003894428186277214,-0.0003894428186277214,-0.0003894428186277214,-0.0005188084900187642,-0.0005188084900187608,-0.00038876991640041797,-0.0005188084900187608,-0.00038876991640041797,-0.00038876991640041797,-0.00038876991640041797,-0.0006488470636371035,-0.0006481741614097966,-0.0005188084900187573,-0.0005188084900187608,-0.0006488470636371035,-0.0006488470636371035,-0.0006488470636371035,-0.0007788856372554463,-0.0009082513086464856,-0.0011676555536558643,-0.0009069055041918718,-0.0007782127350281411,-0.0005188084900187608,-0.0007782127350281429,-0.0006488470636371035,-0.0005194813922460677,-0.00025940424500937864,-0.0005188084900187573,-0.0009082513086464856,-0.0007782127350281394,-0.0007782127350281394,-0.0009075784064191787,-0.0009075784064191787,-0.001037616980037518,-0.0006488470636371001,-0.0007788856372554463,-0.0005188084900187642,-0.0005188084900187573,-0.0009075784064191787,-0.0007782127350281359,-0.0006481741614097966,-0.0007782127350281394,-0.0006488470636371035,-0.0005194813922460677,-0.0006488470636371035,-0.0005188084900187608,-0.0005188084900187608,-0.0005188084900187573,-0.0005188084900187642,-0.0007788856372554463,-0.0006488470636371001,-0.0005194813922460642,-0.0010376169800375215,-0.001038289882264825,-0.0009082513086464856,-0.0007782127350281394,-0.0007782127350281394,-0.0007782127350281394,-0.0009082513086464822,-0.0007782127350281394,-0.0007782127350281394,-0.0007782127350281429,-0.0007782127350281394,-0.0007782127350281359,-0.0007782127350281429,-0.0007782127350281359,-0.0009082513086464856,-0.0009082513086464856,-0.0009082513086464787,-0.0009082513086464822,-0.0007782127350281429,-0.001037616980037518,-0.0006488470636371035,-0.0007782127350281394,-0.0009082513086464839,-0.0009082513086464822,-0.0007788856372554463,-0.0006488470636371001,-0.0006488470636371035,-0.0005194813922460677,-0.0005188084900187608,-0.0006488470636371035,-0.0005188084900187608,-0.0005188084900187573,-0.0003894428186277214,-0.0006481741614097966,-0.0005188084900187642,-0.000648847063637107,-0.0006488470636371035,-0.0005188084900187608,-0.0005188084900187642,-0.0007782127350281394,-0.0007782127350281429,-0.0003894428186277214,-0.0003894428186277249,-0.0007782127350281429,-0.0007782127350281429,-0.00012936567139103586,-0.0007782127350281429,-0.0007782127350281429,-0.0005188084900187642,-0.0005188084900187608,-0.0007782127350281394,-0.0006481741614097966,-0.0005188084900187608,-0.0005188084900187608,-0.0007782127350281394,-0.0006488470636371035
1770.41,-0.0003894428186277145,-0.0003887699164003937,-0.00038944281862771796,-0.0005188084900187399,-0.0005188084900187399,-0.00038944281862771796,-0.0003894428186277145,-0.0003887699164003937,-0.0005188084900187399,-0.00038876991640039715,-0.0003887699164003937,-0.00025940424500936823,-0.0006488470636370897,-0.0005188084900187399,-0.0006481741614097619,-0.0006481741614097689,-0.0007782127350281116,-0.0007782127350281116,-0.0007782127350281186,-0.0009082513086464614,-0.0009082513086464614,-0.0009089242108737822,-1.3458044546381387e-06,-0.0009075784064191406,-0.0003894428186277145,-0.0007782127350281116,-0.0006488470636370862,-0.0007782127350281151,-0.0005181355877914157,-0.0006481741614097654,-0.0010376169800374903,-0.0006488470636370897,-0.0007782127350281116,-0.0007782127350281186,-0.0006488470636370897,-0.0007788856372554324,-0.001036944077810166,-0.0010376169800374868,-0.0007775398328007943,-0.0007775398328007943,-0.0006488470636370862,-0.0006488470636370862,-0.0005188084900187399,-0.0006488470636370862,-0.0007782127350281151,-0.0007782127350281151,-0.0007782127350281151,-0.0006481741614097654,-0.0007775398328007908,-0.0007775398328007943,-0.0007775398328007943,-0.0010376169800374868,-0.001036944077810166,-0.0007782127350281151,-0.0010376169800374868,-0.0011676555536558296,-0.0009082513086464614,-0.0009075784064191371,-0.0009075784064191406,-0.0009075784064191406,-0.0009082513086464648,-0.0009075784064191406,-0.0009075784064191406,-0.0006488470636370897,-0.0009075784064191406,-0.0007782127350281116,-0.0007782127350281151,-0.0009075784064191371,-0.0009082513086464579,-0.0010376169800374903,-0.0010376169800374833,-0.0009082513086464579,-0.0009075784064191371,-0.0010376169800374903,-0.0010369440778101695,-0.0010369440778101625,-0.0011669826514285157,-0.0012963483228195377,-0.0011669826514285088,-0.001036944077810166,-0.0009075784064191371,-0.0007782127350281151,-0.0006481741614097689,-0.0007782127350281186,-0.0006481741614097654,-0.0006481741614097689,-0.0007775398328007943,-0.0006481741614097689,-0.0006481741614097689,-0.0007782127350281151,-0.0007782127350281116,-0.0007775398328007943,-0.0007775398328007943,-0.0007782127350281151,-0.0006488470636370862,-0.0006481741614097689,-0.0006481741614097654,-0.0006488470636370897,-0.0006488470636370897,-0.00012936567139102198,-0.0005194813922460642,-0.0007782127350281151,-0.0006481741614097689,-0.0005188084900187365,-0.0006488470636370897,-0.0005188084900187365,-0.0006481741614097689,-0.0006481741614097689,-0.0006488470636370897,-0.0006488470636370862
1766.55,-0.0005181347150259204,-0.000518134715025903,-0.0005181347150259204,-0.000518134715025903,-0.0006476683937823892,-0.0003886010362694377,-0.0003886010362694377,-0.000518134715025903,-0.0005181347150258996,-0.0006476683937823892,-0.000518134715025903,-0.0003886010362694342,-0.000906735751295358,-0.0009067357512953511,-0.0010362694300518303,-0.00103626943005182,-0.001165803108808306,-0.0009067357512953372,-0.001165803108808313,-0.0011658031088083096,-0.0012953367875647957,-0.0011658031088083234,-0.00025906735751299315,-0.0015544041450777438,-0.0007772020725388892,-0.0012953367875647957,-0.0009067357512953511,-0.0009067357512953442,-0.00103626943005182,-0.0009067357512953442,-0.001295336787564775,-0.0009067357512953546,-0.001165803108808313,-0.001165803108808313,-0.001165803108808327,-0.001165803108808327,-0.0016839378238342126,-0.0016839378238342265,-0.0014248704663212645,-0.001424870466321261,-0.00116580310880832,-0.0010362694300518442,-0.0007772020725388754,-0.0010362694300518373,-0.001165803108808306,-0.0011658031088083096,-0.001165803108808306,-0.0011658031088083096,-0.0012953367875647784,-0.001424870466321261,-0.0014248704663212645,-0.0016839378238342265,-0.0016839378238342126,-0.0012953367875647957,-0.0016839378238342334,-0.0015544041450777438,-0.0014248704663212784,-0.0014248704663212645,-0.0014248704663212645,-0.001424870466321261,-0.0012953367875647957,-0.001424870466321261,-0.0014248704663212576,-0.0010362694300518407,-0.0012953367875647784,-0.001165803108808313,-0.0011658031088083096,-0.0014248704663212645,-0.0014248704663212715,-0.0015544041450777472,-0.0015544041450777472,-0.0014248704663212784,-0.0015544041450777472,-0.001813471502590716,-0.0018134715025907022,-0.0018134715025907022,-0.0019430051813471814,-0.002072538860103647,-0.0018134715025906953,-0.0018134715025906988,-0.0014248704663212576,-0.001165803108808306,-0.0010362694300518269,-0.0012953367875647957,-0.00103626943005182,-0.0010362694300518269,-0.001036269430051813,-0.0009067357512953407,-0.0009067357512953442,-0.0009067357512953442,-0.00103626943005182,-0.001295336787564775,-0.0011658031088082887,-0.0009067357512953407,-0.000906735751295358,-0.0009067357512953407,-0.0009067357512953407,-0.0009067357512953511,-0.000906735751295358,-0.0006476683937824065,-0.0005181347150259204,-0.0009067357512953442,-0.0010362694300518269,-0.0007772020725388684,-0.0007772020725388684,-0.0007772020725388684,-0.0009067357512953442,-0.0009067357512953442,-0.000906735751295358,-0.000906735751295358
