0	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Ibuprofen	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Acetylsalicylic-acid	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol	Paracetamol
Ibuprofen	0.0	107086.55941872437	333117.63440449996	298746.5815001572	287481.44431340316	43718.96781409641	121743.55271126286	133046.7441494906	68139.5578098362	413084.27337878325	85175.47603623953	165852.4555329223	181931.2409325018	47117.10152789545	107416.86701943021	165723.49473333574	488836.18061050825	299135.8228500555	495547.5489435803	481797.58602827205	489909.5625412608	515978.78674946475	524123.11771219363	540889.0428730552	489305.24286880455	499667.8945107836	501472.34384464327	592006.5757961576	568672.8018617864	596063.9600313824	532827.9052052783	498058.2687400241	511469.7779000824	508212.42814061564	457906.8284418465	418372.2529247966	523797.7779479886	450778.5463714307	517600.26428988605	522968.2772393847	522231.24916417885	477819.52973336086	456496.1085449476	471674.39806730056	507237.62705258775	549439.874516985	507335.5568822374	506747.3261381653	504228.3076449789	533555.4138919488	521246.7599111771	523577.0012800315	550294.081216517	523225.73318700556	418153.0628595349	378513.40099542047	412017.4655003346	406205.5587383188	262152.9533333925	358030.795741637	213385.23321729645	284791.0109300674	529322.6484961236	518454.52676604176	523325.9044341012	536061.692491162	513363.4957906827	518845.52822767966	517735.10630968405	545212.1701427893	439847.3676203145	480623.11194395344	493406.51856213907	439892.97108021553	522425.0373196521	531098.4018961078	524168.7120240867	524076.50851508323	287309.3193009934	340229.70138327143	202282.37402317123	236001.7609272016	514913.823054897	537649.9403152213	499453.0564846315	532298.145215601	485972.40116771014	516690.6887168958	516207.1216509702	434372.1787928411	420104.0621607691	375819.6899709485	427604.5714968448	540532.2466995193	525815.9103595673	535491.7350118303	493991.6232292708	487773.44005143445	529057.7880732877	535047.0045179585	352713.5118783011	491088.7792065732	498868.0936273038	497438.360011996	475962.9326288233	486171.9001504095	484900.73189574596	513970.8428367899	494853.23184409976	497371.9882755508	455626.44802552933	471109.58424908924	452799.65574290155	458680.6488911319	458532.2036339539	475364.00823179726	478351.33253502054	462782.3857629629	463321.8756138112	506318.2573629089	452265.3006713537	451196.3008017029	467354.36586992553	452390.7178389051	468096.3824156844	462099.2756999845	486880.41163699527	502062.98328301363	516989.3668509249	445569.41071082064	515883.7162337455	491291.17405091895	472327.36206084857	479868.56500253227	496591.31300840375	479730.51162726816	510599.46543606906	492033.5707884269	487049.79569904396	493940.633824402	490827.72900524933	510238.6692589753	471585.2954310282	481226.82409725455	481834.84825983614	471911.59081854514	457692.41145946505	460363.8708635706	468018.4563463603	505426.3832226578
Ibuprofen	107086.55941872437	0.0	438237.4866023788	192724.44102881674	392709.96547240874	67571.67496407048	22190.958799024433	29191.228954259546	46869.92753952143	307553.6217069824	22977.78200305677	270977.74079292914	75802.66612685859	151423.4076418505	212643.95225256227	60318.234014848305	383145.78203777934	194061.15175947934	398217.91228362627	385125.7531971474	392115.83673296106	414291.16521334386	422404.20073274645	436893.2910359118	393238.35936396144	399905.2226556936	402226.5973807553	486211.9160283186	463215.9193435016	490649.9062354872	427162.05270004884	398710.38853845996	408152.8422450835	405409.92413975275	358438.7927138326	324666.3394402781	420073.3316069588	354407.5743929859	413905.6571833244	419448.87804824294	419202.1865537763	385554.4666440648	363211.7754376915	376100.49185055593	406753.67811551504	445258.97137809574	408216.7533691504	406173.11507070536	404110.15409816185	430677.80746922246	425798.9875414688	424243.172042062	447553.8680121867	424798.2752288198	315629.76769846975	293244.510390425	319853.9167586982	303837.7621112132	164340.1632940652	258409.22647922212	122682.54138759915	197089.22895011283	428888.9972149561	420478.03451467026	422601.7173267638	437011.2413925417	411725.55877483496	422033.9375174937	421154.86649566394	442440.5197754937	344997.9581659871	388982.96385606664	394835.88597371697	335966.2226582605	422727.59011271014	433632.83503159625	423399.0664900785	426900.2868882383	193783.47876003225	242016.14365498422	123456.20730416928	146849.45482840601	421292.5910703272	438273.40256561275	404502.1563292339	434347.54706155544	388280.8954330742	419791.73496804363	419656.0812855696	335867.269683308	323608.2612081773	278063.2563385532	326281.70138418756	441051.7346483632	425950.56424606364	433745.5595880145	391292.55388850736	386818.08612275316	430791.7769585215	433357.0860539384	261879.76456531422	399537.1881582365	402954.44039505534	402262.09513575595	389554.70547828096	387958.51043703186	390754.78920869273	414842.0139539388	398393.36910098064	403072.5398634978	375710.43540665694	383240.40199025214	371770.76431173296	384256.5435365414	381408.2913381015	387186.2837323132	390060.4360174847	369758.8788087177	375864.2162918681	410771.65181095107	364063.4621674496	363240.8556814332	380136.9719177551	362745.8045957527	380941.7754376256	377892.38009654236	392786.2112653528	402131.018198497	416590.4307436026	356955.2375109969	415571.3649269401	394289.8789382121	385500.0951894819	385797.51810885244	402407.12667418044	386480.2676186709	411638.96388886747	394815.9197625523	391600.75274708006	397860.74199418526	399171.7001990875	409944.19959693274	381773.3417640239	391611.03296509705	392991.6098634931	390466.35317623714	384258.4671674258	378981.56322411017	375673.9315971895	408525.53710539686
Ibuprofen	333117.63440449996	438237.4866023788	0.0	628118.2582871639	45915.07211918543	371332.0976924029	452140.453833795	462839.1133016419	394938.1243760979	742035.7445675666	416889.7861210447	171955.51940693826	513363.4332706511	287755.58538871113	227130.73704133488	497648.8083815939	818463.9539152948	627180.5401775192	819681.8866899525	805100.8745312098	814394.246226727	844777.9683139707	853090.0058463003	871813.4096121603	811506.8330046819	826344.7561218931	827578.0635814192	922981.7321508811	900028.9307965717	925465.0581900898	861733.6532507915	824444.2723711542	841946.7776780601	838252.7029331259	784870.286627222	738973.111924487	854713.0965268164	774073.649658319	848337.4942418562	853678.3292628075	852983.9912280671	795244.9564947514	775649.77199274	793914.6949278364	834899.652095599	880358.1188805656	833371.9993908716	834640.4453125851	831506.0005124965	863603.423158705	836350.2897643968	844137.7706309076	875697.2670696307	842553.0381807368	742801.4684591162	682842.0491441129	724047.6128140121	730695.4927425231	582402.2898380045	678609.3443645468	528429.4222130995	595020.9847090271	851453.3586434083	837137.2778808203	845916.785755077	856163.0710159141	837305.7145588461	835937.8273278752	834502.0542966981	870642.2105734593	754940.8154029628	790845.6388268174	813096.1082587728	766318.9486049059	843504.1887322959	849098.8084049756	846736.3725236804	841606.8520662306	610130.591230247	665761.3810628698	518111.7699677548	556953.0765720119	827582.6921646312	858251.1649374831	814038.7797384895	850941.3340006341	804735.397653849	833968.8705776089	832985.9839992569	754047.604465852	737328.8568651915	694792.9946512061	750798.1922583656	861232.7101483075	847048.7147475576	859478.793036961	819041.2896513946	810618.681644828	848169.6195892941	858960.0508309974	667479.7565549754	802906.2533629431	816581.0421029443	814134.3677140524	780851.6324545908	807040.0292206024	800379.3563636547	835797.0695598602	813276.9976443825	812846.6711256698	752125.7813190495	778297.7465856103	750998.4935701534	746854.6614725647	750771.0989224475	782804.3002214218	785883.6089352812	777074.3786123507	770553.156383081	823365.5622515371	760468.4906557141	759009.8087547552	773666.4907789979	762448.618978676	774283.0389541927	764341.9205368884	802273.7595086367	825107.7351158996	840430.6156882747	755128.7711772801	839188.253044816	810580.2196664923	778074.8551226216	795443.3216849451	811954.3072212244	794185.5502226611	832220.138552853	811500.655953833	804212.2954458544	811905.8849408568	802735.2127822469	833593.7727782995	781491.3364623443	790548.5397455499	790090.7822538563	769789.9040220117	744425.2539532963	758713.7865290698	781327.0086439984	824367.6436019731
Ibuprofen	298746.5815001572	192724.44102881674	628118.2582871639	0.0	582798.4390325105	258238.77845679945	178878.3263528872	166571.21050544715	234496.4161543839	115853.38554405565	214284.5829099937	462202.116981964	118245.9628386949	343123.3251405971	404104.9396237323	135471.80744560846	191404.95809768233	17712.97857441257	242429.42819034975	233115.79476551982	235745.34059225844	242313.63899372282	249681.0707303618	255063.76761327745	243049.38691189906	235851.08696050127	239771.8283054329	295963.46307500615	275501.42548313574	298887.56852099847	235239.68170394385	236094.5480124861	229926.5519388094	229623.31681501796	198596.0953223399	192338.5049198418	239612.2090168196	207237.8305622068	234085.71811135777	239992.1141845709	240991.50343416017	249551.62712464944	226418.08023196785	229380.38819096988	239519.3890794019	263213.9870969816	245980.70712435944	238402.1313539167	238440.97841866428	253676.3389421066	271945.2807420089	256654.5133409893	266891.93477124826	260474.89504543442	140724.51831582145	196121.60201382719	190685.84310968118	130720.69309784124	87490.6546152787	109411.31101764568	126125.02211571662	135289.82052416203	257218.2172137114	258121.4854604513	250157.68325869984	269954.02610859496	236222.78723150314	263650.96315145504	263745.99947826716	261800.51934398446	201204.54876157758	251553.21527637055	231781.14590013566	152899.85287183887	253899.00857720996	272212.82835445175	250595.62070483193	266900.55365485826	116959.65943277189	113141.49580512001	161008.93569861277	130859.62846328891	274061.36479558714	270036.179753399	254030.8721846419	271295.34758019727	229295.3261683717	261352.55783269097	262474.2994516421	178174.01592361886	176252.90609482152	133320.29383424722	156552.03816677062	272409.98276689515	256444.00120433743	257126.6185101611	212127.26448342297	214853.02550999826	266678.53263592476	256861.5063683344	159605.44582729775	265156.33440386073	252703.14406633418	254766.8389983477	273500.7386245606	230192.7426424865	248154.80407668912	251599.44118055995	246474.0124363215	258652.30457965904	281912.5840010518	263351.7239115778	275310.2791454037	304594.62161945656	294710.75608884735	265691.44454033533	267811.6489833854	233711.14575759956	258765.44557550564	261162.37900040383	245956.95578092526	246060.1045849774	262809.1645889658	239851.20354893003	263689.63583705784	270575.7729010493	250188.85966389452	236502.08446271677	248288.16829476578	239084.2932423762	247641.4128490829	240731.13871088624	268721.9028870371	244067.50796212116	258518.21310956037	247696.9837840783	249257.05386329634	240350.72202025956	244118.03805444212	247421.77433824455	264442.51396713743	242398.97316783326	255572.92505376996	264742.22541963344	268548.92199193436	289608.0337108763	307307.79127589654	280193.4911318249	241332.83348429817	254161.67505883882
Ibuprofen	287481.44431340316	392709.96547240874	45915.07211918543	582798.4390325105	0.0	325851.4874325264	406560.5813119367	417425.74021868897	349473.30768666737	696847.3998877672	371295.34942471376	127569.63532737717	467843.67020322033	242259.13332720837	181750.3944662293	452051.9991818746	773214.5548512667	582019.9034417011	774230.0034201279	759692.4409783017	768925.9769308284	799130.8151785992	807435.8799817418	826151.2281856097	766158.9223041524	780776.8043269466	782036.0831729183	877505.4355682953	854448.5864526591	880262.3027993945	816571.8565209704	778878.3437444961	796268.2772081291	792572.2449637637	739266.3158618077	693664.0304614975	809036.1708076895	728644.6376966214	802662.6148626725	807998.1211383282	807286.4055298842	750184.3153126636	730457.0955138989	748562.3754514857	789289.4160112379	834695.9563344955	787828.9397436026	789024.0762290463	785913.0998473443	817929.1612203598	792370.3064392316	799683.8486292013	830830.2074574974	798208.6795329038	697971.9183231313	639549.6218485788	680203.8221142247	685862.5480741386	537774.4351624195	634082.0392370615	484045.38911878964	551062.0015091491	806866.4012704167	792847.8928368028	801288.7513422931	811756.4938379063	792561.9808988895	791791.4287650379	790378.8589452268	825771.0246209481	710885.4702866143	747245.0685601401	768702.9680800311	721351.6193071865	798999.6124065403	804878.1865715825	802101.8174356235	797416.3014515819	564683.8363235302	620335.8282528179	472825.54165604245	511570.7698324839	783823.3111957383	813801.1373643551	770092.532676315	806664.817222674	760428.5118137465	789802.6122349544	788867.062480759	709607.825060265	693072.408989653	650350.2141479311	706065.9221916182	816775.6198086534	802532.4066784967	814733.6343619062	774185.9129714189	765947.6168201768	803848.5858158362	814219.4295366951	623408.651210989	759183.9966791365	772360.4123701327	770000.6467319028	737713.2042081052	762551.8051314935	756349.7366067572	791225.798827731	768995.19685238	768815.2141917988	709659.2713879391	734945.8965075385	708376.8578679075	705095.698855389	708666.3904730275	739436.5031501488	742512.2636424724	733110.9264716357	727212.3395265922	779202.8739744467	717018.7697352347	715583.6007643414	730386.3989893157	718834.2229012751	731012.9931315803	721396.9001813156	758245.5614617803	780423.3972953145	795720.8893328862	711588.8036384339	794491.5312840912	766219.2417934763	734849.7590368649	751396.580066073	767933.5742297047	750239.2397761408	787671.428070727	767124.3308809006	760036.3076608245	767658.330937658	758998.5791674242	788891.8122217213	737911.6610126779	747031.8057594148	746664.4520269469	727233.2522263882	702791.7577306384	716103.8425747417	737454.0846434919	780043.52817244
Ibuprofen	43718.96781409641	67571.67496407048	371332.0976924029	258238.77845679945	325851.4874325264	0.0	82003.45487264545	92015.08494899077	25906.04359739247	372997.5167416321	46956.889004809535	205214.57411950527	142360.37204893082	85715.94711942464	146666.6690360151	127066.39048607607	449054.2012840409	258431.61088307618	461518.2651130729	448050.17955122	455638.1255286264	479673.814731198	487818.3925183641	503154.71401230094	455845.803050582	464400.18316427286	466473.02305795794	552753.6561496902	529844.4883879655	556441.1828925633	492838.86620443076	463018.8594701087	474175.0577696281	471259.9001060135	422762.82696299115	385798.98058281635	486247.62055598776	417119.04799437104	480076.0336010433	485560.2656038275	485101.5038323676	446165.1043274896	424246.3933485473	438579.2251630711	471653.4213237402	511649.9095896236	472479.28309935494	471130.82279259834	468865.1908794787	496610.3949779892	484853.2152269073	485810.325730382	511499.4895554054	485799.7003028827	378647.77942520595	344306.1843366018	375870.61471952003	366636.11517293256	221837.6721126284	318563.2554764591	172854.79756873968	247765.27855855826	491228.36806369387	481156.02708103927	485124.679814252	498464.12324190413	474843.87372318486	481988.7554380807	480948.8512762348	506390.96743541956	403084.7288086337	445306.6604720845	455776.0117600305	400119.4658785169	484529.5334713974	494092.99140832777	485906.1534701948	487084.44295833295	253472.84360560204	304386.13260754826	171454.87395306097	202620.5590397727	479204.5465716078	499961.02085983724	463107.01166448503	495113.0262448768	448751.6332077022	479813.98849305115	479453.6351658521	396275.78959306836	382545.914919621	337314.0327630768	388497.8845637254	502809.98704359494	487855.4722539562	496981.81395390077	454881.88449774485	449260.7859109669	491743.382224438	496551.79888995545	318405.8166190538	457074.3366604474	463248.9844333285	462077.315726152	443772.0447260502	449626.77081569564	449893.75780372863	477121.4602463505	458978.25195065537	462329.84334211115	425744.20884922286	438382.5230088671	422482.1116449314	430769.9747056658	429656.4100186801	442513.45064484735	445480.4951252746	428046.36736948247	430926.3578867396	470827.8694107163	419344.1891611951	418297.3913047391	434816.49018298485	418877.0989166274	435577.03111236345	430628.07688080485	451901.62841864116	464886.85593233316	479638.98621897877	412807.1190506028	478551.8471847849	455231.6196389267	440000.82861407107	444901.5824051423	461609.82176883984	445087.31648191204	473818.2134228586	455851.39658191265	451538.55602888484	458218.019183194	456732.8559762044	472915.4767875973	438147.811511458	447882.07482644386	448785.2368893503	441494.38926446205	430132.1187885766	429953.26004881045	433563.5886028487	469430.0463733984
Ibuprofen	121743.55271126286	22190.958799024433	452140.453833795	178878.3263528872	406560.5813119367	82003.45487264545	0.0	21933.956112840195	58134.76099718651	294248.42623322486	37974.496520164714	286594.7294991661	62908.96812903548	166741.85079106575	227828.19506538243	47406.26753805866	369670.2142469608	180709.1750967717	381580.1566906623	368458.3220714248	375575.79263619974	398192.88620620815	406313.9805676263	421388.9071952772	376600.9105595205	383540.6221819279	385791.81295740325	471862.77614626114	448436.3952881053	476995.113159928	413719.90557992645	382281.163844244	392396.27124979184	389553.0978550682	341984.5580218936	307809.9905794968	404473.5712766287	337723.5440228295	398287.9626713062	403781.4528733455	403376.8065823804	369006.30223202135	346491.0610087078	359618.61894725345	390536.74500569067	429895.242807245	391874.401242298	389973.81592873705	387892.3187455773	414911.2303207563	412894.9919787842	410947.22730768006	434040.1950058888	411607.0118442833	302391.80792232085	281802.58503551723	307374.45662858844	290464.82575725066	152130.1943078362	245738.39176565368	112659.66336786206	185304.11559647036	415529.21938264504	407366.4331009619	409268.7573776309	423743.14730656106	398427.3415961944	409076.05948908796	408204.5230552452	428937.2137350989	332255.1185357118	376560.10879081464	381690.2487705316	322662.71420931193	409349.5295479886	420562.66724054306	409916.9251709548	413798.93475433195	176328.49671882307	225335.0073561359	105752.66626960282	128976.63231787374	408739.63861405733	424989.6901855146	391747.5187649566	421231.3865023952	375505.93956510193	406845.21290731616	406796.85777132027	322624.3457709601	310581.899414502	264806.2289483009	312749.78291167517	427749.4684258179	412545.5648342858	420324.5411656803	377723.8276001526	373377.61225559656	417623.07582809613	419906.4830082766	253211.98321292843	388647.458497361	391375.9118103979	390768.6021559567	379591.5420125824	376139.25560427725	379569.38521341555	402602.72184703377	386707.2782285977	391682.65638321405	366942.3183869091	373059.78172455146	362796.35753021354	376208.1471337777	372951.8399457091	376875.25218947424	379721.4357190676	358725.5366121012	366268.8513498791	399133.71820939024	354086.25845673535	353176.59211162326	370050.96054705716	352388.2793248947	370831.1195316674	368285.5167967236	381565.331199141	389821.27653746674	404163.1714680846	347662.2645585804	403163.0076578455	382549.8235036449	375459.0862990005	374652.5002261565	391077.58954257355	375533.66266996687	399520.4469081154	382988.6804083244	380152.32793863094	386226.3689486818	388160.48607323534	397583.8021362666	371278.3410859163	381071.5049264502	382554.47327189776	381176.9605686974	376373.64368162147	369920.24340510194	364706.9796157047	396699.9945002369
Ibuprofen	133046.7441494906	29191.228954259546	462839.1133016419	166571.21050544715	417425.74021868897	92015.08494899077	21933.956112840195	0.0	69117.3502764682	281340.3392453021	49831.435391126324	296394.9268415372	51922.58433244638	177125.44120839896	238189.9722021268	40296.153116519694	357321.41541277047	167036.52885433054	378648.561608374	365987.8023130414	372519.6572441919	392615.20718496083	400608.0776444606	413534.1707860547	374483.86157520866	379322.0427754231	381860.74413440336	461236.8784308817	438822.47382287204	464734.8219062785	401192.14937511244	378289.2328026937	385367.5643405138	383073.3647989373	338040.1902799869	307222.83061675285	396891.4095520458	335610.0712011484	390879.74299344275	396480.92568158923	396309.41414324567	368638.59543934074	345857.1988190211	357681.87812886166	385756.7124878325	422002.2937684818	387969.55298220285	385059.7592626107	383344.05992473644	408269.4021304908	402992.8200396384	400221.06842357735	422622.18708299036	401072.76560536964	290164.425665846	273364.4494809078	297759.57688141585	278313.83402667975	138715.2292024202	233358.90348304703	99101.77420964766	175764.14091625734	404592.01816861186	396888.92942197307	398214.56511778984	413136.14612462785	387049.540121637	398807.1041806552	398014.03151889006	417493.8532034575	322149.6909744601	367280.4050124509	370992.6655387271	310217.29012580856	398606.2601773322	410237.99709285883	398955.4625910138	403559.1573609496	177334.99896715255	221948.3854794396	116015.84214688092	133043.78168685662	399081.8986530339	414317.61220283655	381803.176391109	410819.9037033504	364798.1273998402	396568.09462023014	396538.24574229936	311792.8765087811	300118.52834325325	253826.59978040116	301210.5835965925	417085.76908013807	401789.61771277804	409075.8896426674	366153.14982074074	362200.4307375547	407132.45344175166	408688.7526440873	242424.97026404773	379472.53154462995	381347.02555760014	380910.43065599614	371239.74231942144	365496.96952535753	369771.94843526173	392035.6343775652	376559.03174770606	382026.888573083	359616.04641383846	364476.240639592	355322.7075302251	369855.61719231727	366182.78879328805	368285.7910325623	371121.79588308977	349158.35017266864	357386.84222091886	389272.4260604504	345209.62933894247	344438.4354212229	361568.7237077899	343362.2823922862	362390.95474543807	360336.9311691072	371831.70875033067	379027.62822021364	393297.83936480037	338219.4863458527	392296.69737215416	372289.5451366723	367088.71890457167	364869.9783577568	381420.74949343014	365861.20086617547	388895.5732415331	372703.81583728123	370142.0294649883	376178.72295157064	379051.71638164326	386686.59803076996	362339.63735248457	372212.24429506605	373865.1547578351	373777.8693806126	370161.8277582931	362374.4857547368	355311.2853254032	386551.72444098693
Ibuprofen	68139.5578098362	46869.92753952143	394938.1243760979	234496.4161543839	349473.30768666737	25906.04359739247	58134.76099718651	69117.3502764682	0.0	349604.01278173825	28373.343104399966	230166.80382874483	119325.65564705688	110790.99661637671	171461.6930383284	104390.5526574604	425617.59618359065	234918.2292730382	438247.23122316424	424867.17962585704	432333.055576774	455932.9146561483	464078.5320342562	479257.0306787063	432757.0546907811	440856.57085165463	442979.63525512116	528964.8285772844	505962.85409403464	532960.365136457	469370.8404354146	439522.3256047974	450310.12966965366	447449.5575374062	399270.8465870881	363016.94532681257	462377.3018282475	393996.5970671323	456200.42376926774	461696.99202874344	461277.9392316079	423712.6688243694	401562.74752135476	415683.02227607265	448074.2578458393	487782.8204270215	449061.11585572653	447550.5594778094	445350.13564446097	472818.92045544065	463269.3145209594	463446.6141953244	488527.8364282322	463627.71771918493	355642.8084136809	324605.95861866133	354770.3566588388	343590.925794541	199313.91113276544	296040.14588371303	151155.21807228494	226957.46547498723	468670.8284985204	459084.03157271806	462535.6598506004	476168.5600751165	452130.4286465909	460175.74060045776	459172.4548527051	483418.43650079134	381541.85802548577	424472.72608754295	433571.8605219786	376942.6386817754	462067.9415520407	472140.88174961077	463231.01336502784	465146.1520728515	230425.97356517773	280945.2206840511	149735.59986526254	179876.19432604185	458070.1623187977	477611.24517096544	441644.2641560736	473062.2123760782	426882.44526870653	457994.8567016884	457730.20759895246	373924.8347881967	360576.094572172	314914.1992978407	365584.46006590594	480433.256507759	465353.5500036289	474199.5225928848	431831.38044603745	426540.8212332668	469616.35811385425	473763.18603507	299340.48474003735	437054.48781422473	442251.3815265113	441227.01807378	424945.8930347839	428156.99890019314	429336.8934509934	455324.76457710983	437838.0014850582	441659.0390422079	408441.3925230887	419231.25256627734	404905.31803068443	414635.0101049475	412922.1320907971	423254.2757351661	426196.44445953623	407697.3505391717	412158.56347257935	449856.2552412238	400221.0027095155	399154.2390406242	415798.4425895312	399344.4251653207	416556.1937724251	412279.8628580223	431339.2676950359	442934.26908208325	457557.6324120711	394007.841077287	456488.22535101563	433988.72387140366	421078.62616587395	424379.1469728804	440988.73424212326	424784.0323230619	452104.53088924073	434526.7160467232	430658.44644899294	437161.0046023119	436631.70580356446	450878.16684726503	418560.4274339012	428308.01477841835	429378.7555172475	423725.48251705413	414223.09947712935	412293.21067314455	413356.0031692416	448166.64320746274
Ibuprofen	413084.27337878325	307553.6217069824	742035.7445675666	115853.38554405565	696847.3998877672	372997.5167416321	294248.42623322486	281340.3392453021	349604.01278173825	0.0	329129.6389854031	575811.2758258956	233004.5997284893	457416.15946408827	518194.8312781942	250126.9324291401	76830.02122021311	115329.08876492674	193035.60506119987	190755.23617239838	187193.12617934332	169932.34565372072	174808.19706025106	163935.68344874625	200922.44460751952	176694.17675493908	182109.8166373837	186262.55716598238	171874.7742000718	183929.44592581142	120354.76179933544	178825.8977494692	148557.58448300645	152740.05163608416	154538.4992248972	185194.25459832067	152494.78505871486	177837.17474451053	149113.79956604153	154816.07590465384	157516.74170535774	222096.7701885633	203884.31999178723	194017.1368898003	174669.25590537552	171057.46871679593	187206.79061732697	172764.49535795717	176023.85271433418	171192.65606867243	212659.87197090487	181845.79017651078	171346.41668729347	189543.60222967615	86283.56238781288	213780.6200668096	180474.60533015046	86897.25571790872	177812.3872610949	121262.3359837159	228350.11476200665	204830.13192431317	176428.11540796896	190156.51496553473	168988.48806402038	194124.86376307337	151808.0467441026	199845.12601159327	201228.4249532197	166664.26405323847	170452.80754358243	214820.82245835385	167445.80663977106	71671.13104779068	177844.93134467915	203297.41008039805	169189.4990149908	200779.9771301155	192206.41305033895	150694.69294907356	264712.65186520154	227845.3238683855	221861.53859932462	192548.01814818455	201762.4032861964	200456.95079946617	170392.9270078532	197810.7727980091	200247.2352926393	137433.47542080717	150562.0475874103	133903.65220526894	105307.66499582838	194161.97973300444	179165.255954076	168763.47741136883	125752.68317126126	140568.04886624668	195064.42049444464	168765.3767166999	183344.171071542	226915.02425252768	198985.8547310548	204021.26879412934	251528.49209075232	171188.38441713713	204129.296147769	181820.2808233383	191990.09261319606	210801.39244528196	277329.0646258009	239807.05314798333	269913.97756491904	307074.8352524959	293543.63368361996	240260.34772851202	241230.2693790969	200465.37715474382	237911.27651388344	206921.31558972862	227596.64193384664	228804.32410229847	241837.04353906884	218600.50583607884	242662.35561415704	257091.7391760376	205831.02858944194	165758.16121038972	171934.31035612867	221279.85843665496	171913.20800307815	185255.37478858628	247028.20989714042	201833.8320632686	211217.51093566004	207873.64636312515	180804.61061761001	183945.35845898246	195368.43640733167	194578.19758236443	226189.90698833475	167917.5942431869	227497.22670880108	234213.04210080078	239689.96621890875	278128.79453427956	311332.1364374858	271918.9577838135	208163.15051114015	195339.44330028023
