Cluster 1	Cluster 2	Distancia	Elementos fusionados
9.0	11.0	0.0	2.0
7.0	13.0	0.0	2.0
8.0	12.0	0.0	2.0
6.0	14.0	0.0	2.0
658.0	672.0	0.0	2.0
659.0	671.0	0.0	2.0
273.0	293.0	1.8926779167518858e-16	2.0
392.0	393.0	1.9571648125423485e-16	2.0
5.0	15.0	2.1101682910929287e-16	2.0
383.0	384.0	2.4893130771491825e-16	2.0
272.0	296.0	2.795489523483324e-16	2.0
660.0	670.0	3.3791504974386143e-16	2.0
382.0	395.0	3.490029110485187e-16	2.0
564.0	565.0	3.877252496569912e-16	2.0
274.0	294.0	3.888877072922307e-16	2.0
381.0	394.0	5.200121164493384e-16	2.0
385.0	396.0	6.266170819662896e-16	2.0
400.0	406.0	6.852399269626373e-16	2.0
20.0	24.0	7.409950062909916e-16	2.0
19.0	25.0	7.70631257745205e-16	2.0
657.0	673.0	1.0682122358702787e-15	2.0
628.0	629.0	0.08267143399421273	2.0
639.0	640.0	0.08538088596863413	2.0
75.0	76.0	0.08638758364893778	2.0
647.0	713.0	0.08817956648194643	2.0
72.0	73.0	0.08918154804302537	2.0
150.0	151.0	0.09072667473986712	2.0
142.0	157.0	0.0953185536763805	2.0
649.0	705.0	0.09554339503483894	2.0
622.0	624.0	0.09569414769335909	2.0
722.0	730.0	0.09755868736711555	2.0
49.0	50.0	0.09841856014413713	2.0
78.0	99.0	0.1005355260050867	2.0
23.0	144.0	0.10211498521301414	2.0
637.0	723.0	0.1022550576900953	2.0
709.0	710.0	0.10252112835398046	2.0
687.0	688.0	0.10274862852994374	2.0
695.0	696.0	0.10276050189075547	2.0
41.0	167.0	0.10388801803936483	2.0
181.0	182.0	0.10446387028639342	2.0
32.0	194.0	0.10455693475445293	2.0
136.0	138.0	0.108955563235234	2.0
17.0	152.0	0.10896687613903726	2.0
304.0	305.0	0.11080613357760564	2.0
179.0	184.0	0.11094524306335264	2.0
697.0	699.0	0.1120392507398962	2.0
678.0	692.0	0.11273183063630038	2.0
646.0	680.0	0.11348614502672581	2.0
162.0	193.0	0.11382287709452528	2.0
668.0	706.0	0.11419037679556644	2.0
283.0	295.0	0.11426439182195079	2.0
679.0	686.0	0.1144878580404309	2.0
666.0	669.0	0.11500638054279308	2.0
34.0	626.0	0.11508558360988799	2.0
241.0	259.0	0.11515223764255055	2.0
195.0	235.0	0.11527995945614998	2.0
298.0	302.0	0.11584458694227025	2.0
682.0	683.0	0.11622212269297987	2.0
716.0	717.0	0.1165154317051303	2.0
443.0	460.0	0.11663741432474276	2.0
147.0	180.0	0.11667010636004144	2.0
66.0	85.0	0.11676466092929122	2.0
725.0	727.0	0.1175080329261267	2.0
243.0	265.0	0.11753208671578369	2.0
307.0	309.0	0.11760000535740088	2.0
86.0	96.0	0.11768194699417234	2.0
621.0	760.0	0.11781943906532899	3.0
56.0	623.0	0.11795974820717037	2.0
67.0	84.0	0.11819653927934394	2.0
712.0	759.0	0.11821105022461478	3.0
278.0	335.0	0.11825784116353384	2.0
158.0	160.0	0.11844428535677037	2.0
244.0	286.0	0.11892545022580962	2.0
250.0	336.0	0.11901376262755314	2.0
681.0	767.0	0.11907053008074159	3.0
590.0	617.0	0.11930430318753688	2.0
31.0	166.0	0.11960898553790145	2.0
782.0	805.0	0.12035235437347566	5.0
10.0	773.0	0.12041887643521178	3.0
117.0	121.0	0.12060333080728151	2.0
119.0	131.0	0.12082721276647798	2.0
633.0	651.0	0.12091163992963244	2.0
288.0	308.0	0.12093322767638681	2.0
684.0	707.0	0.12140616231168634	2.0
101.0	102.0	0.12251291953224766	2.0
29.0	145.0	0.12326956253687979	2.0
736.0	742.0	0.12356482004884271	4.0
242.0	258.0	0.12365215738645124	2.0
677.0	778.0	0.12403137009997223	3.0
87.0	88.0	0.12411803765459066	2.0
461.0	790.0	0.12449050707863973	3.0
168.0	779.0	0.12474908716609961	3.0
132.0	133.0	0.1249308632121038	2.0
211.0	231.0	0.12500457742364493	2.0
110.0	130.0	0.12518482711710627	2.0
264.0	339.0	0.12522858513690788	2.0
141.0	175.0	0.12530807387745588	2.0
155.0	173.0	0.12568578703781702	2.0
122.0	810.0	0.1257439007191596	3.0
45.0	784.0	0.12597282224624148	3.0
