Raman Shift,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
1396.27,0.006303615875056262,0.004317309044615428,0.0029878523676830637,0.0024137025782246246,0.0024306870513512435,0.002771052426534193,0.0032145181083231,0.0036683503939421436,0.004165751812182095,0.004797634700774267,0.005620642595085212,0.006593242777326064,0.007566638769684025,0.008330361612568699,0.00870792681304905,0.008678453506197503,0.008446537575674179,0.008366502009823445,0.008738283274152131,0.009615730404851225,0.010751214432836165,0.011702552814250533,0.012065710116310219,0.011722178527478894,0.010901914833815862,0.009984920664314806,0.009240038691583768,0.00874424958641637,0.008479322351768986,0.008431480678774764,0.008601338320959287,0.008976666331328792,0.009539279878414034,0.010280729543745218,0.011162091477503798,0.012043544294826118,0.012698633849080862,0.012950539490736244,0.012805541285241355,0.01244394961859345,0.012082661042240648,0.011852269941811298,0.01177873689746316,0.011834573402730022,0.011976838720052022,0.012144793174740813,0.01227121541055402,0.012346312181724793,0.012458795348732704,0.01272116755271125,0.013135048310254391,0.013550601032710248,0.013768509633267718,0.013676364863014016,0.01330069131628605,0.012770878042012511,0.012260305113725264,0.011931569594948857,0.011861540351419904,0.011960460643528403,0.011979931502081757,0.011676066197190457,0.011022655625035863,0.010259499744780545,0.00971299214449084,0.009574446840520261,0.009825545081879286,0.01029839106581315,0.010775197408393732,0.011094660580333912,0.01123283733525415,0.011292828785338892,0.011411075137568134,0.011677329468909647,0.012117914500322933,0.012681111960399491,0.013203704606501998,0.013463485154166718,0.013350652479870523,0.012969305484243708,0.012513426563933231,0.012058315793158267,0.011528235277406457,0.010858798767896444,0.010125534183869328,0.009498349881771562,0.009116676543213784,0.00900979935024021,0.009078275104055955,0.009132397534335868,0.009003503409441282,0.00866710745276325,0.00825339114061413,0.007927545911693382,0.007782482593887544,0.00784312680999838,0.008102872636630454,0.008502342750213637,0.008902240379082577,0.009131188487630948,0.009077500607955397,0.00873235415324658,0.008175561812924448,0.007565336908808673,0.007121938867633487,0.007042759659215914,0.007376606109634337,0.007973626933021102,0.008570363090532301,0.00893112299350296
1392.41,-0.009913838774654064,-0.012585904235498192,-0.014437975722002588,-0.015330285620467662,-0.015471454395917295,-0.015187529162897645,-0.01473393313947563,-0.014230270375166054,-0.0136799668576357,-0.013029566205742166,-0.012238187009868173,-0.011327359352684307,-0.01040303290337033,-0.009649558564711974,-0.00926114664798533,-0.00930218307600203,-0.009607238554380268,-0.009845395100977136,-0.009712250751425289,-0.0091130614308082,-0.008239247885767964,-0.007488867219592854,-0.007233328815927115,-0.007566870865027386,-0.008258772804332098,-0.00895710845755815,-0.009441356965291609,-0.009719553826957494,-0.009949928396913416,-0.01027810561807313,-0.010701273099582437,-0.011060491331002315,-0.011150684796426696,-0.010831142178859759,-0.010081006883420012,-0.009038705705727058,-0.007996731026440336,-0.007275169286304076,-0.007033303986180412,-0.00719174315664322,-0.007532729158517819,-0.007861966108507333,-0.008079942159894792,-0.008137090729577544,-0.007993342603726911,-0.007663267967421221,-0.007253257264320346,-0.006887166315141399,-0.0065981178097498615,-0.006326737560607414,-0.006020395535068741,-0.005717691964930922,-0.0055453544706455925,-0.005638866559954169,-0.006043754228862892,-0.0066647365037895215,-0.007300065827065702,-0.007748407375766736,-0.007945648096725093,-0.008043620061644427,-0.00833125674771984,-0.00901573602845801,-0.010035198463041992,-0.01106982524083093,-0.011747184239482431,-0.01186974799339514,-0.011496189121827385,-0.010863707423377535,-0.010244634979140063,-0.009810327701504366,-0.00954965702940801,-0.009305157173825011,-0.008917795882768826,-0.008344904562151664,-0.007652722639724569,-0.00696168797386857,-0.006433466134311477,-0.006227152130339336,-0.0063660019618226316,-0.006674707369522463,-0.0069380719879577855,-0.007127947160643085,-0.007419718009291268,-0.007990993881642122,-0.008843786875733686,-0.009791408337951002,-0.010552202772250371,-0.010882758852833643,-0.010724096496784158,-0.010281104573176894,-0.009921943644724068,-0.009908462052958422,-0.010177699976997218,-0.010414725876346037,-0.01035733688420755,-0.009998944411487048,-0.009509116085946817,-0.009050582833452225,-0.008725985346634296,-0.008620974629156342,-0.008791259039713006,-0.00921757774215215,-0.009821243993617834,-0.010492983153748747,-0.01108915785662487,-0.011466248213252705,-0.011567650671219787,-0.011462184953257223,-0.011287346269016646,-0.011166681486222088
1388.56,-0.024734603023076764,-0.02766895689308713,-0.029748630061207773,-0.030808827090551674,-0.031061743783287604,-0.03084450971087796,-0.030428665733630317,-0.02996980832121704,-0.029531503418543867,-0.029119928046016957,-0.028705355611532146,-0.028236967269113067,-0.02769206102092328,-0.027156389628285177,-0.026823878342063956,-0.0268436459304031,-0.02715639798943427,-0.02750496486484326,-0.027601741379949696,-0.027316088260952318,-0.026773235653649044,-0.02629154230877412,-0.026163066446153627,-0.02643893836316677,-0.02691379135091229,-0.027311051487034832,-0.02749005901550039,-0.027536049132537266,-0.027702480294882287,-0.028220095981056903,-0.029079864784474427,-0.02999830876227947,-0.03060642005379393,-0.030648429871364583,-0.030050677760104897,-0.028943056107113778,-0.027661848901122107,-0.026627963757518264,-0.026117331750074455,-0.026121709338738627,-0.02642410574449433,-0.02678979727078002,-0.027075846606142304,-0.02718805889394666,-0.027032389255962956,-0.02658706954301688,-0.025980124983747833,-0.02541678650344851,-0.025023486254779948,-0.024782106083537828,-0.024597925676919753,-0.02441950055468402,-0.0243124219248202,-0.024422493606201905,-0.02484440434780765,-0.025511424239198575,-0.0262129126485003,-0.026733239844821323,-0.02702273624356901,-0.027267433627986958,-0.027764420392941767,-0.028679876845386202,-0.029893521875480323,-0.03104877354892993,-0.031762825506900245,-0.03184955142792799,-0.031403955758035625,-0.030708905338342522,-0.03005693057513289,-0.02959978752850641,-0.029283639655331213,-0.028913093355197976,-0.028324658810641577,-0.027520012233719603,-0.02663775746661693,-0.025848406489055745,-0.025305602609480005,-0.025113715252254143,-0.025237735288951124,-0.02547290626095719,-0.02560588501165335,-0.025630665187756363,-0.02576357206307499,-0.02624680199689649,-0.027147370868330252,-0.028285512199990287,-0.029291509067785784,-0.029776682111540796,-0.029569364483161498,-0.028872130830107853,-0.02817252801013158,-0.027887305946673463,-0.028009287730434318,-0.02813947309867404,-0.02791699855808477,-0.027365429148495546,-0.02678134306671548,-0.026392275633395926,-0.026234469340748412,-0.026276071925089545,-0.02649688750618187,-0.026865462566595277,-0.027345226934481104,-0.027908787769560017,-0.02850242108421823,-0.029043601020988644,-0.029480285376327936,-0.02981230619044012,-0.030047657861830043,-0.03017373659165193
1384.7,-0.03669459602602074,-0.039482629673670055,-0.04149728320997339,-0.04255842697198632,-0.042842556402039794,-0.04265988283547831,-0.04228641843429762,-0.041918088597546185,-0.04168107185705505,-0.04163422234290723,-0.04174031677470558,-0.04184793240131909,-0.0417777987000188,-0.04150101837451828,-0.04121349687319492,-0.04117037015135365,-0.04144652897252637,-0.0418729439313502,-0.04217644228436078,-0.04218656530685887,-0.04196167636588609,-0.0417335897682814,-0.041704076920921526,-0.04188157964142501,-0.04210297255764965,-0.042188146017287695,-0.04208303150892795,-0.04192399500736365,-0.041999188280806544,-0.04256753504092951,-0.043617584026025544,-0.04481653025095629,-0.04572507032463767,-0.04603197359656705,-0.04562922325176559,-0.04462245929525103,-0.043337095374883554,-0.04221188520518027,-0.04156924562326916,-0.04145180907575139,-0.04167267528460226,-0.042003991472374394,-0.04229586111313325,-0.04243339225030769,-0.04228847008903752,-0.041811440752705334,-0.04113508768203113,-0.040506855024534404,-0.040107072366051974,-0.03994436998971843,-0.039900593954937016,-0.03986447409553088,-0.03984741048188042,-0.03998040962614433,-0.04037916657857747,-0.041006675401485795,-0.04167556780240002,-0.042190599569736004,-0.04251899919063706,-0.042844077761365104,-0.04342883256935554,-0.04439201261431027,-0.045590799822193454,-0.04668765742633758,-0.04733975046585537,-0.047395299297853875,-0.04696807745216867,-0.04633811213035801,-0.045766555586520964,-0.0453582107657964,-0.04502979733364061,-0.044593514928428876,-0.04391858418753,-0.04304172318882907,-0.0421260925664901,-0.041346900790270286,-0.040833234844149635,-0.040646379098355306,-0.04072625012789036,-0.04088287752636417,-0.04093169461558578,-0.04086967403232925,-0.04089666033076153,-0.041263642069446604,-0.042082120130801225,-0.04320574466506433,-0.044246119073002216,-0.04475685637819064,-0.04451256534799628,-0.04369956966099048,-0.0428362008570069,-0.04239423543612415,-0.04239890636119202,-0.04243758547367799,-0.04212913837778985,-0.041526890503248794,-0.04099290471292204,-0.04077369807049745,-0.040832719321709274,-0.04102210272811718,-0.04124420694559547,-0.04146683981432292,-0.04171573134678348,-0.042054649699196464,-0.042517369260600665,-0.043080674429944094,-0.043702934042389355,-0.044330374550559666,-0.04486406273707291,-0.04517566670039473
1380.84,-0.045313284532444126,-0.04753026488023413,-0.049171035306104775,-0.05004855140062316,-0.05026726655897172,-0.05007378209020928,-0.04973018856860026,-0.049462275664254,-0.04944062490948167,-0.049747655007560725,-0.0503112404381544,-0.050874702821249375,-0.05112939380602447,-0.050973370979401085,-0.050632969692380195,-0.050474947483851826,-0.050697923574604155,-0.051203380732954,-0.05171803412136459,-0.052027348587836274,-0.05212335874500705,-0.052147522314877036,-0.0522051258309233,-0.05226052325228981,-0.05219876626566089,-0.051948117177164854,-0.051551658628738714,-0.05118712635021824,-0.05113492404270258,-0.05163255888992034,-0.05266090563814135,-0.05389316996437568,-0.05489608514594756,-0.055358299260783464,-0.05516236165176523,-0.05438153407076626,-0.05328163814149742,-0.05224633401015466,-0.05159001292112193,-0.051398352739269806,-0.05154217431747461,-0.05182997335545213,-0.05211660005765901,-0.05227181795177796,-0.05214980122312533,-0.05169159090385869,-0.05103108695523923,-0.0504264131957327,-0.05007629576126425,-0.050007981482383085,-0.05010650200770313,-0.050233994963253786,-0.050350401920471716,-0.05053840716094747,-0.05089678833786571,-0.051410985428781406,-0.05194659689558332,-0.052369628620872626,-0.052678411469971466,-0.053027460075457354,-0.05360775637711304,-0.05447972036053424,-0.05550400884387487,-0.05640942542775497,-0.05693884554700525,-0.05699386676461154,-0.05668467306882357,-0.056237887972400265,-0.05583673575790416,-0.05552290202803079,-0.055206762157063424,-0.05475476860723174,-0.05409950527497585,-0.05329799836739038,-0.0524934697728387,-0.05183092298388725,-0.05140558391105843,-0.05124132655277264,-0.051266697946167755,-0.05133003683484007,-0.05129824075693934,-0.05117017482427516,-0.05109638019678922,-0.05129210525316101,-0.05188988191251757,-0.052797464041332204,-0.05367178932260312,-0.054088036086405236,-0.053817444616886895,-0.053015111861426024,-0.05215090969879675,-0.05166419809807774,-0.05159276349960293,-0.05157177867773541,-0.05126513585770663,-0.05074670968790663,-0.050378969489942735,-0.050384398712682715,-0.050661091330731677,-0.050969926585132386,-0.05115420111560584,-0.05119607099616803,-0.05118985479333058,-0.051276644990077044,-0.05155240037869198,-0.05203536872580717,-0.05269468213777355,-0.053445956426567,-0.05412532316775766,-0.054532763748792124
1376.98,-0.05035836138895139,-0.05165499903114287,-0.05266152042224648,-0.05319691546240244,-0.053271365883645214,-0.053037468988945236,-0.05271782202157546,-0.05254532686505563,-0.05270814752347309,-0.05328054956806026,-0.0541332346969009,-0.05491570102634624,-0.05524207315705204,-0.055002074763188705,-0.05448879279984556,-0.0541730950689816,-0.05434303313881969,-0.05493919860990146,-0.05567975130811804,-0.05631536460990038,-0.05677553272710269,-0.05709758076025384,-0.05726972104865036,-0.05719957453617444,-0.05682136047675606,-0.05618636295086851,-0.05545681851957514,-0.05486278423271523,-0.05465920192450444,-0.05502535214249092,-0.05591379744555455,-0.05702004237777806,-0.057955581951406834,-0.058446829074972104,-0.058393577709882405,-0.057845752038594433,-0.05699533139313456,-0.05614108612082466,-0.05556353734126848,-0.055380808614620636,-0.05551831683519548,-0.055810994003232944,-0.05610371482826858,-0.056251586838796275,-0.056117759752501106,-0.055666719981963736,-0.055041700606219324,-0.054488754674775944,-0.05419534871855451,-0.05420039838935775,-0.054415526603978304,-0.05470894500677931,-0.05500015755694816,-0.05530005929553235,-0.05565075234829822,-0.056037041282894426,-0.05638774546263399,-0.05665906642262461,-0.05689774052880686,-0.05722182585685086,-0.057734705876887116,-0.058437989279010186,-0.059212938957003886,-0.059877463214228405,-0.06027742603737127,-0.06037085634342204,-0.060248677631013464,-0.06005660972789367,-0.05987734990457995,-0.059685826802655106,-0.05940256692662525,-0.058970621219828795,-0.05839302398330988,-0.05773229005304678,-0.05709219920285488,-0.05658235366557959,-0.056270180249720025,-0.056144581910464286,-0.05611896215598808,-0.056080718267256385,-0.0559588221955874,-0.05576419727892351,-0.055591199545360584,-0.055592617485495203,-0.05589725210401839,-0.05647308256142666,-0.05706602590147003,-0.057330574322359606,-0.05706992898332697,-0.05639344255723965,-0.05566163512248809,-0.05521900144148157,-0.05510537561999709,-0.05504902461118545,-0.05480330204839576,-0.05445379988383947,-0.054315366203208426,-0.05455529863306045,-0.055017374865531904,-0.05540270550531083,-0.05552295329796677,-0.0553910487693408,-0.05516819826058553,-0.055045252333305386,-0.05513813785843092,-0.05547643967095063,-0.0560422416864802,-0.05675619682184603,-0.0574401729841201,-0.05786328264572588
1373.13,-0.05135807382850982,-0.05163302081433474,-0.051914284987026216,-0.05204724372434326,-0.05195516758382837,-0.05168877639198616,-0.051412441840926186,-0.0513438613984241,-0.05166671288981115,-0.05242710915238088,-0.05342979561411379,-0.05424805708381025,-0.054464564079689276,-0.05401040359122653,-0.0532660452195383,-0.05278681430151317,-0.052910216710758934,-0.053589817320676504,-0.05454239479543729,-0.05550930775746714,-0.05636805708091888,-0.05703477940246046,-0.05735445637494309,-0.05716458986251132,-0.05645208659050733,-0.05540529111094597,-0.05432354612656744,-0.05350068667987597,-0.05315808868635063,-0.05338981053990474,-0.054094568802041915,-0.05498548118397248,-0.055733918420256906,-0.05612475697260996,-0.0560930681256821,-0.05568356474805919,-0.05503493254346786,-0.05437491565822672,-0.053944948881164745,-0.053870003734240585,-0.05409264060090643,-0.05443673022570525,-0.05471705185309386,-0.05478775648325859,-0.0545630959549111,-0.05407105194357836,-0.05347391375837629,-0.05298413167830751,-0.05274704255187229,-0.05279663606722451,-0.05307984685533093,-0.053499435002453105,-0.05396211998254352,-0.05441080619661681,-0.05480825266669406,-0.055110907212742755,-0.05529707846575824,-0.05541205025734987,-0.05555299988828141,-0.05580630356830352,-0.05620178444108731,-0.05670410986236632,-0.057229667736785256,-0.05767925591646497,-0.057980902314485855,-0.05813243625200196,-0.058202997257746886,-0.05826415459332451,-0.058307382382845135,-0.05824950920557692,-0.05802287426480643,-0.05763486471844026,-0.0571380312735594,-0.05658823916765221,-0.0560579092575077,-0.055643223281168885,-0.055404395473044155,-0.05530499859596316,-0.05524144897747452,-0.05513207413471072,-0.05496197196109265,-0.05475524407056995,-0.05455008836453615,-0.05442258010374282,-0.05447430698413151,-0.05472441284657298,-0.0550272852932025,-0.05515250573314269,-0.0549604628126749,-0.05450842884182977,-0.05401144619076961,-0.053682355076517335,-0.05355653890022764,-0.0534781977335332,-0.053311897968127187,-0.053151332590995984,-0.05324184382766664,-0.053683525728943526,-0.05428041189291358,-0.05470365239997274,-0.054756404020533674,-0.05448858241061072,-0.05411648768048122,-0.053849415026187356,-0.053780133151207436,-0.05392012030552259,-0.054273613637192845,-0.05481114876532092,-0.05538925547491158,-0.05577111503670723
1369.27,-0.04786188725641899,-0.0472797259846266,-0.04693313928649534,-0.046719455746579125,-0.046507561624701044,-0.04626118513939036,-0.04608199490882173,-0.046160409823407064,-0.04666594594977441,-0.04761325163951011,-0.048746347012354,-0.049577015255670785,-0.04967598435393512,-0.04902835756537316,-0.048095956302859844,-0.047493445411127766,-0.047579489302460726,-0.04831146410265777,-0.049423375188392266,-0.050676969211017414,-0.05191284190049325,-0.052919975163959895,-0.053389662116279296,-0.05308847686591921,-0.0520601657289652,-0.050630465151461565,-0.049233922683317125,-0.04822599154643298,-0.047785585922688084,-0.04790384969451765,-0.04841055225831034,-0.049035781144095736,-0.04952044269390701,-0.049713352994513516,-0.049585265657545036,-0.04918996215598126,-0.0486508990516929,-0.04816168541241561,-0.04792525839853182,-0.04803416722910436,-0.04839643316265274,-0.04878930494584913,-0.04899342747602109,-0.04889095865905638,-0.04849218447788006,-0.04792092144759014,-0.047360766949907485,-0.04696745214495601,-0.04681139058343123,-0.04689432138687122,-0.04719096420609181,-0.04765950892039875,-0.048232400079633586,-0.04881383660813321,-0.049290887602701894,-0.04957472146021252,-0.049665336604947985,-0.04966619470143033,-0.04970640274012997,-0.049850842542841084,-0.05009185823628989,-0.05039478452541657,-0.05072081857450231,-0.05102439161018074,-0.051269103248350295,-0.05146523013970142,-0.05166874712067038,-0.051909789886667,-0.0521243760244309,-0.05219179815241398,-0.052046405375947846,-0.0517200102636719,-0.051272257519458436,-0.050741078889931845,-0.05019163703275886,-0.04974321114063168,-0.04947965119297654,-0.04936215621243156,-0.049282508492362764,-0.049184145702620696,-0.04908676222833708,-0.049006671090102955,-0.04891604162388463,-0.048806855034047136,-0.04873801950380452,-0.04876418351842493,-0.04884814717558905,-0.04889086319031535,-0.048827963036065736,-0.04867059350954281,-0.04847979416569642,-0.04832295360496838,-0.04822282330678046,-0.04813855425036773,-0.048046685157908775,-0.04804780422783303,-0.04831634583741071,-0.04889181470486549,-0.04956004394835231,-0.04998954973878399,-0.04998728332008856,-0.04963002565748942,-0.049167879277957474,-0.04880421234791402,-0.04858158881467815,-0.04847510373193936,-0.04852145896682816,-0.048779044806413596,-0.049176063994221364,-0.04948166779347646
1365.41,-0.0399927419580256,-0.03879711951243808,-0.03798982269820775,-0.0375421136991404,-0.0372981083626944,-0.037150235253136765,-0.037140251220511844,-0.0374305186564885,-0.03818041412921494,-0.03938632532501063,-0.0407489111979399,-0.04172568343873462,-0.0418627725744309,-0.041172342277174145,-0.040169668405158065,-0.03950934809631626,-0.03956491372118537,-0.040305828194296484,-0.04150177529075938,-0.042954549533025244,-0.04448394308803311,-0.04576745448150471,-0.04636072310074918,-0.04597178455969245,-0.04469458509958893,-0.04296822263165878,-0.04133928880208501,-0.04021364347794962,-0.03972210627334091,-0.03974705443143564,-0.040048712855029034,-0.04038300009579868,-0.040568436584006995,-0.04051126062766719,-0.04020462434947919,-0.03971970858581797,-0.0392046846440367,-0.03885739696757262,-0.03883883029426766,-0.03916623610796094,-0.039669934181144395,-0.04006734560435221,-0.040121734577440116,-0.0397739934640442,-0.03915777679174226,-0.03850434136935005,-0.038012425747944834,-0.03776307835874204,-0.037726778986611115,-0.03784617366600629,-0.03810982502900906,-0.03854564735981714,-0.03914868740335886,-0.03981967077118209,-0.04038602986035289,-0.040706915722895615,-0.04077484726506714,-0.04071040021131733,-0.04065010333827135,-0.04065271753606958,-0.040717879633622195,-0.04084881738601892,-0.04104967743762916,-0.04128681918320609,-0.04150864906435553,-0.04171320932762157,-0.04195656011319565,-0.04226747654832519,-0.042572723512514066,-0.04274115468738371,-0.042696115143397995,-0.04244553937390777,-0.0420089354759558,-0.04139525243498704,-0.040686602055844345,-0.04005998735309568,-0.03965469049650511,-0.039460096602843664,-0.039386175621865804,-0.03940049853672062,-0.03952920671152027,-0.03974533360640892,-0.03993599184093677,-0.04000746767064958,-0.039973509407250224,-0.03991259508438838,-0.039884921158513054,-0.03992101615398061,-0.040038160963778185,-0.04021313728533299,-0.04036581437447301,-0.04042338260966247,-0.04038879308927759,-0.04032184156638796,-0.04029958424657021,-0.040426429909105555,-0.04081076307883741,-0.041444826361739295,-0.04211907891968372,-0.04252194724432706,-0.04246841382416108,-0.04204527628116933,-0.04151697616375416,-0.041072022311703066,-0.04069741128142412,-0.04032414291008787,-0.040021468589394926,-0.03995102667874484,-0.040131625303680224,-0.040344961549585334
1361.56,-0.028722653748823768,-0.027061479395931287,-0.025912369677064118,-0.02532706649889027,-0.025128520376814206,-0.02513812648843633,-0.025341845288290837,-0.025882955296421206,-0.026925476015083466,-0.028471353903441965,-0.030201638127115876,-0.03151997494358019,-0.031913813632774596,-0.03137272525023613,-0.030430171946123963,-0.02977257043974471,-0.02979910750881365,-0.030505070138070384,-0.03170201093326183,-0.033235226661787964,-0.034922133189032284,-0.036371278597015805,-0.03705086894187709,-0.036629389430554965,-0.035224168697276154,-0.0333364849930394,-0.03158589374020149,-0.03041658880802925,-0.029914992856474004,-0.029861388619873447,-0.029955112522471072,-0.02998912866763298,-0.029864192219894337,-0.02953333331679181,-0.028997307831066077,-0.02835014743286124,-0.027794774541755496,-0.02755906174843742,-0.027755105044004358,-0.028293893319996377,-0.028908375496782046,-0.029266545024281054,-0.029139350447349388,-0.0285414173893902,-0.027726644105030007,-0.027021501608612497,-0.02663020030263996,-0.026554401666277483,-0.02665764800567938,-0.026810996601339065,-0.027010107688306473,-0.027364205559412658,-0.027955285667221275,-0.028700204580881628,-0.029372648308357452,-0.029772104481459227,-0.0298624564831787,-0.02975379239795517,-0.029577204731568774,-0.02940409531285837,-0.029280138356955476,-0.029271410548592947,-0.02941296603536875,-0.029643680593011146,-0.029859845229749438,-0.03003347598623418,-0.030232035318784378,-0.030513551764358993,-0.03083390708224726,-0.031075716625822203,-0.031142616788577215,-0.030983507718321812,-0.030545039461179813,-0.02979825769168465,-0.028852083854375876,-0.02795569413012733,-0.027322043564929455,-0.026995167965306988,-0.02692789337646667,-0.027116021266738066,-0.027570862241983185,-0.028193174878391736,-0.0287712032533875,-0.029130267731234172,-0.02924527635575072,-0.029213294844353976,-0.02917747657764891,-0.02928224192161491,-0.029617980564308838,-0.030134319248212943,-0.03063099629543259,-0.030912549738290246,-0.030962351907295016,-0.030928860995264595,-0.03097889967765788,-0.03121654748545849,-0.031684639008032756,-0.03233322657797874,-0.032968578611895366,-0.03331171202842223,-0.033189670026560425,-0.03269226111496243,-0.032091679274869445,-0.03156536051615849,-0.031051523445768614,-0.03043329612798834,-0.029799634467229053,-0.029407360495223883,-0.02936899125698178,-0.02948642137148383
