Raman Shift,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
1496.55,-0.19698365397507644,-0.17579841571160545,-0.2621361787615017,-0.19831052538077262,-0.1929131059173722,-0.16463072307249668,-0.2461671462707395,-0.15156955250774923,-0.1325731857275784,-0.18221530756259902,-0.10518359867993998,0.26138142785821217,-0.09945742887309819,-0.051732921902273604,0.1038801222177848,-0.19886897168577225,-0.08348556670132708,-0.01136622073892046,-0.16633700732490136,-0.17208768957125734,-0.13481373069821465,-0.01901439156353103,0.3398587596394788,-0.4673200828115492,0.2021142185690991,-0.15458724053984516,-0.07647716596596155,-0.2444012509915994,0.07554471242390215,0.04801745786227455,-0.1306419225645477,-0.2944556173979294,-0.4417770342854726,-0.25729647288911955,-0.40846939267376475,-0.487615522577745,-0.5056759061894394,-0.4413997723823692,-0.23278940718310331,-0.18183048101719712,-0.3175740438096655,-0.265666072877964,0.0547587691164009,-0.3972220494984718,-0.4246361451159481,-0.21039553390692015,-0.4624787983348456,-0.07481353163516244,-0.23897544307869156,-0.1818304810171971,-0.23278940718310331,-0.4413997723823692,-0.5056759061894393,-0.0929411664673962,-0.246268919578846,-0.47082720675772616,-0.17562768927453515,-0.4424263871862016,-0.3672351344422237,-0.1923149168216553,-0.39797846019769345,-0.5106984978848732,-0.48834727054704186,-0.23988138777724188,-0.4800840912901405,-0.40210368775170724,-0.364046629975652,-0.392416098929052,-0.5088984431225356,-0.34688763669585415,-0.47074757149377583,-0.45148068188000223,-0.24988551239072457,-0.3714510537839252,-0.3233648019063938,-0.35133557198698,-0.5135512234036409,-0.509819053171527,-0.5431743678623377,-0.5155733333381092,-0.4302290919574846,-0.08031903589330154,-0.10795429641164511,-0.2036792826753525,0.03300699917759506,-0.057905023369605395,-0.26172525760895915,-0.29725671798205855,-0.2798112258566738,-0.3325589605783521,0.09684173428717646,0.0961231929103805,-0.04139778660034213,-0.24137971178160278,-0.18825419978699684,0.13813495082828478,0.15187181544133346,-0.04455173998515277,0.00581233088315743,0.28484266550361537,0.15943481993402914,-0.13510393650921737,-0.10823888208628757,0.11360208748918121,-0.08988217325793575,0.04253170315848615,-0.09538040244735799,-0.29183241676487737,-0.3581653498173264,-0.13477598376225441
1492.7,-0.2714492032968341,-0.2508234971642857,-0.3407938395824354,-0.2780541629496176,-0.2752884102689511,-0.24342346372487797,-0.32015958330009486,-0.22640717281753237,-0.21238019720195317,-0.26173029330430425,-0.185900738355621,0.14084573561954353,-0.18938912553008697,-0.14921055632709032,-0.009660189709424742,-0.2979104358454849,-0.18279943761576423,-0.11084302665474578,-0.2581362047636443,-0.2651019233669084,-0.2590937555835022,-0.12510029568657097,0.19604872391499786,-0.5762915819424936,0.08193158666583786,-0.26051231897710364,-0.17448817312208098,-0.3479391403293054,-0.0379455709301352,-0.05501862778442192,-0.22076636206957181,-0.3892523142044169,-0.5395212875618128,-0.34578667871486307,-0.5026077753582631,-0.5778342082530696,-0.603914313867587,-0.5526610435537954,-0.33866447284072493,-0.28542161693188045,-0.4317250825983931,-0.37212661812304376,-0.06533075265714922,-0.49130095595863577,-0.5174354521036965,-0.31342124875252425,-0.5632206890999437,-0.18608280961796725,-0.3453281507249714,-0.28542161693188045,-0.33866447284072493,-0.5526610435537954,-0.603914313867587,-0.21014282603423,-0.34595716627850004,-0.5674212592583244,-0.27487953106387975,-0.538806006675639,-0.467201960301127,-0.2941747867543563,-0.49509530353089276,-0.6006552441762346,-0.5769374371823289,-0.3377214557999317,-0.578587787884273,-0.5035214323948288,-0.45626520796136527,-0.4912511521615554,-0.6035857781375282,-0.450068646848273,-0.57239776995229,-0.550246477666777,-0.3489806508233617,-0.4718111306655933,-0.4292885186392551,-0.460816028101531,-0.6266685371850118,-0.6176381271250717,-0.648624701446232,-0.6219686986467401,-0.5322525482822946,-0.19608321153951602,-0.2320681452176967,-0.3119381177600373,-0.07505568001503164,-0.16734288682028844,-0.357464583444271,-0.38620565916850574,-0.3687226123232961,-0.4303874450652825,-0.014377729875764673,-0.014456069011997072,-0.13946723382229984,-0.33094754335511306,-0.28161186834621627,0.019805804420162713,0.03312681138736388,-0.14273834478345596,-0.10903932736803316,0.1430011383255566,0.04324750176348169,-0.23105999016104936,-0.2049841013689125,0.005687790577942733,-0.18191438683300962,-0.05355363842821554,-0.18520739804441333,-0.38668808636619767,-0.45145245697687125,-0.23481060059573117
1488.84,-0.3397092901751119,-0.3143062583934767,-0.4063418902665468,-0.33939542261795985,-0.34499059087413325,-0.31009424427689286,-0.3818199474912243,-0.295488053103486,-0.2807862070371316,-0.32901220431651634,-0.25508685807763354,0.02604983824938264,-0.27932082218707577,-0.24059583860035627,-0.11287865509779706,-0.3898775097080752,-0.2704293237167385,-0.1998485898425892,-0.34337831667104834,-0.35811615716255946,-0.3626604429879085,-0.23118619980961055,0.0522386881905165,-0.6774794025640849,-0.03252806276583984,-0.35319676260970484,-0.26673382691607606,-0.4366859026187678,-0.14603155507683746,-0.15290290914878357,-0.3108908015745959,-0.46946490380990635,-0.6222279634110242,-0.427469945630934,-0.5889012928190535,-0.6598511952306375,-0.7021527215457346,-0.6490874785690318,-0.4379223468947453,-0.38210667711891827,-0.5173383616899384,-0.4643924240021129,-0.1794157983420215,-0.5853798624188002,-0.6102347590914453,-0.40957858260842134,-0.6562132036523424,-0.2973520876007724,-0.44459067786149925,-0.38210667711891827,-0.4379223468947453,-0.6490874785690318,-0.7021527215457346,-0.3273444856010642,-0.4385248239281789,-0.6559658073838734,-0.37413137285322434,-0.6191223562501705,-0.5517892744894294,-0.3892439986915441,-0.584119076586325,-0.6824341044411087,-0.6574739523053171,-0.42158437124795145,-0.6619370696177697,-0.5893364470928552,-0.5407989044482687,-0.5748808125890579,-0.6896651736057032,-0.5453126562197362,-0.6655771185392615,-0.6325513074890897,-0.4409975650822391,-0.5644512016332865,-0.535212235372116,-0.5556990900674748,-0.7236262347119012,-0.7254572010786163,-0.7452875072314683,-0.7119955462155816,-0.6185800882494419,-0.30503772979477706,-0.3561819940237482,-0.4134307756519294,-0.183118359207658,-0.2699408838053042,-0.44583934575378964,-0.46774218858941563,-0.4576339987899185,-0.5131653934773,-0.12003622083055875,-0.12000900084699385,-0.23753668104425787,-0.4205153749286233,-0.36830113200834863,-0.08866257978728251,-0.08561819266660571,-0.23514926694656516,-0.21180133738225665,0.007326634068282954,-0.06713045049853841,-0.3142219033259705,-0.30172932065153785,-0.10222650633329573,-0.26781111950307884,-0.14458185677351187,-0.27503439364146903,-0.46695057602885337,-0.5369656385397871,-0.328176242973643
1484.98,-0.36453113994903114,-0.3373908988404552,-0.42600630547178026,-0.36393192648529676,-0.3766734002401251,-0.3464601245779919,-0.41265012958678904,-0.33002849324646283,-0.3149892119547208,-0.36571142850499566,-0.29544542791547423,-0.05430728990972998,-0.3371340557522829,-0.29542700796431587,-0.17997065760023875,-0.4323238514908092,-0.323007255377323,-0.25220480348249724,-0.3892779153904198,-0.40462327406038495,-0.4248004554305523,-0.29358967282316345,-0.06417895977692079,-0.7397488306389103,-0.11264981736801422,-0.4127796192306628,-0.31285665381307354,-0.4810592837634989,-0.2054788463575234,-0.21472456053680117,-0.370973761244612,-0.5205092790133993,-0.6748594844059768,-0.48192545690831456,-0.6359704841613028,-0.7090613874171782,-0.7512719253848085,-0.7010094051156975,-0.4908598797235561,-0.43735528294008275,-0.5744138810843022,-0.5282687511491604,-0.2514695114061516,-0.6402592245205627,-0.664367688167632,-0.46452563052607687,-0.6949600847158418,-0.352986726592175,-0.4942219414297628,-0.43735528294008275,-0.4908598797235561,-0.7010094051156975,-0.7512719253848085,-0.39327041910740845,-0.49548953632798115,-0.7042628336341727,-0.4270656884742081,-0.6673121659948894,-0.5902380536659306,-0.4435692626556513,-0.6245844279751581,-0.7233235345735457,-0.7057958613791101,-0.4705044052592963,-0.7074003141996769,-0.6361446369281423,-0.5869081934411253,-0.6128942946015591,-0.7327048713397908,-0.592934660905468,-0.7079313678969759,-0.673703722400246,-0.4905451342985576,-0.6107712371171334,-0.5881740937385467,-0.6067899695875985,-0.7721050834753459,-0.7752198505956369,-0.7892251462247576,-0.7611010994349497,-0.6656678373224313,-0.3595149889224076,-0.42237604672030904,-0.46756019319427183,-0.2399934535195668,-0.32465981553064593,-0.49739129043434177,-0.5122166591826389,-0.4946804098176774,-0.5583170017020371,-0.19232887253647016,-0.18535129198294395,-0.28657140465523684,-0.46874420731435956,-0.4283167760821326,-0.1576879151920201,-0.1568651950989872,-0.29868177593370276,-0.27829440268557776,-0.07901168682270902,-0.1484615732179213,-0.3717955355170697,-0.35332677093560466,-0.16389181885400345,-0.3230304476481234,-0.2052673356703758,-0.32893059099970245,-0.510730115844847,-0.5758352665229307,-0.3815280386181642
1481.12,-0.35832567750555133,-0.3258485786169659,-0.4063418902665468,-0.35166367455162834,-0.36400027649372835,-0.3403991445278088,-0.40031805674856313,-0.32427175322263335,-0.3092887111351226,-0.3595948911402491,-0.2896799179386399,-0.0830062642522702,-0.3371340557522829,-0.30151936011586694,-0.1954534274084946,-0.4393982417879316,-0.3288492477840546,-0.25744042484648805,-0.3892779153904198,-0.39797940021783845,-0.43860934708447313,-0.306070367425874,-0.1052675414124869,-0.7397488306389103,-0.14126472972593365,-0.41939993663299147,-0.31862200717519823,-0.4810592837634989,-0.2216917439795287,-0.23017997338380564,-0.370973761244612,-0.5132172254129002,-0.6748594844059768,-0.48192545690831456,-0.6359704841613028,-0.7090613874171782,-0.7430853914116294,-0.6935919870376025,-0.49747707132715707,-0.43735528294008275,-0.5672794411600068,-0.5282687511491604,-0.2694829396721841,-0.6324193156488824,-0.6566344125853196,-0.46452563052607687,-0.6872107085031419,-0.36534997970137556,-0.4942219414297628,-0.43735528294008275,-0.49747707132715707,-0.6935919870376025,-0.7430853914116294,-0.4079206265532627,-0.49548953632798115,-0.7042628336341727,-0.43368247792683107,-0.6592805310374363,-0.5902380536659306,-0.4435692626556513,-0.6164913576973915,-0.7151456485470583,-0.6977422098668113,-0.4705044052592963,-0.699823106769359,-0.6283432719555944,-0.5792233119423159,-0.6052915981990589,-0.7240969317929733,-0.592934660905468,-0.6994605180254331,-0.673703722400246,-0.4834669101247978,-0.6107712371171334,-0.5806081139719137,-0.6067899695875985,-0.764025275348105,-0.7669260756761335,-0.7804376184260997,-0.752916840565055,-0.6578198791435997,-0.3663246463133614,-0.4389245598944493,-0.46756019319427183,-0.25136847238194854,-0.33149968199631363,-0.49739129043434177,-0.5122166591826389,-0.4946804098176774,-0.550791733664581,-0.2090117921609113,-0.20545661233246718,-0.292019707278679,-0.46874420731435956,-0.4283167760821326,-0.17740943959337377,-0.18061419590978112,-0.30445745856889705,-0.2903840509225452,-0.12218084726820518,-0.1716990368520308,-0.37819260576052516,-0.359776452221113,-0.17930814698418007,-0.3291659285531284,-0.2153815821531865,-0.3349190573728395,-0.510730115844847,-0.5758352665229307,-0.3881970130737294
1477.27,-0.3086819779577129,-0.27967929772300887,-0.3539034497192577,-0.3025906668169545,-0.31330778150814137,-0.2858503240761602,-0.3448237289765466,-0.2782178330319976,-0.263684704578337,-0.31677912958702326,-0.2435558381239648,-0.06578687964674605,-0.2921682074237884,-0.2588728950550095,-0.17480973433082014,-0.3898775097080752,-0.28795530093693333,-0.22079107529855244,-0.34337831667104834,-0.35147228332001296,-0.3833737804687898,-0.262387936316387,-0.07787515365544283,-0.6696957240547317,-0.1126498173680142,-0.3664373974143622,-0.27826453364032544,-0.4366859026187678,-0.19467024794285315,-0.20442095197213153,-0.32290739350859915,-0.45488079660890823,-0.5996715972703301,-0.4206630067212614,-0.5653666971479288,-0.6352460991373672,-0.6857796535993766,-0.6268352243347465,-0.451156730101948,-0.39591882857420935,-0.5030694818413479,-0.47148979368511823,-0.23345608314011906,-0.5697000446754394,-0.5947682079268205,-0.4233153445878352,-0.6329650750142427,-0.32826022037377384,-0.44459067786149925,-0.39591882857420935,-0.451156730101948,-0.6268352243347465,-0.6857796535993766,-0.371295107938627,-0.4385248239281789,-0.6318172942587237,-0.3807481623058473,-0.5950274513778111,-0.5210302511482283,-0.3892439986915441,-0.5517467954752586,-0.6415446743086717,-0.6333129977684208,-0.41459579496061644,-0.6316282398964981,-0.5659323521752117,-0.510059378453031,-0.5368673305765566,-0.6466254758716157,-0.5215016538768708,-0.6232228691815471,-0.5996293755601646,-0.4268411167347195,-0.5335711779773887,-0.5276462556054831,-0.5484003929931713,-0.6993868103301788,-0.6922821014006025,-0.7013498682381791,-0.6792585107360029,-0.5950362137129471,-0.32546670196763855,-0.38927902037202866,-0.42019695284472225,-0.22293092522599414,-0.29730034966797503,-0.43847478222799646,-0.4529173650583411,-0.45022471658436664,-0.4981148574023877,-0.17564595291202897,-0.18032496189556316,-0.2538815889145842,-0.41362554173066096,-0.3749695369054358,-0.1527575340916817,-0.16161499526114598,-0.25825199748734246,-0.2420254579746753,-0.11601382434742,-0.14265220730939393,-0.3334131140563369,-0.3210783645080629,-0.15361426676721884,-0.28621756221809375,-0.17998171946334907,-0.2929997927608802,-0.459653986059521,-0.5136438617499008,-0.3415141918847733
1473.41,-0.19698365397507644,-0.17002725559986082,-0.22936215341944594,-0.18604227344710417,-0.18657654404417384,-0.15856974302231353,-0.2215030005942877,-0.16883977257923763,-0.1553751890059712,-0.20056491965683867,-0.1340111485641119,0.0317896331178907,-0.1572706624383053,-0.13093349987243746,-0.07675219221186672,-0.2554640940627509,-0.171115452802301,-0.11084302665474577,-0.2122366060442728,-0.21859480646908286,-0.2245715264487001,-0.11261960108386039,0.05908678512977754,-0.46732008281154924,-0.009636132879504274,-0.20754977975847444,-0.1629574663978316,-0.2961701956604524,-0.0865842637961512,-0.10138486632543534,-0.17870829030056057,-0.2944556173979294,-0.4041830907176493,-0.25729647288911955,-0.3770899317789319,-0.4384053303912048,-0.49748937221626033,-0.4413997723823692,-0.3055785148227182,-0.2508912382936527,-0.3175740438096655,-0.31534766065900127,-0.10736208527789175,-0.38938214062679144,-0.4246361451159481,-0.2790793438039895,-0.4702281745475451,-0.1984460627271678,-0.2956968871567075,-0.2508912382936527,-0.3055785148227182,-0.4413997723823692,-0.49748937221626033,-0.2321181372030114,-0.2747512757787472,-0.4386291892575266,-0.2351787943481419,-0.41833148231384215,-0.3518556227716232,-0.2262682067992223,-0.37369924936439364,-0.4616311817259487,-0.44002536147324933,-0.26783569292658177,-0.4421980541385515,-0.3865009578066116,-0.33330710398041424,-0.3544026169165507,-0.440034926747996,-0.32307663435298817,-0.4199224722645186,-0.41855874995107717,-0.25696373656448435,-0.3405710301280273,-0.3536287209729256,-0.3805303602841936,-0.49739160714915936,-0.47664395349351374,-0.49923672886904846,-0.4828362978585304,-0.4302290919574846,-0.1892735541485622,-0.23206814521769667,-0.2645748774104878,-0.11486824603336779,-0.16734288682028844,-0.291183511712132,-0.3046691297475958,-0.3094483546788812,-0.3476094966532645,-0.06442648874908817,-0.07477203006056665,-0.14491553644574195,-0.26893904457345214,-0.2349330340666066,-0.0640106742855904,-0.07611859234228813,-0.13118697951306735,-0.10903932736803318,-0.035842526377213184,-0.03227425504737417,-0.19907463894377206,-0.21143378265442087,-0.05597752194276495,-0.15123698230798488,-0.07378213139383694,-0.17323046529813924,-0.32831536661153904,-0.3581653498173264,-0.2014657283179055
1469.55,-0.06666894266200091,-0.03729057302973454,-0.08515644191440075,-0.05109150217675149,-0.04717218283380993,-0.025228181918284003,-0.09201623579291619,-0.04219149205498957,-0.029964170974811112,-0.0660010976324148,-0.007169929073755509,0.1695447099620838,0.003321653020602896,0.027467656067890225,0.05743181279301728,-0.08567872693181494,-0.019223650227279294,0.030518750173006003,-0.041752382229464965,-0.0392102127203276,-0.02434259746684829,0.068350470655443,0.21659301473278095,-0.23380972753095447,0.12771544643850896,-0.022180892493272368,-0.018823632344714625,-0.11867667108152782,0.053927515594561715,0.037713849297604914,-0.022492595158519115,-0.1267383845864515,-0.18613821802427402,-0.08031606123763256,-0.17312343596251814,-0.2333628629472852,-0.26007988699407064,-0.21887723003951598,-0.1202971499218803,-0.064427193647223,-0.11780972592939211,-0.13081604890086299,0.04274981693904592,-0.18554450996310187,-0.23903753114045054,-0.10050143807160912,-0.2764937692300484,-0.03772377230756071,-0.10426201339340377,-0.064427193647223,-0.1202971499218803,-0.21887723003951598,-0.2600798869940706,-0.03434033668397907,-0.06113360427948887,-0.21324306675612942,-0.043291900222076046,-0.21754060837751335,-0.15961172688911687,-0.03612978292484735,-0.16327942214246177,-0.25718403106376403,-0.2225767706411811,-0.09312128574320723,-0.23003624608965093,-0.1914668334929154,-0.13350018501136884,-0.14912981404904366,-0.2076205589839233,-0.0929036117052844,-0.17426782598977522,-0.21279667539529554,-0.05877345969921043,-0.1012508467948187,-0.13421530774056992,-0.16886814512939516,-0.24691755520469563,-0.20294938114990038,-0.24439842270797124,-0.245492790631585,-0.22618217930786375,-0.0054128045928095595,-0.016937473953874422,-0.06835573881949684,0.027319489746404194,-0.0031860916442636657,-0.12179855061888792,-0.1341836591402387,-0.1390348639511884,-0.16700306375431614,0.08571978787088234,0.07601787256085732,0.002188634387194766,-0.11047288102031859,-0.06822291163942938,0.05924885322287008,0.04737621187384025,0.018980769001984775,0.04208127559405982,0.10599900080084562,0.10715052675728279,-0.039147882857385706,-0.05664143180222075,0.07249187914204276,0.002150040317138432,0.05264594964129687,-0.02950727234285048,-0.16049379731689534,-0.17159113549823657,-0.03474136692877772
1465.7,0.0015911442162769357,0.037734508422945706,-0.006498781093467367,0.016383883458425022,0.028866559644570574,0.0475035786839141,-0.0241898351826738,0.02688938823096408,0.03844183886036728,0.0012808133797973175,0.062016190648257065,0.23842224838418,0.07398227182252265,0.100575881886503,0.11420196875662206,-0.01493482396059201,0.0508802586535001,0.09858182790488648,0.030375558615261585,0.04051627339023046,0.0723196441105976,0.16195568017577236,0.3056182749431742,-0.11705454989065688,0.20211421856909917,0.057262916334671524,0.05036060800078167,-0.04472103584030964,0.11877910608258306,0.09953550068562281,0.05561525241250178,-0.05381784858146111,-0.0808751760343687,0.0013672056784379744,-0.08682991850172771,-0.14314417727196058,-0.161841479315923,-0.12245079502427958,-0.040890850678664416,0.01844571508452368,-0.03219644683784679,-0.04564761270479957,0.114803530003176,-0.09930551237461782,-0.15397149973501414,-0.024949247184833188,-0.19125063089034972,0.03027411979304245,-0.019179847276380276,0.018445715084523685,-0.040890850678664416,-0.12245079502427958,-0.16184147931592296,0.06088601171407373,0.03855464242016518,-0.10859950988048077,0.0427263626620226,-0.12919262384552865,-0.06733465686551382,0.05893942901234032,-0.07425564908702904,-0.16722728477240253,-0.1259329524935952,-0.0162469465825228,-0.14668696435615425,-0.09785045382234124,-0.04128160702565559,-0.05029476081654029,-0.1043252844221132,0.010277398447134085,-0.07261762753126073,-0.11403087960852032,0.03324345455966692,0.006829236000823471,-0.03585757077434152,-0.07398508316345104,-0.1418800495505655,-0.0868365322768523,-0.13894808912407702,-0.1390974253229541,-0.13200668116188485,0.08311274148959004,0.08235360509096684,0.026370741879602404,0.09556960292069475,0.0720524394780812,-0.0481529153609557,-0.060059541484866,-0.06494204189566974,-0.09175038337975433,0.1580124395767941,0.1413601636968077,0.07301656849194223,-0.03468471584273339,0.011797947125615849,0.1184134264269311,0.10437381381974566,0.08251327798912234,0.11461916501586462,0.18000327585026762,0.1768629176596113,0.031219889820624434,0.014305062338371139,0.13415719166275045,0.0757758111771978,0.1133314285381611,0.036365857761657024,-0.08752789762357199,-0.09385187953194912,0.038617352082438675
1461.84,0.05123484376411536,0.08967494942864743,0.052494464522232935,0.07159101715993307,0.07955905463015758,0.10205239913556267,0.037470529008455655,0.07870004844542933,0.08974634623675108,0.05021311229776976,0.11390578043976649,0.2843406073322443,0.1125244275326607,0.1371299947958094,0.1400065851037151,0.02043712752501965,0.08009022068715818,0.13523117745282212,0.06971807180329424,0.07373564260296299,0.12065076489932054,0.20563811128525938,0.37409924433578395,-0.06256880032518466,0.24217509587018635,0.10360513815097214,0.08495272817352982,-0.007743218219700345,0.15120490132659373,0.13559813066196658,0.09767332418151303,-0.0027734733779682455,-0.03576244375298072,0.042208839136473435,-0.039760727159478385,-0.09393398508541988,-0.1372818773963861,-0.09278112271189916,-0.007804892660657651,0.05297609372275147,0.010610192707926071,-0.0030633946067676657,0.15083038653524106,-0.05226605914453563,-0.12303839740576455,0.002524276773994563,-0.15250374982685028,0.06118225256604388,0.016271055272379674,0.05297609372275147,-0.007804892660657651,-0.09278112271189916,-0.13728187739638606,0.09751153032870943,0.08127817672001691,-0.06835198800523126,0.0890438888303834,-0.08903444905826288,-0.021196121853712738,0.09968337698542075,-0.025697227420429382,-0.11815996861347809,-0.0937183464443999,0.0256845111414871,-0.10880092720456484,-0.058843628959602,-0.0028571995316088172,-0.004678582401539145,-0.06128558668802565,0.0578994031328659,-0.021792528302003476,-0.07287846469736399,0.0686345754284659,0.0531492714846703,-0.005593651707810125,-0.03749159779193406,-0.10956081704160239,-0.05366143259883855,-0.10379797792944562,-0.10636038984337534,-0.09276689026772701,0.1103513710534053,0.11545063143924725,0.06020162784356642,0.12969465950784004,0.10625177180641979,-0.011330097731990002,-0.015585070891642818,-0.027895630867910838,-0.05412404319247344,0.1913782788256764,0.1715181442210922,0.10025808160915278,0.006654283345040566,0.05847678140522557,0.14799571302896164,0.1281228146305396,0.11716737380028829,0.15693293384525075,0.21083839045419342,0.2175284790193029,0.06960231128135724,0.0465534687659129,0.17012862396649636,0.11872417751223241,0.15378841446940392,0.07229665600047931,-0.05104494777691033,-0.04720832595217668,0.07196222436026437
