raman_shift,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
1801.26,-0.30321555672362255,-0.3217840013343509,-0.288710505909605,-0.30576408250755405,-0.3020456360538425,-0.31616624412979666,-0.3056088485321361,-0.32396341165812814,-0.32874696324226316,-0.31192183844479937,-0.3314325203245071,-0.3426634775228279,-0.3087612510482619,-0.3219046651502536,-0.3677964370760747,-0.2816662149232617,-0.33436502573479854,-0.362845990462191,-0.30221152212057323,-0.30312363195018277,-0.3043069487185003,-0.3320422671817226,-0.3178070361435837,-0.2690617882919896,-0.3493904417859306,-0.3062475789604372,-0.3348395162800979,-0.2712596859468227,-0.35402809095195,-0.3681108751962757,-0.33062025976531617,-0.27266630023696825,-0.2676990412158248,-0.2923741176814284,-0.258111914002014,-0.24837379812302607,-0.2462413521849693,-0.27429306568828304,-0.3014345056775725,-0.2944937561545191,-0.28765074019576853,-0.2848064400992586,-0.32941143078061697,-0.2580624914041739,-0.25419846313753297,-0.2911632601502342,-0.25419251745170446,-0.31807457032208797,-0.28314027440676615,-0.2944937561545191,-0.3014345056775725,-0.27429306568828304,-0.2462413521849693,-0.2902186065403275,-0.29638124152247297,-0.2595964985844898,-0.3130188002560508,-0.25255517899496094,-0.2673323864458711,-0.30495326588555105,-0.25531235684418674,-0.2469063533795388,-0.2534202589738754,-0.2859051196804828,-0.26516257895878204,-0.2613502449377255,-0.2639128628005941,-0.2690936014360774,-0.24257747506689387,-0.26790178195835335,-0.249732228356482,-0.24733087694525974,-0.29114064440484544,-0.27480321297785226,-0.27096057262101436,-0.27886226411877824,-0.2550649598105402,-0.25381466414721654,-0.23215397499182272,-0.25018584904156116,-0.2559308108756275,-0.2998174926501159,-0.2640679703493226,-0.3051041527021882,-0.34045247810259327,-0.29705765168213594,-0.2696140306698469,-0.26557736826680256,-0.2650740690866398,-0.2636788008329871,-0.35453470627079087,-0.3797516811441485,-0.34844399063653997,-0.28452240745761304,-0.2979376919145542,-0.3787676861920599,-0.38598446532336184,-0.33761320699817443,-0.3299839743009262,-0.3182810753775078,-0.34386390607391915,-0.31084019362611515,-0.3062061009078866,-0.36688548005670607,-0.318145456990661,-0.3728497676594634,-0.3223417934953908,-0.2675649842434741,-0.2570752061308892,-0.3004865478180979
1797.41,-0.30232901169441306,-0.32077878562897466,-0.28798463534353735,-0.30386928604303076,-0.30019225572386676,-0.3142580059867027,-0.30378044744228505,-0.3219555236965659,-0.32669746747984385,-0.3090125088345803,-0.328402744800929,-0.34151363891960484,-0.3068677969933127,-0.3199158078536273,-0.36448618285604995,-0.2799674529880095,-0.33232766329791985,-0.36058071460443875,-0.3003903333007688,-0.3013163410527938,-0.3015805447551979,-0.3290998307651225,-0.31504075740258947,-0.26774457342446445,-0.34722771059338575,-0.3044345027186157,-0.3317721648100891,-0.26968380953519366,-0.351794245220045,-0.3657791432455725,-0.32763599954728473,-0.2710469560905959,-0.2662197262588805,-0.289632345647325,-0.25666600636921094,-0.24704889367172267,-0.2450059717878066,-0.2729179211102415,-0.2997126109459313,-0.2927383634084415,-0.286118344171723,-0.28423774246012445,-0.3284215635192411,-0.2566992451184671,-0.2528532748662331,-0.2894818425539366,-0.2528968107368925,-0.3171751729970326,-0.28145110823818864,-0.2927383634084415,-0.2997126109459313,-0.2729179211102415,-0.2450059717878066,-0.288605734520917,-0.2947061214727721,-0.25827858355214633,-0.3112350357904331,-0.2511998676447517,-0.2648133731116542,-0.3021681589226355,-0.2539084870697225,-0.2456368252055237,-0.25111366685003705,-0.28323184549846625,-0.26383011071856766,-0.2599406314791888,-0.2624027165325108,-0.26763540151316956,-0.24132508128384178,-0.26643742648713686,-0.24843955000451312,-0.24600121410370324,-0.28945660120388383,-0.2733003772434172,-0.2694445985165669,-0.27735053753900923,-0.25382929659028364,-0.25358037653280674,-0.23096254925827325,-0.24894431683003337,-0.25457857894794883,-0.298003341391177,-0.2625965522289192,-0.30341870124348014,-0.3383364490823897,-0.2952900312098822,-0.2680307610250775,-0.26398211001391747,-0.26347166250819254,-0.26215198621402935,-0.3523099210611519,-0.3773475993029649,-0.3472800683334911,-0.2828242185860038,-0.29618622136072226,-0.3773815185479882,-0.3845025587701728,-0.33453450319712563,-0.32694771640157216,-0.31729173915340436,-0.3427302916863856,-0.3079600868415543,-0.3043542383256601,-0.3655575100489764,-0.31617302730719177,-0.36951093597735285,-0.32038719754474865,-0.26699462063411283,-0.25562108165231257,-0.2986959197129214
1793.55,-0.30044016395084194,-0.3187709589737141,-0.28625687939937605,-0.30297216543184635,-0.2993366588216053,-0.31234740878349687,-0.3019498946612914,-0.31994501784419427,-0.32464524575440523,-0.30710081732926975,-0.3263702945357312,-0.34036081372260707,-0.3049720222784804,-0.3179243820964901,-0.3621725253783107,-0.27826687608669154,-0.329287606413153,-0.358312152315887,-0.2985670115229909,-0.299506953295931,-0.29985225402835447,-0.32615494646172605,-0.31327248832720295,-0.26642653462221844,-0.3450619593198213,-0.3026193145904519,-0.3297020409985997,-0.2691064373406771,-0.350557194694031,-0.36344395225084136,-0.3256491828092065,-0.26942600325812904,-0.2637391663280221,-0.2878886469326134,-0.25521894053476424,-0.24572314531275347,-0.24476998001298894,-0.27154180213069856,-0.29898884116303914,-0.290981008603283,-0.28458456530086174,-0.28266756768426526,-0.3264291251740694,-0.2553350553359143,-0.25150719000202076,-0.28879865504180446,-0.2516003359526915,-0.31527343957502885,-0.27976015202761484,-0.290981008603283,-0.29898884116303914,-0.27154180213069856,-0.24476998001298894,-0.2879912706261313,-0.2920292478645006,-0.2559598427664721,-0.30944923557295667,-0.2498436334079186,-0.26329301169085495,-0.30038101272085516,-0.25250356828285714,-0.2443665969583293,-0.24980627838301994,-0.2815568225523406,-0.26249677892448253,-0.2585299540895909,-0.2608912452091857,-0.2661760114605918,-0.24007203193252197,-0.2649718648978132,-0.2461461114490326,-0.24467069499502586,-0.28777078126733513,-0.2717962354421394,-0.2679272842196402,-0.2758374817992928,-0.25259302125776656,-0.25234548037913873,-0.23077062631502632,-0.24770215726211203,-0.25322543213214627,-0.2961870754536434,-0.2621239096458654,-0.30173146939137274,-0.3372175212855103,-0.29352041691821984,-0.26644597639421763,-0.2613853056357003,-0.26186769123733367,-0.2606238032454119,-0.35008195459122804,-0.3749398704959601,-0.345113122855629,-0.28112421623680595,-0.2934327989353218,-0.3759917504684773,-0.3820168031090534,-0.33245299756802216,-0.32490876692325865,-0.3162998332248227,-0.3405937328458972,-0.30607769406534513,-0.30250016311334993,-0.3632260907684993,-0.31319807183233683,-0.36716862681035356,-0.3184301221241047,-0.26542277556083116,-0.25416577762963577,-0.2969032380282509
1789.69,-0.2985513162072708,-0.31676313231845377,-0.28452912345521475,-0.30007504482066205,-0.297481061919344,-0.310436811580291,-0.30011934188029776,-0.31893451199182277,-0.3225930240289666,-0.3061891258239593,-0.32433784427053336,-0.3392079885256094,-0.30307624756364815,-0.31593295633935303,-0.35985886790057164,-0.2755662991853737,-0.3262475495283863,-0.35704359002733543,-0.29674368974521304,-0.29769756553906834,-0.29812396330151103,-0.3252100621583296,-0.31450421925181654,-0.2651084958199724,-0.34389620804625687,-0.30080412646228805,-0.32763191718711027,-0.2675290651461607,-0.34732014416801704,-0.36110876125611036,-0.3226623660711283,-0.26780505042566227,-0.2632586063971637,-0.28614494821790193,-0.2537718747003175,-0.24439739695378432,-0.2435339882381713,-0.27016568315115563,-0.297265071380147,-0.28922365379812465,-0.2840507864300006,-0.2820973929084061,-0.3254366868288977,-0.25397086555336146,-0.2511611051378084,-0.2871154675296723,-0.25130386116849046,-0.3133717061530251,-0.27806919581704115,-0.28922365379812465,-0.297265071380147,-0.27016568315115563,-0.2435339882381713,-0.2863768067313456,-0.29035237425622906,-0.25464110198079787,-0.30766343535548024,-0.24848739917108553,-0.2617726502700558,-0.29859386651907494,-0.25009864949599175,-0.24209636871113493,-0.24849888991600277,-0.27988179960621495,-0.2621634471303975,-0.257119276699993,-0.25937977388586064,-0.26471662140801405,-0.23881898258120215,-0.2635063033084897,-0.24485267289355206,-0.2433401758863485,-0.28608496133078654,-0.27029209364086165,-0.2664099699227136,-0.2743244260595764,-0.25135674592524954,-0.2501105842254707,-0.22957870337177932,-0.24645999769419064,-0.25287228531634376,-0.29537080951610994,-0.2606512670628116,-0.30004423753926535,-0.335098593488631,-0.2927508026265576,-0.2658611917633579,-0.2597885012574831,-0.2602637199664748,-0.25909562027679456,-0.3478539881213044,-0.3735321416889553,-0.3429461773777671,-0.2794242138876082,-0.2916793765099214,-0.37360198238896636,-0.379531047447934,-0.3303714919389188,-0.32386981744494525,-0.315307927296241,-0.3394571740054091,-0.30419530128913597,-0.30064608790103975,-0.36189467148802223,-0.312223116357482,-0.3638263176433544,-0.3164730467034609,-0.2638509304875496,-0.252710473606959,-0.2951105563435805
1785.84,-0.2966647711780612,-0.3157579166130773,-0.2838032528891471,-0.29918024835613866,-0.29562768158936825,-0.3095285734371971,-0.2992909407904466,-0.3169266240302604,-0.3215435282665473,-0.30427979621374024,-0.32330806874695517,-0.33905814992238625,-0.3021827935086988,-0.3149440990427266,-0.3575486136805469,-0.27486753725012136,-0.3242101870915074,-0.35477831416958305,-0.2959225009254085,-0.2958902746416793,-0.29739755933820866,-0.3242676257417295,-0.3157379405108222,-0.2647912809524472,-0.343733476853712,-0.29899105022046657,-0.32656456571710146,-0.26595318873453144,-0.34608629843611205,-0.359777029305407,-0.32167810585309675,-0.26818570627928995,-0.26277929144021944,-0.2854031761837984,-0.2533259670675144,-0.24407249250248086,-0.2422986078410086,-0.2697905385731141,-0.2965431766485058,-0.28846826105204704,-0.284518390405955,-0.2815286952692718,-0.32544681956752175,-0.25460761926765463,-0.2508159168665086,-0.28543404993337473,-0.2500081544536785,-0.3124723088279696,-0.27738002964846364,-0.28846826105204704,-0.2965431766485058,-0.2697905385731141,-0.2422986078410086,-0.28576393471193495,-0.28867725420652823,-0.25332318694845435,-0.30587967088986256,-0.2471320878208763,-0.2602536369358389,-0.2968087595561594,-0.24969477972152754,-0.24182684053711984,-0.24719229779216445,-0.2792085254241985,-0.26183097889018314,-0.2567096632414563,-0.2588696276177773,-0.26425842148510614,-0.23756658879815,-0.2620419478372732,-0.24455999454158317,-0.24301051304479193,-0.2844009181298248,-0.2687892579064265,-0.26489399581826606,-0.2738126994798074,-0.2501210827049929,-0.24987629661106098,-0.22838727763822986,-0.24521846548266285,-0.251520053388665,-0.2935566582571709,-0.2601798489424082,-0.2983587860805572,-0.33398256446842745,-0.29098318215430374,-0.26427792211858847,-0.259193243004598,-0.25866131338802756,-0.2575688056578368,-0.3466292029116653,-0.37112805984777175,-0.34178225507471816,-0.27772602501599897,-0.2909279059560893,-0.3722158147448946,-0.37804914089474484,-0.3292927881378699,-0.32283355954559123,-0.31431859107213755,-0.3383235596178754,-0.302315194504575,-0.29979422531881317,-0.35956670148029257,-0.3112506866740128,-0.3624874859612437,-0.3155184507528187,-0.26328056687818835,-0.25125634912838224,-0.294319928238404
1781.98,-0.2947759234344901,-0.31275008995781695,-0.2820754969449858,-0.29728312774495436,-0.2937720846871069,-0.30761797623399123,-0.29746038800945307,-0.3149161181778889,-0.3194913065411087,-0.3023681047084297,-0.32127561848175745,-0.3379053247253886,-0.30128701879386666,-0.3139526732855895,-0.35423495620280787,-0.2721669603488035,-0.3221701302067407,-0.3525097518810315,-0.2940991791476306,-0.2940808868848166,-0.2956692686113652,-0.32232274143833306,-0.3139696714354358,-0.2644732421502012,-0.3415677255801477,-0.29717586209230273,-0.32449444190561205,-0.2643758165400151,-0.3438492479100981,-0.356441838310676,-0.31869128911501854,-0.26556475344682307,-0.261298731509361,-0.2826594774690868,-0.25087890123306766,-0.24174674414351172,-0.24106261606619095,-0.26741441959357115,-0.2938194068656136,-0.28571090624688866,-0.2819846115350938,-0.27995852049341263,-0.32345438122235004,-0.2522434294851018,-0.24946983200229628,-0.2837508624212427,-0.2487116796694775,-0.310570575405966,-0.27468907343788984,-0.28571090624688866,-0.2938194068656136,-0.26741441959357115,-0.24106261606619095,-0.28314947081714925,-0.2870003805982567,-0.25100444616278017,-0.30309387067238625,-0.2457758535840432,-0.25773327551503966,-0.29502161335437904,-0.24728986093466224,-0.23955661228992547,-0.2458849093251474,-0.27753350247807285,-0.259497647096098,-0.25429898585185845,-0.25635815629445224,-0.2617990314325285,-0.2363135394468302,-0.2605763862479496,-0.24226655598610258,-0.2406799939361146,-0.2817150981932762,-0.26728511610514877,-0.2633766815213394,-0.27129964374009097,-0.24788480737247587,-0.24764140045739297,-0.22619535469498292,-0.2429763059147415,-0.25016690657286245,-0.29174039231963744,-0.2587072063593544,-0.29667155422844993,-0.33086363667154817,-0.2892135678626415,-0.2626931374877287,-0.2575964386263808,-0.2570573421171688,-0.25604062268921945,-0.3444012364417416,-0.36872033104076696,-0.33961530959685615,-0.2760260226668012,-0.28917448353068886,-0.36982604666538377,-0.37656338523362554,-0.3272112825087665,-0.32079461006727783,-0.313326685143556,-0.33618700077738717,-0.30043280172836584,-0.297940150106503,-0.3572352821998155,-0.30927573119915786,-0.3601451767942445,-0.3135613753321749,-0.2617087218049068,-0.24980104510570547,-0.2925272465537335
1778.12,-0.292887075690919,-0.3117422633025564,-0.2803477410008245,-0.29538600713376995,-0.29191648778484547,-0.3057073790307854,-0.2956298352284594,-0.3129056123255173,-0.31743908481567007,-0.3004564132031191,-0.3192431682165595,-0.3367524995283908,-0.2993912440790343,-0.31196124752845233,-0.3519212987250686,-0.2694663834474855,-0.31913007332197385,-0.35024118959247985,-0.29227585736985273,-0.2922714991279538,-0.2939409778845218,-0.3203778571349366,-0.3122014023600493,-0.26315520334795517,-0.33940197430658314,-0.2953606739641389,-0.32142431809412264,-0.2627984443454985,-0.3416121973840841,-0.3541066473159449,-0.3167044723769403,-0.2629438006143563,-0.2598181715785026,-0.28091577875437534,-0.24843183539862093,-0.23942099578454257,-0.2398266242913733,-0.2660383006140282,-0.29209563708272135,-0.2839535514417302,-0.28045083266423254,-0.27838834571755344,-0.32246194287717833,-0.250879239702549,-0.24812374713808394,-0.28206767490911056,-0.24741520488527646,-0.30866884198396227,-0.27299811722731604,-0.2839535514417302,-0.29209563708272135,-0.2660383006140282,-0.2398266242913733,-0.28153500692236355,-0.2843235069899852,-0.24968570537710588,-0.3003080704549098,-0.24341961934721013,-0.2562129140942405,-0.2922344671525987,-0.2458849421477968,-0.23828638404273106,-0.24357752085813023,-0.2758584795319472,-0.257164315302013,-0.25288830846226057,-0.25484668497112706,-0.2593396413799507,-0.2340604900955104,-0.258110824658626,-0.2399731174306221,-0.23934947482743718,-0.2790292782567275,-0.26478097430387093,-0.26085936722441283,-0.2697865880003746,-0.24664853203995885,-0.24640650430372496,-0.22500343175173593,-0.2417341463468201,-0.24881375975705988,-0.28992412638210385,-0.2572345637763006,-0.29498432237634253,-0.3297447088746688,-0.2874439535709792,-0.26110835285686895,-0.25499963424816363,-0.2554533708463099,-0.253512439720602,-0.34217326997181785,-0.36731260223376205,-0.33744836411899404,-0.27432602031760334,-0.2864210611052884,-0.3684362785858728,-0.3740776295725061,-0.32412977687966305,-0.3187556605889643,-0.3133347792149743,-0.3340504419368989,-0.2985504089521567,-0.2960860748941927,-0.3559038629193384,-0.30630077572430303,-0.3578028676272452,-0.31160429991153105,-0.2601368767316251,-0.24834574108302868,-0.2897345648690631
1774.26,-0.29099822794734787,-0.30873443664729605,-0.2786199850566632,-0.29348888652258553,-0.29006089088258413,-0.3027967818275795,-0.2927992824474658,-0.3098951064731458,-0.31438686309023156,-0.29754472169780866,-0.3162107179513618,-0.33359967433139315,-0.296495469364202,-0.30796982177131527,-0.34860764124732957,-0.26676580654616766,-0.31609001643720713,-0.3469726273039282,-0.28945253559207484,-0.2894621113710911,-0.29021268715767834,-0.31543297283154026,-0.3064331332846629,-0.25983716454570915,-0.3362362230330188,-0.29154548583597506,-0.31835419428263334,-0.261221072150982,-0.33937514685807035,-0.3507714563212139,-0.3127176556388621,-0.2593228477818895,-0.25633761164764424,-0.27617208003966376,-0.24398476956417428,-0.23509524742557342,-0.23759063251655566,-0.2636621816344853,-0.2893718672998292,-0.2811961966365719,-0.27591705379337134,-0.27481817094169425,-0.3184695045320066,-0.24751504991999618,-0.24577766227387166,-0.2803844873969784,-0.24511873010107543,-0.30576710856195854,-0.27030716101674224,-0.2811961966365719,-0.2893718672998292,-0.2636621816344853,-0.23759063251655566,-0.27992054302757796,-0.2796466333817137,-0.2463669645914317,-0.2965222702374334,-0.240063385110377,-0.25269255267344126,-0.2884473209508185,-0.2424800233609314,-0.2350161557955367,-0.2402701323911131,-0.27218345658582155,-0.2538309835079279,-0.24947763107266274,-0.251335213647802,-0.2558802513273729,-0.23080744074419057,-0.25464526306930246,-0.23667967887514152,-0.23601895571875975,-0.2753434583201789,-0.26027683250259326,-0.25834205292748624,-0.26627353226065814,-0.24341225670744182,-0.243171608150057,-0.222811508808489,-0.23949198677889877,-0.24646061294125737,-0.28810786044457026,-0.2547619211932468,-0.29229709052423514,-0.3266257810777894,-0.28467433927931696,-0.2595235682260092,-0.25140282986994644,-0.25284939957545116,-0.25098425675198466,-0.3389453035018941,-0.36390487342675726,-0.33428141864113203,-0.2706260179684056,-0.282667638679888,-0.36604651050636194,-0.3715918739113867,-0.32004827125055957,-0.3147167111106509,-0.31134287328639265,-0.3299138830964107,-0.2946680161759476,-0.2932319996818825,-0.3525724436388614,-0.3023258202494482,-0.35346055846024604,-0.3086472244908872,-0.25756503165834355,-0.24489043706035188,-0.2869418831843926
1770.41,-0.2881116829181384,-0.3067292209419197,-0.27589411449059553,-0.29059409005806225,-0.2872075105526084,-0.2998885436844856,-0.28997088135761473,-0.3078872185115835,-0.31133736732781225,-0.2956353920875896,-0.3141809424277836,-0.3314498357281701,-0.2926020153092528,-0.3049809644746889,-0.3452973870273049,-0.26406704461091546,-0.31205265400032844,-0.3427073514461759,-0.2856313467722704,-0.28465482047370216,-0.28548628319437597,-0.3094905364149402,-0.3036668545436686,-0.2565199496781839,-0.33307349184047397,-0.2877324095941536,-0.31428684281262453,-0.25764519573935296,-0.33714130112616514,-0.3474397243705107,-0.30773339542083067,-0.2557035036355172,-0.25285829669070004,-0.27243030800556034,-0.24053886193137122,-0.23077034297426993,-0.23435525211939295,-0.25928703705644374,-0.286649972568188,-0.2784408038904942,-0.27238465776932586,-0.2712494733025601,-0.3154796372706308,-0.24415180363428934,-0.24243247400257179,-0.2767030698006808,-0.2418230233862635,-0.30286771123690315,-0.26761799484816484,-0.2784408038904942,-0.286649972568188,-0.25928703705644374,-0.23435525211939295,-0.27630767100816733,-0.27497151333201286,-0.24104904955908818,-0.2917385057718158,-0.2367080737601678,-0.24917353933922445,-0.2846622139879029,-0.2380761535864672,-0.2317466276215216,-0.23696354026727479,-0.268510182403805,-0.2504985152677135,-0.24606801761412603,-0.24782506737971868,-0.25242205140446516,-0.22655504696113843,-0.250180907598086,-0.23238700052317265,-0.23168929287720333,-0.2716594151192173,-0.25577399676815815,-0.25482607882303865,-0.26276180568088925,-0.23917659348718523,-0.2389373205356472,-0.21862008307493952,-0.23625045456737098,-0.24310838101357868,-0.28429370918563146,-0.2522905030728434,-0.288611639065527,-0.3235097520575859,-0.2819067188070632,-0.2569402985812398,-0.2488075716170615,-0.2502469929970038,-0.24745744213302692,-0.33472051829225513,-0.3605007915855738,-0.3311174963380832,-0.26692782909679647,-0.278916168126056,-0.3626603428622902,-0.3681099673581977,-0.31596956744951077,-0.3106804532112969,-0.3103535370622892,-0.3257802687088771,-0.29078790939138666,-0.29038013709965604,-0.34924447363113176,-0.298353390565979,-0.35012172677813547,-0.30569262854024504,-0.2549946680489824,-0.24143631258177525,-0.28315125507921624
1766.55,-0.28622283517456726,-0.30372139428665923,-0.27416635854643423,-0.28769696944687784,-0.28435191365034695,-0.29797794648127973,-0.2881403285766211,-0.3048767126592119,-0.30828514560237363,-0.29272370058227914,-0.3111484921625858,-0.32929701053117233,-0.2897062405944205,-0.30198953871755174,-0.34098372954956563,-0.2603664677095975,-0.3080125971155616,-0.3384387891576243,-0.2818080249944924,-0.28084543271683937,-0.2817579924675325,-0.3065456521115437,-0.30489858546828214,-0.2522019108759379,-0.3309077405669095,-0.28391722146598974,-0.3112167190011351,-0.2540678235448365,-0.33290425060015144,-0.34310453337577956,-0.30274657868275245,-0.2530825508030503,-0.24937773675984157,-0.26868660929084875,-0.23809179609692446,-0.22844459461530078,-0.2291192603445753,-0.2549109180769008,-0.2819262027852958,-0.2736834490853358,-0.2698508788984646,-0.2686792985267009,-0.31248719892545906,-0.24178761385173655,-0.23908638913835945,-0.2730198822885487,-0.23852654860206246,-0.2989659778148994,-0.2629270386375909,-0.2736834490853358,-0.2819262027852958,-0.2549109180769008,-0.2291192603445753,-0.27269320711338163,-0.27029463972374124,-0.23673030877341397,-0.2879527055543394,-0.23235183952333474,-0.2446531779184252,-0.2798750677861226,-0.23467123479960186,-0.22747639937432723,-0.23265615180025767,-0.2658351594576793,-0.24616518347362848,-0.24265734022452815,-0.2443135960563936,-0.24796266135188735,-0.22330199760981864,-0.2457153460087624,-0.22809356196769212,-0.2283587737685259,-0.2669735951826686,-0.25126985496688037,-0.24930876452611203,-0.25724874994117275,-0.2339403181546682,-0.2327024243819792,-0.2134281601316926,-0.23100829499944958,-0.23875523419777614,-0.28047744324809787,-0.24881786048978963,-0.2849244072134196,-0.31939082426070653,-0.27813710451540086,-0.2523555139503799,-0.2452107672388442,-0.24664302172614502,-0.24392925916440947,-0.33049255182233145,-0.3550930627785689,-0.3259505508602212,-0.2632278267475986,-0.2761627457006556,-0.35827057478277924,-0.36362421169707826,-0.3128880618204073,-0.3076415037329835,-0.3083616311337075,-0.32364370986838875,-0.2869055166151775,-0.28652606188734575,-0.3459130543506547,-0.29537843509112405,-0.34677941761113623,-0.3017355531196012,-0.25142282297570073,-0.2389810085590984,-0.28035857339454573
