raman_shift,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
1801.26,-1.2395013444796823,-1.179980275155171,-1.3371242099809282,-1.234977813775756,-1.2828017481074918,-1.2737900722560167,-1.2882273011008263,-1.1877827567970531,-1.175764835714048,-1.2587258837579918,-1.2179270242089741,-1.1965264687428296,-1.3135353337424456,-1.2580186479093831,-1.1089368460955886,-1.4156641027908121,-1.2460420556409173,-1.126553571268961,-1.353169488497219,-1.3879166027572665,-1.5157028960902974,-1.385650450560338,-1.5639121894750818,-1.806112786420294,-1.2229084168552864,-1.3992069121776318,-1.2122517783045244,-1.509042613616436,-1.1350183100191618,-1.095683092816055,-1.2962513401628584,-1.4611841934777745,-1.5921517074608649,-1.4008622097141112,-1.6165786371248294,-1.726072025939018,-1.7909617399785365,-1.709778263736631,-1.4371182790385482,-1.4249241119933962,-1.6089076701071454,-1.550289985501925,-1.2842393986586815,-1.690807013325731,-1.654226962703618,-1.4535724930438747,-1.7023789923668258,-1.3173204691098186,-1.4372159492267766,-1.4249241119933962,-1.4371182790385482,-1.709778263736631,-1.7909617399785365,-1.601912533390385,-1.5493367157243225,-1.7909459242659078,-1.4659016325360137,-1.695361440548892,-1.5899063122549624,-1.448586645991634,-1.6847766343625827,-1.7619150599374451,-1.7527705579779562,-1.4489050854861927,-1.7151689024319536,-1.6659248133044569,-1.5705730252887322,-1.639258308939093,-1.8345211333324305,-1.6961777694582538,-1.8260835509406341,-1.7189750611436156,-1.4956529669724474,-1.6684120473316348,-1.5944494027007283,-1.599412771692859,-1.8386397562711276,-1.8782919148895925,-1.8437284820636988,-1.8168704936513629,-1.6859024005705345,-1.3945829123473863,-1.729708587477384,-1.5230838352699478,-1.1954950379596334,-1.4190384500374793,-1.4842428028906327,-1.453592953405871,-1.443068532128315,-1.5215513104964273,-1.1766211303784981,-1.085064377624106,-1.158299824405974,-1.3988716890392723,-1.4019038910568484,-1.0698084187546266,-1.0118292242875675,-1.2227909975647937,-1.2636007339984252,-1.2507460417718894,-1.2290036322040117,-1.3313560720353887,-1.333678326332873,-1.0888715066646177,-1.2556235452088742,-1.0953210261577169,-1.2631313452090804,-1.4665834018273818,-1.5864455940846662,-1.3885431814084976
1797.41,-1.2395013444796823,-1.179980275155171,-1.3371242099809282,-1.228843687808922,-1.2764651862342933,-1.2677290922058335,-1.2820612646817133,-1.1820260167732237,-1.1700643348944497,-1.2464928090284986,-1.2063960042553055,-1.1965264687428296,-1.3071116411240893,-1.2519262957578319,-1.0986149995567513,-1.40858971249369,-1.2402000632341856,-1.1213179499049701,-1.3466124029658801,-1.38127272891472,-1.5018940044363767,-1.3731697559576275,-1.5502159955965598,-1.798329107910941,-1.2171854343837025,-1.392586594775303,-1.200721071580275,-1.5016470500923143,-1.1296140108118267,-1.0905312885337204,-1.2842347482288552,-1.4538921398772753,-1.5846329187473,-1.387248331894766,-1.608733771901121,-1.7178703272412614,-1.7827752060053577,-1.702360845658536,-1.4305010874349469,-1.4180180362657506,-1.6017732301828498,-1.550289985501925,-1.2842393986586815,-1.6829671044540504,-1.6464936871213056,-1.4467041120541677,-1.6946296161541259,-1.3173204691098186,-1.4301257687170246,-1.4180180362657506,-1.4305010874349469,-1.702360845658536,-1.7827752060053577,-1.5945874296674578,-1.5422161266743473,-1.782896419890858,-1.4592848430833907,-1.6873298055914387,-1.5745268005843622,-1.4350053300006071,-1.6766835640848161,-1.7537371739109577,-1.7366632549533585,-1.4349279329115228,-1.7075916950016359,-1.6581234483319092,-1.5628881437899231,-1.6316556125365929,-1.825913193785613,-1.6882407686772987,-1.8176127010690912,-1.7107445781613844,-1.4885747427986877,-1.6606920414176605,-1.5868834229340953,-1.5921140746185556,-1.8305599481438868,-1.8782919148895925,-1.8349409542650408,-1.8086862347814683,-1.678054442391703,-1.3877732549564326,-1.721434330890314,-1.5163176580771551,-1.1898075285284424,-1.4121985835718116,-1.4768782393648394,-1.4461805416403337,-1.4356592499227632,-1.5140260424589713,-1.1710601571703512,-1.0800380475367253,-1.158299824405974,-1.39198185584131,-1.3952354861597613,-1.0698084187546266,-1.0118292242875675,-1.211239632294405,-1.2515110857614578,-1.2507460417718894,-1.2290036322040117,-1.3185619315484778,-1.327228645047365,-1.0888715066646177,-1.2494880643038693,-1.085206779674906,-1.2571428788359436,-1.4665834018273818,-1.5786716684880373,-1.3818742069529324
1793.55,-1.2332958820362023,-1.1742091150434262,-1.3305694049125172,-1.228843687808922,-1.2764651862342933,-1.2616681121556503,-1.2758952282626004,-1.176269276749394,-1.1643638340748514,-1.240376271663752,-1.2006304942784711,-1.1965264687428296,-1.300687948505733,-1.2458339436062809,-1.0934540762873328,-1.4015153221965675,-1.2285160784207225,-1.1160823285409793,-1.3400553174345413,-1.3746288550721735,-1.4949895586094164,-1.360689061354917,-1.5433678986572987,-1.7905454294015877,-1.2114624519121187,-1.3859662773729744,-1.1949557182181503,-1.5016470500923143,-1.1296140108118267,-1.0853794842513855,-1.2782264522618536,-1.4466000862767763,-1.5695953413201709,-1.3804413929850934,-1.6008889066774128,-1.7096686285435045,-1.7827752060053577,-1.694943427580441,-1.4305010874349469,-1.411111960538105,-1.5946387902585544,-1.5431926158189198,-1.278234922570004,-1.67512719558237,-1.638760411538993,-1.4467041120541677,-1.686880239941426,-1.3111388425552182,-1.4230355882072727,-1.411111960538105,-1.4305010874349469,-1.694943427580441,-1.7827752060053577,-1.5945874296674578,-1.527974948574397,-1.766797411140758,-1.4526680536307677,-1.6792981706339856,-1.5668370447490618,-1.4282146720050939,-1.6685904938070497,-1.7455592878844703,-1.7286096034410596,-1.4279393566241878,-1.700014487571318,-1.6503220833593613,-1.5552032622911136,-1.6240529161340926,-1.8173052542387955,-1.6803037678963433,-1.8006710013260057,-1.702514095179153,-1.4814965186249278,-1.6529720355036859,-1.5793174431674624,-1.5848153775442524,-1.822480140016646,-1.8699981399700891,-1.8349409542650408,-1.8005019759115735,-1.6702064842128712,-1.3809635975654786,-1.721434330890314,-1.5095514808843622,-1.1898075285284424,-1.4053587171061437,-1.4695136758390461,-1.431355718109259,-1.4282499677172114,-1.506500774421515,-1.165499183962204,-1.0750117174493445,-1.1528515217825317,-1.3850920226433476,-1.3818986763655872,-1.0698084187546266,-1.0070794241254086,-1.2054639496592106,-1.245466261642974,-1.2507460417718894,-1.2231942662954844,-1.3121648613050223,-1.3207789637618566,-1.0837327306212254,-1.2372171024938594,-1.0801496564335007,-1.2511544124628065,-1.4592868118580495,-1.5708977428914088,-1.3752052324973674
1789.69,-1.2270904195927226,-1.1684379549316817,-1.324014599844106,-1.2165754358752534,-1.270128624361095,-1.2556071321054671,-1.2697291918434874,-1.176269276749394,-1.1586633332552534,-1.240376271663752,-1.1948649843016366,-1.1965264687428296,-1.2942642558873767,-1.2397415914547298,-1.088293153017914,-1.3873665416023229,-1.2168320936072592,-1.1160823285409793,-1.3334982319032025,-1.367984981229627,-1.488085112782456,-1.360689061354917,-1.5570640925358208,-1.7827617508922344,-1.2114624519121187,-1.3793459599706457,-1.1891903648560256,-1.4942514865681924,-1.1188054123971565,-1.0802276799690507,-1.2662098603278504,-1.4393080326762773,-1.5695953413201709,-1.3736344540754208,-1.5930440414537046,-1.7014669298457479,-1.7745886720321786,-1.6875260095023457,-1.4238838958313458,-1.4042058848104595,-1.5946387902585544,-1.5431926158189198,-1.278234922570004,-1.6672872867106898,-1.638760411538993,-1.4398357310644607,-1.686880239941426,-1.304957216000618,-1.4159454076975206,-1.4042058848104595,-1.4238838958313458,-1.6875260095023457,-1.7745886720321786,-1.5872623259445306,-1.5208543595244217,-1.7587479067657081,-1.4460512641781447,-1.6712665356765324,-1.5591472889137616,-1.4214240140095804,-1.6524043532515165,-1.7292035158314956,-1.7205559519287608,-1.4209507803368528,-1.700014487571318,-1.6425207183868133,-1.5475183807923043,-1.6164502197315924,-1.808697314691978,-1.6723667671153881,-1.7922001514544628,-1.6942836121969218,-1.4744182944511681,-1.6452520295897115,-1.5717514634008296,-1.577516680469949,-1.8144003318894053,-1.8534105901310822,-1.826153426466383,-1.7923177170416789,-1.6702064842128712,-1.3809635975654786,-1.713160074303244,-1.5027853036915695,-1.1841200190972516,-1.4053587171061437,-1.4695136758390461,-1.423943306343722,-1.4208406855116595,-1.4989755063840589,-1.159938210754057,-1.0750117174493445,-1.1474032191590895,-1.3782021894453853,-1.3752302714685,-1.0648780376542883,-1.00232962396325,-1.1996882670240163,-1.245466261642974,-1.2507460417718894,-1.2231942662954844,-1.3057677910615668,-1.3143292824763482,-1.0837327306212254,-1.2372171024938594,-1.0700354099506901,-1.2451659460896694,-1.4519902218887173,-1.5631238172947801,-1.3685362580418021
1785.84,-1.2208849571492428,-1.1684379549316817,-1.324014599844106,-1.2165754358752534,-1.2637920624878967,-1.2556071321054671,-1.2697291918434874,-1.1705125367255647,-1.1586633332552534,-1.2342597342990056,-1.1948649843016366,-1.2022662636113375,-1.2942642558873767,-1.2397415914547298,-1.0831322297484955,-1.3873665416023229,-1.2109901012005277,-1.1108467071769885,-1.3334982319032025,-1.3613411073870805,-1.488085112782456,-1.360689061354917,-1.5707602864143428,-1.7827617508922344,-1.2171854343837025,-1.3727256425683172,-1.1891903648560256,-1.4868559230440705,-1.1188054123971565,-1.0802276799690507,-1.2662098603278504,-1.4466000862767763,-1.5695953413201709,-1.3736344540754208,-1.5930440414537046,-1.7014669298457479,-1.7664021380589996,-1.6875260095023457,-1.4238838958313458,-1.4042058848104595,-1.6017732301828498,-1.5431926158189198,-1.2842393986586815,-1.67512719558237,-1.638760411538993,-1.432967350074754,-1.679130863728726,-1.304957216000618,-1.4159454076975206,-1.4042058848104595,-1.4238838958313458,-1.6875260095023457,-1.7664021380589996,-1.5872623259445306,-1.5137337704744462,-1.7506984023906582,-1.4394344747255217,-1.6632349007190792,-1.5514575330784615,-1.414633356014067,-1.6524043532515165,-1.7292035158314956,-1.7125023004164621,-1.4209507803368528,-1.700014487571318,-1.6425207183868133,-1.5475183807923043,-1.6164502197315924,-1.8000893751451605,-1.6644297663344327,-1.7922001514544628,-1.6942836121969218,-1.4673400702774082,-1.637532023675737,-1.5641854836341966,-1.577516680469949,-1.8063205237621645,-1.8534105901310822,-1.817365898667725,-1.7841334581717843,-1.6623585260340397,-1.3741539401745249,-1.713160074303244,-1.4960191264987766,-1.1841200190972516,-1.398518850640476,-1.462149112313253,-1.423943306343722,-1.4134314033061075,-1.4914502383466026,-1.159938210754057,-1.0699853873619638,-1.1474032191590895,-1.371312356247423,-1.3752302714685,-1.0648780376542883,-1.00232962396325,-1.1996882670240163,-1.245466261642974,-1.2507460417718894,-1.2231942662954844,-1.2993707208181113,-1.3143292824763482,-1.0785939545778331,-1.2372171024938594,-1.0700354099506901,-1.2451659460896694,-1.4519902218887173,-1.5553498916981514,-1.3685362580418021
1781.98,-1.214679494705763,-1.1568956347081922,-1.3174597947756947,-1.2104413099084192,-1.2574555006146981,-1.249546152055284,-1.2635631554243745,-1.1647557967017352,-1.1529628324356551,-1.2281431969342589,-1.1890994743248022,-1.2022662636113375,-1.2942642558873767,-1.2397415914547298,-1.0728103832096583,-1.3732177610080782,-1.205148108793796,-1.1056110858129977,-1.3269411463718639,-1.354697233544534,-1.4811806669554954,-1.3544487140535615,-1.5639121894750818,-1.7827617508922344,-1.2114624519121187,-1.3661053251659885,-1.183425011493901,-1.4794603595199487,-1.1134011131898214,-1.069924071404381,-1.2541932683938473,-1.4320159790757783,-1.562076552606606,-1.3600205762560758,-1.5773543110062884,-1.6850635324502343,-1.7582156040858208,-1.6726911733461556,-1.410649512624143,-1.3903937333551684,-1.587504350334259,-1.5360952461359143,-1.278234922570004,-1.6594473778390093,-1.6310271359566808,-1.426098969085047,-1.6713814875160262,-1.2987755894460176,-1.4017650466780167,-1.3903937333551684,-1.410649512624143,-1.6726911733461556,-1.7582156040858208,-1.5726121184986763,-1.506613181424471,-1.7345993936405586,-1.4262008958202759,-1.655203265761626,-1.5360780214078609,-1.4078426980185537,-1.6362182126959834,-1.7128477437785208,-1.7044486489041633,-1.413962204049518,-1.6848600727106822,-1.6269179884417178,-1.5321486177946853,-1.6012448269265918,-1.791481435598343,-1.6564927655534774,-1.775258451711377,-1.6778226462324592,-1.4531836219298886,-1.6298120177617625,-1.5566195038675639,-1.5629192863213421,-1.790160907507683,-1.8368230402920753,-1.7997908430704095,-1.7677649404319948,-1.6545105678552081,-1.3673442827835711,-1.7048858177161739,-1.489252949305984,-1.1727450002348698,-1.3916789841748083,-1.4547845487874598,-1.4165308945781845,-1.4060221211005557,-1.4839249703091466,-1.1543772375459098,-1.0649590572745828,-1.1419549165356475,-1.3644225230494607,-1.368561866571413,-1.0599476565539498,-1.00232962396325,-1.193912584388822,-1.2394214375244903,-1.2507460417718894,-1.217384900386957,-1.2929736505746559,-1.3078796011908398,-1.0734551785344408,-1.2310816215888545,-1.0649782867092847,-1.2391774797165322,-1.4446936319193848,-1.5475759661015227,-1.361867283586237
1778.12,-1.2084740322622833,-1.1568956347081922,-1.3109049897072838,-1.2043071839415849,-1.2511189387414998,-1.2434851720051008,-1.2573971190052615,-1.1589990566779058,-1.147262331616057,-1.2220266595695124,-1.183333964347968,-1.2022662636113375,-1.2878405632690204,-1.2336492393031788,-1.0676494599402397,-1.3590689804138336,-1.1934641239803327,-1.100375464449007,-1.320384060840525,-1.3480533597019875,-1.474276221128535,-1.3482083667522062,-1.5570640925358208,-1.7749780723828812,-1.2057394694405348,-1.3594850077636598,-1.1718943047696515,-1.4720647959958268,-1.1079968139824863,-1.064772267122046,-1.2481849724268457,-1.4174318718747803,-1.5545577638930415,-1.3532136373464032,-1.561664580558872,-1.6686601350547208,-1.7500290701126417,-1.6652737552680603,-1.4040323210205417,-1.3834876576275228,-1.5803699104099636,-1.528997876452909,-1.278234922570004,-1.651607468967329,-1.6232938603743685,-1.41923058809534,-1.6636321113033263,-1.2925939628914174,-1.3946748661682646,-1.3834876576275228,-1.4040323210205417,-1.6652737552680603,-1.7500290701126417,-1.5652870147757492,-1.4923720033245205,-1.7265498892655087,-1.4129673169150299,-1.6391399958467197,-1.5283882655725607,-1.3942613820275267,-1.6281251424182168,-1.7046698577520334,-1.6883413458795655,-1.4069736277621827,-1.6697056578500464,-1.6191166234691698,-1.524463736295876,-1.5860394341215913,-1.774265556504708,-1.640618763991567,-1.7583167519682912,-1.669592163250228,-1.439027173582369,-1.6143720059338136,-1.541487544334298,-1.5556205892470387,-1.7820810993804421,-1.828529265372572,-1.7910033152717515,-1.7595806815621002,-1.6466626096763766,-1.3605346253926172,-1.6966115611291037,-1.4824867721131911,-1.1727450002348698,-1.3848391177091406,-1.4474199852616665,-1.40170607104711,-1.3986128388950039,-1.4688744342342341,-1.1488162643377628,-1.0649590572745828,-1.1365066139122053,-1.3575326898514983,-1.3552250567772388,-1.0599476565539498,-0.9975798238010911,-1.1823612191184334,-1.2333766134060065,-1.2569130646926745,-1.2115755344784296,-1.2865765803312004,-1.3014299199053314,-1.0734551785344408,-1.2188106597788446,-1.0599211634678793,-1.2331890133433954,-1.4373970419500526,-1.539802040504894,-1.3485293346751068
1774.26,-1.2022685698188034,-1.145353314484703,-1.3043501846388725,-1.1981730579747507,-1.2447823768683015,-1.2313632119047344,-1.2450650461670356,-1.1474855766302468,-1.1358613299768605,-1.2097935848400192,-1.1718029443942992,-1.1907866738743216,-1.2749931780323076,-1.2153721828485256,-1.0573276134014025,-1.344920199819589,-1.1817801391668696,-1.0899042217210253,-1.3072698897778474,-1.3347656120168945,-1.4535628836476537,-1.3232469775467852,-1.5228236078395156,-1.7516270368548217,-1.194293504497367,-1.3396240555566739,-1.1603635980454021,-1.464669232471705,-1.102592514775151,-1.0544686585573766,-1.2301600845258407,-1.395555711073283,-1.5320013977523474,-1.3259858817077128,-1.530285119664039,-1.6358533402636934,-1.7336560021662837,-1.6504389191118702,-1.390797937813339,-1.3696755061722319,-1.5518321507127815,-1.5077057674038932,-1.2602214943039716,-1.628087742352288,-1.6078273092097437,-1.412362207105633,-1.6481333588779266,-1.2802307097822168,-1.3804945051487607,-1.3696755061722319,-1.390797937813339,-1.6504389191118702,-1.7336560021662837,-1.557961911052822,-1.4638896471246192,-1.702401376140359,-1.3931169485571608,-1.6150450909743603,-1.50531899806666,-1.3738894080409865,-1.603845931584917,-1.6801361996725712,-1.6641803913426692,-1.3860078989001778,-1.6469740355590927,-1.5957125285515263,-1.5014090917994476,-1.5632313449140907,-1.7484417378642554,-1.616807761648701,-1.7329042023536625,-1.6449007143035344,-1.4177925010610897,-1.5834919822779159,-1.526355584801032,-1.5337244980241285,-1.7578416749987198,-1.8036479406140618,-1.773428259674436,-1.7432121638223108,-1.6309666933187135,-1.3537249680016634,-1.6800630479549634,-1.4689544177276055,-1.161369981372488,-1.3711593847778052,-1.4400554217358734,-1.3794688357504983,-1.3837942744839002,-1.453823898159322,-1.1376943179214687,-1.0549063970998214,-1.1256100086653211,-1.3368631902576114,-1.3352198420859775,-1.0550172754536116,-0.9928300236389324,-1.1650341712128505,-1.2152421410505554,-1.2507460417718894,-1.1941474367528475,-1.2673853696008341,-1.2885305573343147,-1.0631776264476562,-1.2004042170638298,-1.0447497937436634,-1.2212120805971212,-1.4228038620113879,-1.5164802637150077,-1.3351913857639766
1770.41,-1.1898576449318439,-1.1395821543729585,-1.2912405745020503,-1.1859048060410822,-1.2321092531219047,-1.219241251804368,-1.2327329733288097,-1.1417288366064173,-1.1244603283376642,-1.2036770474752727,-1.1660374344174649,-1.1850468790058135,-1.2557221001772385,-1.2031874785454235,-1.0470057668625654,-1.3307714192253441,-1.1642541619466746,-1.0741973576290529,-1.2875986331838312,-1.3081901166467085,-1.425945100339812,-1.2920452410400087,-1.5091274139609936,-1.7282760013267622,-1.1828475395541993,-1.319763103349688,-1.143067537959028,-1.4424825418993392,-1.0971882155678159,-1.044165049992707,-1.2061269006578343,-1.373679550271786,-1.5094450316116537,-1.3055650649786952,-1.5067505239929144,-1.6030465454726666,-1.7090964002467468,-1.6207692467994899,-1.3775635546061362,-1.3558633547169407,-1.530428830939895,-1.4864136583548775,-1.2482125421266166,-1.6045680157372468,-1.5846274824628064,-1.3917570641365122,-1.624885230239827,-1.2678674566730161,-1.3663141441292568,-1.3558633547169407,-1.3775635546061362,-1.6207692467994899,-1.7090964002467468,-1.5359865998840407,-1.4354072909247182,-1.6621538542651095,-1.366649790746669,-1.590950186102001,-1.4822497305607591,-1.3535174340544462,-1.5714736504738505,-1.6556025415931088,-1.6400194368057726,-1.365042170038173,-1.6242424132681392,-1.572308433633883,-1.4783544473030192,-1.54042325570659,-1.7140099796769854,-1.58505975852488,-1.6990208028674914,-1.6119787823746095,-1.3965578285398104,-1.552611958622018,-1.5036576455011332,-1.5118284068012187,-1.7255224424897566,-1.770472840936048,-1.7382781484798044,-1.7186593872126268,-1.6074228187822188,-1.333295995828802,-1.6635145347808233,-1.4486558861492271,-1.1499949625101065,-1.3574796518464698,-1.4253262946842868,-1.3646440122194237,-1.3689757100727964,-1.4312480940469532,-1.1210113982970276,-1.0448537369250597,-1.114713403418437,-1.3161936906637244,-1.315214627394716,-1.0451565132529346,-0.9833304233146147,-1.1477071233072673,-1.197107668695104,-1.2507460417718894,-1.1767193390272654,-1.2481941588704677,-1.2756311947632981,-1.0529000743608716,-1.1819977743488148,-1.0346355472608526,-1.2092351478508472,-1.4082106820727232,-1.4931584869251215,-1.315184462397281
1766.55,-1.1836521824883641,-1.128039834149469,-1.284685769433639,-1.1736365541074139,-1.219436129375508,-1.2131802717541849,-1.2265669369096968,-1.1302153565587585,-1.1130593266984679,-1.1914439727457797,-1.154506414463796,-1.1793070841373055,-1.242874714940526,-1.1910027742423213,-1.0315229970543096,-1.3095482483339773,-1.1467281847264799,-1.0584904935370807,-1.267927376589815,-1.288258495119069,-1.4052317628589308,-1.2795645464372982,-1.5228236078395156,-1.6971412872893497,-1.1771245570826154,-1.2999021511427018,-1.1315368312347787,-1.4202958513269737,-1.0809753179458108,-1.0287096371457025,-1.182093716789828,-1.3590954430707878,-1.4868886654709597,-1.2851442482496773,-1.491060793545498,-1.586643148077153,-1.668163730380852,-1.5910995744871093,-1.3510947881917308,-1.3282390518063585,-1.5161599510913044,-1.4722189189888668,-1.2362035899492616,-1.5888881979938863,-1.5614276557158693,-1.3711519211673915,-1.6016371016017272,-1.2493225770092153,-1.337953422090249,-1.3282390518063585,-1.3510947881917308,-1.5910995744871093,-1.668163730380852,-1.5140112887152593,-1.406924934724817,-1.62995583676491,-1.3467994223888,-1.5588236462721885,-1.4514907072195582,-1.3263548020723928,-1.5471944396405508,-1.6228909974871593,-1.6078048307565773,-1.351065017463503,-1.5939335835468678,-1.5489043387162393,-1.4552998028065909,-1.510012470096589,-1.6881861610365332,-1.5533117554010587,-1.6651374033813198,-1.5872873334279156,-1.3682449318447711,-1.52173193496612,-1.4658277466679683,-1.4753349214297016,-1.6851234018535528,-1.7207101914190273,-1.6943405094865154,-1.6777380928631533,-1.5760309860668926,-1.3128670236559405,-1.6386917650196131,-1.4283573545708488,-1.1329324342165337,-1.3369600524494667,-1.395868040581114,-1.3424067769228119,-1.346747863456141,-1.4086722899345847,-1.1043284786725867,-1.0247484165755365,-1.0929201929246686,-1.2955241910698374,-1.3018778176005419,-1.0303653699519193,-0.9690810228281383,-1.1361557580368788,-1.1850180204581366,-1.2445790188511041,-1.170909973118738,-1.2290029481401012,-1.256282150906773,-1.0426225222740872,-1.169726812538805,-1.024521300778042,-1.191269748731436,-1.3863209121647262,-1.477610635731864,-1.3018465134861508
