raman_shift,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
1801.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793.55,3.1033643860370374e-06,3.0627437700935477e-06,3.145248955513185e-06,-3.098246289893092e-06,-3.088521220101254e-06,-5.421010862427522e-20,0.0,5.421010862427522e-20,0.0,-3.094215902228585e-06,-3.022714930398288e-06,-5.421010862427522e-20,0.0,-1.0842021724855044e-19,-2.952995134448879e-06,1.0842021724855044e-19,3.0305040904743353e-06,5.421010862427522e-20,5.421010862427522e-20,0.0,-3.0877102444291124e-06,5.421010862427522e-20,-3.0800072160872428e-06,-5.421010862427522e-20,-5.421010862427522e-20,5.421010862427522e-20,-3.0307700260433115e-06,-3.1627240933528446e-06,-2.9755672896720564e-06,0.0,-3.060247468319316e-06,5.421010862427522e-20,3.2489262087700196e-06,-3.146926282630283e-06,0.0,5.421010862427522e-20,-3.2871534674802443e-06,0.0,-3.1166997027485426e-06,0.0,0.0,3.159216681132863e-06,3.025764809446601e-06,0.0,-5.421010862427522e-20,-3.130435879622332e-06,0.0,3.0656937895892676e-06,0.0,0.0,-3.1166997027485426e-06,0.0,-3.2871534674802443e-06,-3.0777585463180276e-06,3.113200304426754e-06,3.232258064776836e-06,0.0,0.0,-3.2019402272075994e-06,-3.072305732271165e-06,0.0,0.0,-3.26908181320359e-06,-3.160237432493795e-06,5.421010862427522e-20,5.421010862427522e-20,1.0842021724855044e-19,-5.421010862427522e-20,0.0,-5.421010862427522e-20,3.2316141208688196e-06,0.0,-5.421010862427522e-20,0.0,0.0,0.0,0.0,3.241694803037768e-06,-3.326396908739438e-06,0.0,5.421010862427522e-20,5.421010862427522e-20,-3.1717004293357887e-06,5.421010862427522e-20,-3.0065717314182354e-06,0.0,-1.0842021724855044e-19,3.2081611307397057e-06,-1.0842021724855044e-19,0.0,0.0,5.421010862427522e-20,3.0197733277814156e-06,5.421010862427522e-20,3.1252281807225076e-06,0.0,2.9754809391092886e-06,-3.0520339653169115e-06,-3.074837807071648e-06,0.0,3.036733474474126e-06,-3.099967443211918e-06,-5.421010862427522e-20,2.952978858322111e-06,3.0696509133428863e-06,-2.9630024960006175e-06,5.421010862427522e-20,3.1905529259328245e-06,-1.6263032587282567e-19,2.710505431213761e-19
1789.69,0.0,0.0,-5.421010862427522e-20,6.196492579786184e-06,3.088521220101254e-06,0.0,-5.421010862427522e-20,-3.0554166664986844e-06,0.0,-3.0942159022284764e-06,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,3.153261047945401e-06,0.0,-2.966374896157763e-06,0.0,0.0,5.421010862427522e-20,-6.0815169697007836e-06,-9.240021648262e-06,0.0,-2.986380771754962e-06,0.0,5.421010862427522e-20,3.1627240933528988e-06,5.951134579344113e-06,-5.421010862427522e-20,3.060247468319316e-06,0.0,-6.497852417539931e-06,0.0,0.0,0.0,3.28715346748019e-06,0.0,3.1166997027484342e-06,0.0,-3.1404266294071496e-06,-3.159216681132863e-06,-3.025764809446601e-06,5.421010862427522e-20,-3.2666927521882746e-06,3.1304358796222778e-06,-3.2495780162979473e-06,-5.421010862427522e-20,-5.421010862427522e-20,0.0,3.1166997027484342e-06,0.0,3.28715346748019e-06,3.0777585463180276e-06,-3.113200304426754e-06,-3.232258064776836e-06,0.0,0.0,0.0,5.421010862427522e-20,3.2354656525198852e-06,3.290449037165826e-06,-5.421010862427522e-20,5.421010862427522e-20,-3.252451557722287e-06,-5.421010862427522e-20,0.0,5.421010862427522e-20,-5.421010862427522e-20,5.421010862427522e-20,-3.2316141208688196e-06,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,-5.421010862427522e-20,-5.421010862427522e-20,3.2416948030376596e-06,3.326396908739438e-06,5.421010862427522e-20,-3.2482140466515716e-06,-3.0941225855879288e-06,3.1717004293357887e-06,0.0,3.0065717314182896e-06,-3.0797515017498968e-06,-3.1948972073053412e-06,-3.208161130739814e-06,1.0842021724855044e-19,0.0,0.0,-2.960716835970071e-06,0.0,-5.421010862427522e-20,-3.1252281807225076e-06,2.9680384406092597e-06,0.0,0.0,-3.0748378070717024e-06,0.0,-3.036733474474126e-06,0.0,-5.421010862427522e-20,-2.952978858322111e-06,-6.139301826685989e-06,2.9630024960006175e-06,5.421010862427522e-20,5.421010862427522e-20,1.6263032587282567e-19,-2.168404344971009e-19
1785.84,0.0,-3.0627437700935477e-06,-3.1452489555131307e-06,-6.196492579786184e-06,-5.421010862427522e-20,-3.0483580532232623e-06,-3.093053484081766e-06,3.055416666498576e-06,-3.039245171124216e-06,3.0942159022284764e-06,-3.022714930398288e-06,-2.9961827149101606e-06,-3.096801584458707e-06,-3.0372139667870016e-06,-5.421010862427522e-20,-6.306522095891019e-06,-3.0305040904744437e-06,2.9663748961577087e-06,-3.1065047637567327e-06,-5.421010862427522e-20,-3.0877102444291666e-06,0.0,5.421010862427522e-20,-3.2843831334412508e-06,-2.986380771754962e-06,-5.421010862427522e-20,-3.0307700260433115e-06,0.0,-5.951134579344167e-06,-2.946685576608811e-06,-6.1204949366385234e-06,-6.374280654659523e-06,-1.0842021724855044e-19,-3.146926282630337e-06,-3.2365357817584176e-06,-3.2710411146692894e-06,5.421010862427522e-20,-3.194581580732612e-06,-3.1166997027484342e-06,-3.0981708521666596e-06,-3.1404266294071496e-06,0.0,-3.025764809446601e-06,-6.461859212820824e-06,0.0,5.421010862427522e-20,3.2495780162980015e-06,-3.0656937895892134e-06,-3.165774708323494e-06,-3.0981708521666596e-06,-3.1166997027484342e-06,-3.194581580732612e-06,5.421010862427522e-20,-3.0777585463180276e-06,5.421010862427522e-20,0.0,0.0,0.0,0.0,-5.421010862427522e-20,-6.4709313050397704e-06,-6.580898074331652e-06,5.421010862427522e-20,-3.160237432493849e-06,0.0,-3.2320167352792176e-06,-3.2242998766935944e-06,-3.203186447876794e-06,5.421010862427522e-20,-5.421010862427522e-20,-3.2316141208688196e-06,-3.267269311223815e-06,-5.421010862427522e-20,0.0,-5.421010862427522e-20,-3.1889820618738224e-06,5.421010862427522e-20,-6.483389606075428e-06,0.0,0.0,3.2482140466515174e-06,3.0941225855878746e-06,-3.1717004293357887e-06,0.0,-3.0065717314182896e-06,3.079751501749951e-06,3.1948972073053954e-06,-3.2081611307397057e-06,-1.0842021724855044e-19,-5.421010862427522e-20,-2.987120768925273e-06,2.960716835970071e-06,-3.0197733277813614e-06,0.0,-3.1252281807225618e-06,-2.9680384406092597e-06,-2.9754809391092886e-06,-3.0520339653169115e-06,0.0,0.0,5.421010862427522e-20,0.0,-3.0770827633165294e-06,2.952978858322057e-06,0.0,-5.926004992001398e-06,-3.0588038476284454e-06,-3.1905529259328787e-06,-5.421010862427522e-20,-3.1167374316702547e-06
1781.98,-1.0842021724855044e-19,6.125487540187204e-06,3.1452489555131307e-06,3.0982462898929836e-06,0.0,3.0483580532232623e-06,3.0930534840818203e-06,1.0842021724855044e-19,3.0392451711241074e-06,0.0,3.022714930398234e-06,2.9961827149101606e-06,0.0,0.0,2.952995134448825e-06,6.306522095891128e-06,5.421010862427522e-20,0.0,3.1065047637567327e-06,5.421010862427522e-20,3.0877102444291124e-06,3.0407584848503376e-06,9.240021648261891e-06,0.0,5.972761543509924e-06,0.0,3.0307700260433115e-06,-5.421010862427522e-20,2.975567289672165e-06,5.893371153217622e-06,6.120494936638469e-06,9.56142098198923e-06,3.2489262087700738e-06,6.29385256526062e-06,6.473071563516727e-06,6.542082229338579e-06,-5.421010862427522e-20,6.389163161465278e-06,6.233399405496977e-06,6.196341704333319e-06,9.421279888221449e-06,3.1592166811329173e-06,6.051529618893202e-06,9.692788819231182e-06,3.266692752188329e-06,0.0,-5.421010862427522e-20,3.0656937895892676e-06,6.3315494166470425e-06,6.196341704333319e-06,6.233399405496977e-06,6.389163161465278e-06,-5.421010862427522e-20,6.155517092636001e-06,-5.421010862427522e-20,3.232258064776836e-06,3.0618017097146775e-06,0.0,3.201940227207708e-06,0.0,6.470931305039716e-06,6.580898074331706e-06,0.0,3.160237432493795e-06,6.504903115444412e-06,6.464033470558435e-06,6.4485997533871345e-06,6.406372895753534e-06,-5.421010862427522e-20,5.421010862427522e-20,6.463228241737639e-06,6.534538622447739e-06,3.1246818048636716e-06,0.0,0.0,6.377964123747753e-06,3.2696169616100814e-06,6.483389606075536e-06,3.326396908739438e-06,3.2752763202425236e-06,0.0,1.0842021724855044e-19,3.1717004293357887e-06,-1.0842021724855044e-19,6.013143462836471e-06,-5.421010862427522e-20,-5.421010862427522e-20,3.2081611307397057e-06,1.0842021724855044e-19,5.421010862427522e-20,2.9871207689253273e-06,-5.421010862427522e-20,3.0197733277813614e-06,5.421010862427522e-20,3.125228180722616e-06,2.9680384406092055e-06,0.0,3.0520339653168573e-06,3.0748378070717566e-06,0.0,3.036733474474072e-06,1.0842021724855044e-19,3.0770827633165836e-06,0.0,3.069650913343049e-06,2.963002496000726e-06,3.058803847628337e-06,3.1905529259328245e-06,5.421010862427522e-20,3.116737431670363e-06
1778.12,1.0842021724855044e-19,-6.125487540187204e-06,5.421010862427522e-20,1.0842021724855044e-19,0.0,0.0,-5.421010862427522e-20,-1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,1.0842021724855044e-19,0.0,3.096801584458707e-06,3.0372139667870016e-06,-2.9529951344487706e-06,0.0,3.0305040904743353e-06,5.421010862427522e-20,0.0,0.0,0.0,5.421010862427522e-20,0.0,3.2843831334412508e-06,0.0,0.0,3.0307700260432573e-06,5.421010862427522e-20,-1.0842021724855044e-19,-2.946685576608811e-06,-3.0602474683192075e-06,5.421010862427522e-20,-5.421010862427522e-20,-3.146926282630337e-06,1.0842021724855044e-19,0.0,5.421010862427522e-20,-3.194581580732612e-06,-3.1166997027484342e-06,-3.0981708521666596e-06,-3.1404266294071496e-06,0.0,-3.025764809446601e-06,-3.230929606410412e-06,0.0,-5.421010862427522e-20,0.0,0.0,-3.16577470832344e-06,-3.0981708521666596e-06,-3.1166997027484342e-06,-3.194581580732612e-06,5.421010862427522e-20,-3.0777585463179734e-06,3.1132003044268084e-06,-3.232258064776836e-06,-5.421010862427522e-20,3.255310877745281e-06,-3.201940227207708e-06,3.072305732271165e-06,-3.2354656525198852e-06,-3.29044903716588e-06,3.26908181320359e-06,0.0,5.421010862427522e-20,-3.2320167352791634e-06,-3.22429987669354e-06,5.421010862427522e-20,3.2840721201679557e-06,3.1930869616190257e-06,5.421010862427522e-20,-3.2672693112238693e-06,5.421010862427522e-20,3.1801615922789255e-06,3.2020189984977086e-06,-3.188982061873931e-06,-3.2696169616100814e-06,-3.241694803037768e-06,-3.326396908739438e-06,-3.2752763202425236e-06,5.421010862427522e-20,-1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,-6.013143462836471e-06,5.421010862427522e-20,5.421010862427522e-20,3.208161130739814e-06,0.0,3.2165591398019004e-06,0.0,-2.9607168359700167e-06,0.0,0.0,3.1252281807224534e-06,-2.9680384406091513e-06,2.9754809391092886e-06,3.0520339653169657e-06,-1.0842021724855044e-19,-3.1199998395071353e-06,0.0,-1.0842021724855044e-19,5.421010862427522e-20,-2.952978858322057e-06,3.0696509133429405e-06,-5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,3.1167374316702005e-06
1774.26,0.0,6.125487540187095e-06,-5.421010862427522e-20,0.0,1.0842021724855044e-19,3.048358053223208e-06,3.0930534840818203e-06,3.0554166664986844e-06,3.039245171124216e-06,3.094215902228422e-06,3.022714930398234e-06,5.992365429820267e-06,3.096801584458707e-06,6.074427933573895e-06,2.9529951344487706e-06,-1.0842021724855044e-19,1.0842021724855044e-19,2.9663748961577087e-06,3.1065047637567327e-06,3.110679234775049e-06,6.175420488858333e-06,9.122275454551121e-06,1.2320028864349242e-05,6.568766266882556e-06,2.986380771755016e-06,6.213009749471985e-06,5.421010862427522e-20,-5.421010862427522e-20,1.0842021724855044e-19,2.946685576608811e-06,6.120494936638469e-06,3.1871403273297074e-06,6.497852417540039e-06,9.440778847891011e-06,6.473071563516889e-06,6.542082229338525e-06,3.28715346748019e-06,3.194581580732612e-06,3.1166997027484342e-06,3.0981708521666596e-06,9.421279888221395e-06,6.31843336226578e-06,9.077294428339912e-06,6.46185921282077e-06,3.2666927521882746e-06,5.421010862427522e-20,3.2495780162980015e-06,3.0656937895892676e-06,3.165774708323494e-06,3.0981708521666596e-06,3.1166997027484342e-06,3.194581580732612e-06,3.28715346748019e-06,-5.421010862427522e-20,6.226400608853617e-06,6.464516129553617e-06,3.0618017097147317e-06,3.2553108777453894e-06,6.4038804544153615e-06,3.0723057322712736e-06,6.470931305039825e-06,6.580898074331652e-06,3.26908181320359e-06,6.32047486498759e-06,3.252451557722287e-06,6.464033470558435e-06,6.448599753387189e-06,3.2031864478766314e-06,3.2840721201679557e-06,3.1930869616192425e-06,3.2316141208687654e-06,6.5345386224476844e-06,3.124681804863563e-06,6.360323184557797e-06,5.421010862427522e-20,6.377964123747753e-06,6.539233923220217e-06,6.483389606075482e-06,3.326396908739438e-06,3.2752763202424694e-06,3.248214046651463e-06,0.0,3.1717004293357345e-06,3.074072498953609e-06,6.013143462836579e-06,3.079751501749951e-06,0.0,3.2081611307397057e-06,3.1928516139213695e-06,0.0,2.987120768925219e-06,5.921433671940033e-06,3.0197733277814156e-06,6.325640196734822e-06,3.1252281807225618e-06,2.9680384406091513e-06,0.0,3.052033965316803e-06,6.149675614143405e-06,6.239999679014325e-06,6.073466948948252e-06,6.199934886423836e-06,3.077082763316421e-06,5.905957716644222e-06,3.069650913343049e-06,5.926004992001506e-06,3.058803847628337e-06,3.1905529259328787e-06,6.472951195647138e-06,8.131516293641283e-19
1770.41,3.1033643860370374e-06,-3.0627437700934393e-06,3.1452489555131307e-06,3.0982462898929836e-06,3.0885212201010913e-06,5.421010862427522e-20,5.421010862427522e-20,-3.0554166664986844e-06,-1.0842021724855044e-19,-3.094215902228422e-06,-3.0227149303983965e-06,-2.9961827149101064e-06,3.096801584458707e-06,-3.0372139667870016e-06,0.0,1.0842021724855044e-19,3.0305040904743353e-06,2.966374896157817e-06,3.1065047637566243e-06,6.221358469550315e-06,3.0877102444291124e-06,3.0407584848503918e-06,-9.240021648261891e-06,0.0,0.0,-5.421010862427522e-20,3.0307700260432573e-06,6.3254481867057975e-06,-1.0842021724855044e-19,0.0,3.0602474683192617e-06,0.0,-1.6263032587282567e-19,-3.146926282630283e-06,-3.2365357817584718e-06,-5.421010862427522e-20,3.28715346748019e-06,6.389163161465278e-06,5.421010862427522e-20,0.0,-3.1404266294070954e-06,-5.421010862427522e-20,-3.0257648094466553e-06,0.0,3.2666927521882746e-06,6.26087175924461e-06,3.2495780162980015e-06,0.0,-1.0842021724855044e-19,0.0,5.421010862427522e-20,6.389163161465278e-06,3.28715346748019e-06,6.155517092636055e-06,-5.421010862427522e-20,6.464516129553672e-06,3.0618017097146233e-06,-5.421010862427522e-20,0.0,-1.6263032587282567e-19,3.2354656525198852e-06,5.421010862427522e-20,5.421010862427522e-20,0.0,-5.421010862427522e-20,-1.0842021724855044e-19,0.0,1.0842021724855044e-19,3.2840721201679557e-06,3.1930869616191883e-06,3.231614120868711e-06,3.267269311223815e-06,1.0842021724855044e-19,1.0842021724855044e-19,3.2020189984977086e-06,-1.0842021724855044e-19,3.2696169616101356e-06,3.241694803037768e-06,6.652793817478876e-06,3.275276320242578e-06,3.2482140466515716e-06,6.188245171175749e-06,1.0842021724855044e-19,3.0740724989533922e-06,-1.0842021724855044e-19,-5.421010862427522e-20,3.194897207305287e-06,-3.2081611307397057e-06,0.0,3.2165591398018462e-06,2.987120768925219e-06,0.0,5.421010862427522e-20,0.0,5.421010862427522e-20,2.9680384406092597e-06,2.9754809391092344e-06,1.0842021724855044e-19,-5.421010862427522e-20,-3.1199998395071895e-06,5.421010862427522e-20,0.0,1.0842021724855044e-19,0.0,0.0,-2.963002496000726e-06,5.421010862427522e-20,-5.421010862427522e-20,0.0,3.116737431670363e-06
1766.55,-3.1033643860370374e-06,3.0627437700934393e-06,-3.1452489555130764e-06,1.0842021724855044e-19,0.0,-3.048358053223208e-06,-3.0930534840818745e-06,3.0554166664986844e-06,0.0,3.094215902228422e-06,3.0227149303983965e-06,0.0,-3.0968015844585984e-06,1.0842021724855044e-19,2.952995134448879e-06,3.1532610479455096e-06,0.0,0.0,1.0842021724855044e-19,-3.1106792347752117e-06,-3.0877102444291124e-06,-9.122275454551175e-06,-1.2320028864349296e-05,3.2843831334411966e-06,-2.986380771754962e-06,1.6263032587282567e-19,-3.0307700260433657e-06,5.421010862427522e-20,5.951134579344221e-06,2.946685576608811e-06,-5.421010862427522e-20,-3.187140327329816e-06,1.0842021724855044e-19,-1.0842021724855044e-19,-3.2365357817584176e-06,-6.54208222933847e-06,6.574306934960489e-06,0.0,6.233399405497031e-06,6.196341704333319e-06,-3.140426629407204e-06,-3.159216681132809e-06,0.0,-3.230929606410466e-06,5.421010862427522e-20,0.0,-1.0842021724855044e-19,3.065693789589322e-06,6.331549416647097e-06,6.196341704333319e-06,6.233399405497031e-06,0.0,6.574306934960489e-06,0.0,1.0842021724855044e-19,-3.2322580647769984e-06,-3.0618017097146233e-06,3.255310877745335e-06,3.201940227207708e-06,3.0723057322712194e-06,-3.235465652519777e-06,3.2904490371657717e-06,3.2690818132036443e-06,-3.160237432493795e-06,3.2524515577223414e-06,1.0842021724855044e-19,0.0,3.2031864478768482e-06,-3.28407212016801e-06,0.0,1.6263032587282567e-19,-3.267269311223815e-06,3.124681804863563e-06,-5.421010862427522e-20,6.404037996995417e-06,6.377964123747862e-06,3.2696169616101356e-06,6.483389606075482e-06,3.3263969087393296e-06,6.550552640484993e-06,3.248214046651463e-06,0.0,3.1717004293357345e-06,0.0,3.0065717314182354e-06,3.0797515017500594e-06,6.389794414610791e-06,3.208161130739814e-06,3.192851613921478e-06,1.0842021724855044e-19,0.0,5.921433671940142e-06,6.039546655562777e-06,-1.0842021724855044e-19,-3.1252281807225618e-06,2.9680384406092597e-06,2.9754809391093428e-06,-3.05203396531702e-06,-3.074837807071594e-06,3.1199998395071895e-06,-6.0734669489483604e-06,0.0,3.0770827633165836e-06,-1.0842021724855044e-19,-3.0696509133429405e-06,-1.0842021724855044e-19,3.058803847628337e-06,3.1905529259328787e-06,-3.2364755978236503e-06,-3.116737431670797e-06
